FACT_POSITION.Ausrückzeit,FACT_POSITION.FACT_EINSATZ_SK,FACT_POSITION.FACT_POSITION_SK,FACT_POSITION.UniqueKey
"","3","1","0000411811000100"
"","4","4573","0000411932000100"
"","4","8314","0000411932000200"
"","6","10806","0000411965000100"
"","6","10807","0000411965000200"
"","8","22443","0000412012000100"
"","12","4574","0000408192000200"
"","12","8315","0000408192000100"
"","12","10808","0000408192000300"
"","13","10809","0000408219000100"
"","15","22445","0000408230000100"
"","19","5405","0000407705000100"
"","20","7902","0000407707000100"
"","21","4575","0000407726000100"
"","22","7904","0000407740000200"
"","23","5406","0000407744000100"
"","31","22447","0000410645000100"
"","33","7906","0000406171000100"
"","36","4158","0000406212000100"
"","37","22449","0000406313000100"
"","37","22450","0000406313000200"
"","37","22451","0000406313000300"
"","40","4","0000411370000100"
"","42","5","0000411396000100"
"","42","4578","0000411396000200"
"","42","10812","0000411396000400"
"","43","6","0000411663000100"
"","44","8320","0000411664000100"
"","47","7911","0000411692000200"
"","48","5407","0000411698000100"
"","49","7","0000411702000100"
"","51","22454","0000411902000100"
"","52","8","0000411908000100"
"","59","4160","0000406847000100"
"","61","10","0000406860000100"
"","61","4161","0000406860000200"
"","61","4162","0000406860000400"
"","61","5411","0000406860000300"
"","62","8322","0000406889000100"
"","63","7912","0000407093000100"
"","65","11","0000381034000100"
"","65","4579","0000381034000300"
"","65","8323","0000381034000200"
"","66","10813","0000381036000100"
"","69","4581","0000386224000100"
"","69","8325","0000386224000200"
"","71","4583","0000412120000100"
"","71","4584","0000412120000200"
"","74","4163","0000408277000100"
"","74","5413","0000408277000200"
"","74","22458","0000408277000300"
"","82","5414","0000397456000100"
"","83","12","0000397467000100"
"","83","7913","0000397467000200"
"","83","22459","0000397467000300"
"","93","4165","0000380476000300"
"","93","5416","0000380476000100"
"","93","7914","0000380476000200"
"","97","7915","0000400569000100"
"","103","14","0000402085000100"
"","104","22461","0000402093000100"
"","105","15","0000402106000100"
"","105","16","0000402106000200"
"","105","4167","0000402106000500"
"","105","7916","0000402106000400"
"","105","7917","0000402106000700"
"","105","22463","0000402106000300"
"","105","22464","0000402106000600"
"","106","7918","0000405354000300"
"","106","8327","0000405354000200"
"","106","10818","0000405354000100"
"","108","4168","0000409375000100"
"","109","4587","0000409376000100"
"","112","17","0000409406000100"
"","140","7921","0000408107000200"
"","141","7922","0000408216000100"
"","142","8330","0000408217000100"
"","143","4588","0000408223000100"
"","144","18","0000408224000400"
"","144","4170","0000408224000200"
"","144","4589","0000408224000300"
"","144","5419","0000408224000100"
"","144","22465","0000408224000500"
"","146","10821","0000407458000100"
"","147","5420","0000407463000200"
"","149","19","0000407506000100"
"","149","20","0000407506000300"
"","149","7923","0000407506000200"
"","150","7924","0000407696000100"
"","151","21","0000407697000100"
"","152","8332","0000407698000100"
"","154","22","0000407704000100"
"","155","5421","0000407706000100"
"","157","23","0000407714000100"
"","160","7926","0000407770000100"
"","163","25","0000407784000100"
"","164","5423","0000407795000100"
"","164","22468","0000407795000200"
"","166","22469","0000410625000100"
"","169","22470","0000406166000100"
"","170","22471","0000406179000100"
"","171","5425","0000406183000100"
"","174","4592","0000411351000100"
"","176","27","0000411368000200"
"","176","28","0000411368000400"
"","176","4172","0000411368000300"
"","176","4593","0000411368000100"
"","181","29","0000411803000300"
"","181","4174","0000411803000200"
"","181","22473","0000411803000100"
"","185","4596","0000408944000300"
"","185","5427","0000408944000100"
"","185","10824","0000408944000200"
"","186","4597","0000408962000100"
"","187","4598","0000408968000100"
"","192","4599","0000410002000100"
"","192","7930","0000410002000200"
"","192","10826","0000410002000300"
"","194","4176","0000410047000100"
"","195","30","0000404192000200"
"","195","4600","0000404192000400"
"","195","10827","0000404192000300"
"","195","22475","0000404192000100"
"","201","10829","0000411969000100"
"","203","22476","0000411974000100"
"","205","10830","0000411986000100"
"","207","4178","0000397443000100"
"","210","33","0000397469000100"
"","210","4604","0000397469000300"
"","210","22477","0000397469000200"
"","213","4179","0000397761000100"
"","218","10832","0000400539000100"
"","220","34","0000400566000100"
"","223","35","0000400587000100"
"","224","4180","0000412173000100"
"","226","4181","0000402087000100"
"","227","4606","0000402089000100"
"","228","22479","0000409250000100"
"","229","4182","0000409321000300"
"","229","4607","0000409321000100"
"","229","5430","0000409321000200"
