show_id,genres
"a1","Drama"
"a2","Drama"
"a3","Drama"
"a5","Drama"
"a10","Drama"
"a16","Drama"
"a23","Drama"
"a25","Drama"
"a28","Drama"
"a33","Drama"
"a36","Drama"
"a37","Drama"
"a38","Drama"
"a55","Drama"
"a56","Drama"
"a64","Drama"
"a68","Drama"
"a74","Drama"
"a80","Drama"
"a81","Drama"
"a83","Drama"
"a84","Drama"
"a89","Drama"
"a91","Drama"
"a97","Drama"
"a98","Drama"
"a105","Drama"
"a109","Drama"
"a113","Drama"
"a116","Drama"
"a117","Drama"
"a118","Drama"
"a123","Drama"
"a124","Drama"
"a125","Drama"
"a126","Drama"
"a127","Drama"
"a137","Drama"
"a144","Drama"
"a145","Drama"
"a146","Drama"
"a154","Drama"
"a155","Drama"
"a157","Drama"
"a162","Drama"
"a163","Drama"
"a165","Drama"
"a166","Drama"
"a168","Drama"
"a170","Drama"
"a174","Drama"
"a176","Drama"
"a179","Drama"
"a180","Drama"
"a181","Drama"
"a182","Drama"
"a183","Drama"
"a186","Drama"
"a192","Drama"
"a193","Drama"
"a195","Drama"
"a198","Drama"
"a199","Drama"
"a204","Drama"
"a205","Drama"
"a206","Drama"
"a207","Drama"
"a208","Drama"
"a217","Drama"
"a218","Drama"
"a219","Drama"
"a224","Drama"
"a227","Drama"
"a229","Drama"
"a234","Drama"
"a246","Drama"
"a249","Drama"
"a250","Drama"
"a251","Drama"
"a253","Drama"
"a257","Drama"
"a259","Drama"
"a263","Drama"
"a270","Drama"
"a272","Drama"
"a275","Drama"
"a280","Drama"
"a281","Drama"
"a284","Drama"
"a286","Drama"
"a295","Drama"
"a303","Drama"
"a310","Drama"
"a311","Drama"
"a313","Drama"
"a314","Drama"
"a319","Drama"
"a321","Drama"
"a322","Drama"
"a328","Drama"
"a333","Drama"
"a335","Drama"
"a337","Drama"
"a339","Drama"
"a340","Drama"
"a342","Drama"
"a346","Drama"
"a348","Drama"
"a353","Drama"
"a362","Drama"
"a368","Drama"
"a369","Drama"
"a370","Drama"
"a371","Drama"
"a372","Drama"
"a373","Drama"
"a374","Drama"
"a377","Drama"
"a384","Drama"
"a389","Drama"
"a391","Drama"
"a392","Drama"
"a393","Drama"
"a396","Drama"
"a400","Drama"
"a402","Drama"
"a403","Drama"
"a404","Drama"
"a405","Drama"
"a406","Drama"
"a409","Drama"
"a411","Drama"
"a412","Drama"
"a414","Drama"
"a415","Drama"
"a417","Drama"
"a419","Drama"
"a425","Drama"
"a428","Drama"
"a430","Drama"
"a432","Drama"
"a438","Drama"
"a439","Drama"
"a441","Drama"
"a442","Drama"
"a444","Drama"
"a448","Drama"
"a452","Drama"
"a454","Drama"
"a456","Drama"
"a458","Drama"
"a464","Drama"
"a465","Drama"
"a468","Drama"
"a473","Drama"
"a475","Drama"
"a477","Drama"
"a479","Drama"
"a482","Drama"
"a488","Drama"
"a493","Drama"
"a494","Drama"
"a496","Drama"
"a505","Drama"
"a509","Drama"
"a510","Drama"
"a515","Drama"
"a519","Drama"
"a520","Drama"
"a523","Drama"
"a526","Drama"
"a528","Drama"
"a530","Drama"
"a537","Drama"
"a539","Drama"
"a543","Drama"
"a545","Drama"
"a547","Drama"
"a555","Drama"
"a556","Drama"
"a557","Drama"
"a560","Drama"
"a562","Drama"
"a569","Drama"
"a570","Drama"
"a573","Drama"
"a574","Drama"
"a576","Drama"
"a577","Drama"
"a578","Drama"
"a579","Drama"
"a581","Drama"
"a584","Drama"
"a588","Drama"
"a592","Drama"
