State,Year,Miles (millions),Fatalities
Texas,2016,271262.8383,3797
South Carolina,2016,54552.64223,1020
Virginia,2016,84462.67161,760
Idaho,2016,17198.71536,253
Mississippi,2016,40754.70886,687
New Mexico,2016,27885.52084,405
Kentucky,2016,49312.718,834
New York,2016,122929.9694,1041
Arkansas,2016,35754.7969,561
New Jersey,2016,77092.63216,602
Illinois,2016,107314.1027,1078
District of Columbia,2016,3621.959298,27
Wisconsin,2016,64046.40659,607
Connecticut,2016,31638.569,304
Washington,2016,61017.81094,536
California,2016,340114.9368,3837
Oklahoma,2016,49013.27792,687
North Carolina,2016,116748.6809,1450
Maine,2016,14838.25752,160
West Virginia,2016,19539.44268,269
Iowa,2016,33336.97203,402
Florida,2016,215550.7493,3176
Kansas,2016,32102.60971,429
Montana,2016,12598.72287,190
Utah,2016,31448.89706,281
Missouri,2016,74018.57646,947
Hawaii,2016,10635.42844,120
Alabama,2016,69226.97081,1083
Vermont,2016,7381.890092,62
Nebraska,2016,20699.916,218
North Dakota,2016,9739.208759,113
Colorado,2016,52151.61111,608
New Hampshire,2016,13512.59654,136
Oregon,2016,36719.18866,498
Alaska,2016,5258.555818,84
Massachusetts,2016,61824.85135,387
Arizona,2016,65785.73004,952
Rhode Island,2016,7927.070507,51
Ohio,2016,118607.6223,1132
Minnesota,2016,59028.80169,392
South Dakota,2016,9506.534323,116
Georgia,2016,122802.1859,1556
Michigan,2016,99432.53809,1065
Louisiana,2016,49155.61297,757
Wyoming,2016,9322.542399,112
Maryland,2016,59137.32716,522
Delaware,2016,10177.58523,119
Tennessee,2016,76883.74738,1037
Indiana,2016,83182.77568,829
Nevada,2016,26787.98836,329
Pennsylvania,2016,101362.4929,1188
