Player,Player Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Outrate,BRPI,MRA
CA Lynn,(Kolkata Knight Riders),13,13,0,405,82,31.15,290,139.65,0,4,2,41,22,0.0448275862068965,22.76923076923077,0.3076923076923077
SN Khan,(Kings XI Punjab),8,5,1,180,67,45.0,143,125.87,0,1,0,19,4,0.0279720279720279,20.0,0.2
AT Rayudu,(Chennai Super Kings),17,17,5,282,57,23.5,303,93.06,0,1,2,20,7,0.0396039603960396,7.176470588235294,0.0588235294117647
SP Narine,(Kolkata Knight Riders),12,9,1,143,47,17.87,86,166.27,0,0,0,17,9,0.0930232558139534,13.555555555555555,0.0
F du Plessis,(Chennai Super Kings),12,12,1,396,96,36.0,321,123.36,0,3,0,36,15,0.0342679127725856,19.5,0.25
Mohammad Nabi,(Sunrisers Hyderabad),8,7,1,115,31,19.16,76,151.31,0,0,0,8,7,0.0789473684210526,10.571428571428571,0.0
SPD Smith,(Rajasthan Royals),12,10,2,319,73*,39.87,275,116.0,0,3,0,30,4,0.029090909090909,14.4,0.3
MA Agarwal,(Kings XI Punjab),13,13,0,332,58,25.53,234,141.88,0,2,1,26,14,0.0555555555555555,14.461538461538462,0.1538461538461538
KD Karthik,(Kolkata Knight Riders),14,13,5,253,97*,31.62,173,146.24,0,2,0,22,14,0.0462427745664739,13.23076923076923,0.1538461538461538
SK Raina,(Chennai Super Kings),17,17,1,383,59,23.93,314,121.97,0,3,1,45,9,0.0509554140127388,13.764705882352942,0.1764705882352941
MS Dhoni,(Chennai Super Kings),15,12,7,416,84*,83.2,309,134.62,0,3,0,22,23,0.0161812297734627,18.83333333333333,0.25
AD Russell,(Kolkata Knight Riders),14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52,0.036144578313253,33.53846153846154,0.3076923076923077
CA Ingram,(Delhi Capitals),12,12,2,184,47,18.4,154,119.48,0,0,0,20,5,0.0649350649350649,9.166666666666666,0.0
SS Iyer,(Delhi Capitals),16,16,1,463,67,30.86,386,119.94,0,3,0,41,14,0.038860103626943,15.5,0.1875
S Dhawan,(Delhi Capitals),16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11,0.0390625,20.125,0.3125
RR Pant,(Delhi Capitals),16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27,0.0433333333333333,19.375,0.1875
Mandeep Singh,(Kings XI Punjab),13,12,8,165,33*,41.25,120,137.5,0,0,1,10,4,0.0333333333333333,5.333333333333333,0.0
RA Tripathi,(Rajasthan Royals),8,7,1,141,50,23.5,118,119.49,0,1,0,13,2,0.0508474576271186,9.142857142857142,0.1428571428571428
BA Stokes,(Rajasthan Royals),9,9,3,123,46,20.5,99,124.24,0,0,1,8,4,0.0606060606060606,6.222222222222222,0.0
HH Pandya,(Mumbai Indians),16,15,6,402,91,44.66,210,191.42,0,1,1,28,29,0.0428571428571428,19.066666666666663,0.0666666666666666
JM Bairstow,(Sunrisers Hyderabad),10,10,2,445,114,55.62,283,157.24,1,2,1,48,18,0.0282685512367491,30.0,0.3
SR Watson,(Chennai Super Kings),17,17,0,398,96,23.41,312,127.56,0,3,3,42,20,0.0544871794871794,16.941176470588236,0.1764705882352941
SV Samson,(Rajasthan Royals),12,12,2,342,102*,34.2,230,148.69,1,0,1,28,13,0.0434782608695652,15.833333333333334,0.0833333333333333
MM Ali,(Royal Challengers Bangalore),11,10,2,220,66,27.5,133,165.41,0,2,0,16,17,0.0601503759398496,16.6,0.2
KA Pollard,(Mumbai Indians),16,14,6,279,83,34.87,178,156.74,0,1,0,14,22,0.0449438202247191,13.428571428571429,0.0714285714285714
DA Warner,(Sunrisers Hyderabad),12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21,0.0207900207900207,29.5,0.75
KS Williamson,(Sunrisers Hyderabad),9,9,2,156,70*,22.28,130,120.0,0,1,0,12,5,0.0538461538461538,8.666666666666666,0.1111111111111111
JC Buttler,(Rajasthan Royals),8,8,0,311,89,38.87,205,151.7,0,3,0,38,14,0.0390243902439024,29.5,0.375
V Shankar,(Sunrisers Hyderabad),15,14,2,244,40*,20.33,193,126.42,0,0,0,11,12,0.0621761658031088,8.285714285714286,0.0
CH Gayle,(Kings XI Punjab),13,13,1,490,99*,40.83,319,153.6,0,4,0,45,34,0.0376175548589341,29.53846153846154,0.3076923076923077
RV Uthappa,(Kolkata Knight Riders),12,11,2,282,67*,31.33,245,115.1,0,1,1,28,10,0.036734693877551,15.636363636363637,0.0909090909090909
SA Yadav,(Mumbai Indians),16,15,2,424,71*,32.61,324,130.86,0,2,0,45,10,0.0401234567901234,16.0,0.1333333333333333
MP Stoinis,(Royal Challengers Bangalore),10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10,0.0256410256410256,11.6,0.0
KL Rahul,(Kings XI Punjab),14,14,3,593,100*,53.9,438,135.38,1,6,0,49,25,0.0251141552511415,24.714285714285715,0.5
PP Shaw,(Delhi Capitals),16,16,0,353,99,22.06,264,133.71,0,2,1,45,9,0.0606060606060606,14.625,0.125
Q de Kock,(Mumbai Indians),16,16,1,529,81,35.26,398,132.91,0,4,1,45,25,0.0376884422110552,20.625,0.25
R Parag,(Rajasthan Royals),7,5,0,160,50,32.0,126,126.98,0,1,0,17,5,0.0396825396825396,19.6,0.2
DA Miller,(Kings XI Punjab),10,10,2,213,59*,26.62,164,129.87,0,1,0,19,7,0.048780487804878,11.8,0.1
N Rana,(Kolkata Knight Riders),14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21,0.0425531914893617,21.272727272727277,0.2727272727272727
N Pooran,(Kings XI Punjab),7,6,0,168,48,28.0,107,157.0,0,0,0,9,14,0.0560747663551401,20.0,0.0
AB de Villiers,(Royal Challengers Bangalore),13,13,3,442,82*,44.2,287,154.0,0,5,0,31,26,0.0348432055749128,21.53846153846154,0.3846153846153846
MK Pandey,(Sunrisers Hyderabad),12,11,3,344,83*,43.0,263,130.79,0,3,0,34,6,0.0304182509505703,15.636363636363637,0.2727272727272727
AM Rahane,(Rajasthan Royals),14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9,0.0421052631578947,18.0,0.1538461538461538
AR Patel,(Delhi Capitals),14,12,6,110,26,18.33,88,125.0,0,0,1,10,3,0.0681818181818181,4.833333333333333,0.0
PA Patel,(Royal Challengers Bangalore),14,14,0,373,67,26.64,268,139.17,0,2,1,48,10,0.0522388059701492,18.0,0.1428571428571428
V Kohli,(Royal Challengers Bangalore),14,14,0,464,100,33.14,328,141.46,1,2,0,46,13,0.0426829268292682,18.714285714285715,0.2142857142857142
KM Jadhav,(Chennai Super Kings),14,12,3,162,58,18.0,169,95.85,0,1,1,19,3,0.0532544378698224,7.833333333333333,0.0833333333333333
RG Sharma,(Mumbai Indians),15,15,1,405,67,28.92,315,128.57,0,2,0,52,10,0.0444444444444444,17.866666666666667,0.1333333333333333
