County,Population
"Dublin",1345402
"Antrim",618108
"Cork",542868
"Down",531665
"Fingal",296020
"South Dublin",278767
"Galway",258058
"Londonderry",247132
"Kildare",222504
"Dún Laoghaire–Rathdown",218018
"Meath",195044
"Limerick",194899
"Tyrone",179000
"Armagh",174792
"Tipperary",159553
"Donegal",159192
"Wexford",149722
"Kerry",147707
"Wicklow",142425
"Mayo",130507
"Louth",128884
"Clare",118817
"Waterford",116176
"Kilkenny",99232
"Westmeath",88770
"Laois",84697
"Offaly",77961
"Cavan",76176
"Sligo",65535
"Roscommon",64544
"Monaghan",61386
"Fermanagh",61170
"Carlow",56932
"Longford",40873
"Leitrim",32044
"Island of Ireland",6573732
"Average",205429
