Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,Month Name,Month & Year,Quarter & Year,DayOfWeek,DayOfWeekName,WeekEnding,MonthEnding,ISO Weeknumber,ISO Year,ISO Day of Year,Week & Year,WeeknYear,MonthnYear,QuarternYear,Fiscal Year,Fiscal Quarter,Fiscal Period,IsAfterToday,IsWorkingDay,IsHoliday,IsBusinessDay,Day Type,WeekOffset,MonthOffset,QuarterOffset,YearOffset,FiscalYearOffset,WeekCompleted,MonthCompleted,QuarterCompleted,Monday_Thursday Order
2020-11-26 00:00:00.000,2020,4,11,26,20201126,"November","Nov 2020","Q4 2020",4,"Thursday",2020-11-29 00:00:00.000,2020-11-30 00:00:00.000,48,2020,331,"2020-48",20204800,20201100,20200400,"FY21","FQ2",5,True,True,"Unknown",True,"Weekday",0,0,0,0,0,False,False,False,"Fourth Thursday"
2020-12-03 00:00:00.000,2020,4,12,3,20201203,"December","Dec 2020","Q4 2020",4,"Thursday",2020-12-06 00:00:00.000,2020-12-31 00:00:00.000,49,2020,338,"2020-49",20204900,20201200,20200400,"FY21","FQ2",6,True,True,"Unknown",True,"Weekday",1,1,0,0,0,False,False,False,""
2020-12-10 00:00:00.000,2020,4,12,10,20201210,"December","Dec 2020","Q4 2020",4,"Thursday",2020-12-13 00:00:00.000,2020-12-31 00:00:00.000,50,2020,345,"2020-50",20205000,20201200,20200400,"FY21","FQ2",6,True,True,"Unknown",True,"Weekday",2,1,0,0,0,False,False,False,""
2020-12-17 00:00:00.000,2020,4,12,17,20201217,"December","Dec 2020","Q4 2020",4,"Thursday",2020-12-20 00:00:00.000,2020-12-31 00:00:00.000,51,2020,352,"2020-51",20205100,20201200,20200400,"FY21","FQ2",6,True,True,"Unknown",True,"Weekday",3,1,0,0,0,False,False,False,""
2020-12-24 00:00:00.000,2020,4,12,24,20201224,"December","Dec 2020","Q4 2020",4,"Thursday",2020-12-27 00:00:00.000,2020-12-31 00:00:00.000,52,2020,359,"2020-52",20205200,20201200,20200400,"FY21","FQ2",6,True,True,"Unknown",True,"Weekday",4,1,0,0,0,False,False,False,"Fourth Thursday"
2020-12-31 00:00:00.000,2020,4,12,31,20201231,"December","Dec 2020","Q4 2020",4,"Thursday",2021-01-03 00:00:00.000,2020-12-31 00:00:00.000,53,2020,366,"2020-53",20205300,20201200,20200400,"FY21","FQ2",6,True,True,"Unknown",True,"Weekday",5,1,0,0,0,False,False,False,""
2021-10-07 00:00:00.000,2021,4,10,7,20211007,"October","Oct 2021","Q4 2021",4,"Thursday",2021-10-10 00:00:00.000,2021-10-31 00:00:00.000,40,2021,277,"2021-40",20214000,20211000,20210400,"FY22","FQ2",4,True,True,"Unknown",True,"Weekday",45,11,4,1,1,False,False,False,""
2021-10-14 00:00:00.000,2021,4,10,14,20211014,"October","Oct 2021","Q4 2021",4,"Thursday",2021-10-17 00:00:00.000,2021-10-31 00:00:00.000,41,2021,284,"2021-41",20214100,20211000,20210400,"FY22","FQ2",4,True,True,"Unknown",True,"Weekday",46,11,4,1,1,False,False,False,""
2021-10-21 00:00:00.000,2021,4,10,21,20211021,"October","Oct 2021","Q4 2021",4,"Thursday",2021-10-24 00:00:00.000,2021-10-31 00:00:00.000,42,2021,291,"2021-42",20214200,20211000,20210400,"FY22","FQ2",4,True,True,"Unknown",True,"Weekday",47,11,4,1,1,False,False,False,""
2021-10-28 00:00:00.000,2021,4,10,28,20211028,"October","Oct 2021","Q4 2021",4,"Thursday",2021-10-31 00:00:00.000,2021-10-31 00:00:00.000,43,2021,298,"2021-43",20214300,20211000,20210400,"FY22","FQ2",4,True,True,"Unknown",True,"Weekday",48,11,4,1,1,False,False,False,"Fourth Thursday"
