Vendor (Preferred),Column2,Group,Category,Class,Article,Product Description,Core Range,Available SOH Qty,Invoice Cost,RSP (Site- ex GST),In Stock %,Replen Sites (Count),202109 PO Outs Qty,202108 PO Outs Qty,202107 PO Outs Qty,202106 PO Outs Qty,202109 PO Qty,202108 PO Qty,202107 PO Qty,202106 PO Qty,202109 GR Qty,202108 GR Qty,202107 GR Qty,202106 GR Qty,202109 SOH Qty,202108 SOH Qty,202107 SOH Qty,202106 SOH Qty,UD Qty
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN030",11168807,"ZIP FILTER TAP HARVEY NORMAN EXCL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN040",11164673,"ZIP FONT KIT G4 HYDROTAP GLO BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN040",11283086,"ZIP MIXER TAP CUBE - BRUSHED GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",10131778,"ZIP HYDROTAP COMPACT 2","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11089319,"ZIP HYDROTAP G4 ALL-IN-ONE BCSHA MAINS","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139786,"ZIP HYDROTAP G4 CELSIUS CUBE CS","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139789,"ZIP HYDROTAP G4 CELSIUS ARC CS","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139795,"ZIP HYDROTAP G4 ELITE CS CHILL/SPARKLING","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139798,"ZIP HYDROTAP G4 ELITE B BOILING ONLY","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139800,"ZIP HYDROTAP G4 ARC B BOILING ONLY","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139803,"ZIP HYDROTAP G4 ARC BA BOIL/AMB","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139806,"ZIP HYDROTAP G4 ARC BC BOIL/CHILL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11139808,"ZIP HYDROTAP G4 CUBE BCS BOIL/CHILL/SPAR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156899,"ZIP HYDROTAP G4 ELITE CS RESIDENTIAL CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156900,"ZIP HYDROTAP G4 ELITE B RESIDENTIAL MBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156903,"ZIP HYDROTAP G4 ELITE BA RESIDENTIAL BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156911,"ZIP HYDROTAP G4 ELITE BCS RESI CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156915,"ZIP HYDROTAP G4 CUBE CS RESIDENTIAL MBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156917,"ZIP HYDROTAP G4 CUBE CS RESIDENTIAL CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156921,"ZIP HYDROTAP G4 CUBE BA RESIDENTIAL MBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156924,"ZIP HYDROTAP G4 CUBE BC RESIDENTIAL MBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156928,"ZIP HYDROTAP G4 CUBE BCS RESIDENTIAL BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156932,"ZIP HYDROTAP G4 ARC C RESIDENTIAL CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156933,"ZIP HYDROTAP G4 ARC CS RESIDENTIAL MBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156934,"ZIP HYDROTAP G4 ARC CS RESIDENTIAL GBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156939,"ZIP HYDROTAP G4 ARC BA RESIDENTIAL MBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156943,"ZIP HYDROTAP G4 ARC BC RESIDENTIAL GBLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11156944,"ZIP HYDROTAP G4 ARC BC RESIDENTIAL CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11164681,"ZIP HYDROTAP G4 CS RESIDENTIAL M BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11164683,"ZIP HYDROTAP G4 CS RESIDENTIAL B CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11164684,"ZIP HYDROTAP G4 B RESIDENTIAL M BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11164688,"ZIP HYDROTAP G4 BA RESIDENTIAL G BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11164694,"ZIP HYDROTAP G4 BCS RESIDENTIAL G BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11209800,"ZIP HTAPG4 ALL-IN-1 BCSHA MAIN MATTE BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11209805,"ZIP HTAPG4 ALL-IN-1 BCHA MAINS BRUSH CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11209807,"ZIP HTAPG4 ALL-IN-1 BCHA MAINS MATTE BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11209811,"ZIP HTAPG4 CELSIUS ARC CS BRUSH CHR","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11209818,"ZIP HTAPG4 CELSIUS CUBE B GLOSS BLK","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312748,"ZIP HTAPG4 CELSIUS CUBE CS BRSH ROSEGOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312772,"ZIP HTAPG4 CELSIUS ARC CS BRSH ROSE GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312778,"ZIP HTAPG4 CELSIUS ARC B BRUSHED GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312794,"ZIP HTAPG4 ELITE CS BRUSHED GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312796,"ZIP HTAPG4 ELITE CS BRSH ROSE GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312798,"ZIP HTAPG4 ELITE CS BRUSHED NICKEL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312802,"ZIP HTAPG4 ELITE B BRUSHED GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312806,"ZIP HTAPG4 ELITE B BRUSHED NICKEL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312813,"ZIP HTAPG4 ELITE BA ROSE GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312814,"ZIP HTAPG4 ELITE BA BRUSHED NICKEL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312816,"ZIP HTAPG4 ELITE BC GUNMETAL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312818,"ZIP HTAPG4 ELITE BC BRUSHED GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312824,"ZIP HTAPG4 ELITE BCS GUNMETAL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312827,"ZIP HTAPG4 ELITE BCS GOLD","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312831,"ZIP HTAPG4 ELITE BCS NICKEL","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312857,"ZIP HTAPG4 CUBE BA PLATINUM","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
507215,"ZIP HEATERS (AUST) PTY LTD","070CKG","070CKGSIN","070CKGSIN045",11312873,"ZIP HTAPG4 CUBE BCS PLATINUM","Z",0,0,0,"",0,,,,,,,,,,,,,,,,,0
