Date,Year,Month,MonthNum,Month Year,MonthYearNum,Quarter Year,QtrYearNum,Day of Week,Last5Working,DayOffset
2018-07-01 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sun","",-1511
2018-07-02 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Mon","",-1510
2018-07-03 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Tue","",-1509
2018-07-04 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Wed","",-1508
2018-07-05 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Thu","",-1507
2018-07-06 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Fri","",-1506
2018-07-07 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sat","",-1505
2018-07-08 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sun","",-1504
2018-07-09 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Mon","",-1503
2018-07-10 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Tue","",-1502
2018-07-11 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Wed","",-1501
2018-07-12 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Thu","",-1500
2018-07-13 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Fri","",-1499
2018-07-14 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sat","",-1498
2018-07-15 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sun","",-1497
2018-07-16 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Mon","",-1496
2018-07-17 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Tue","",-1495
2018-07-18 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Wed","",-1494
2018-07-19 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Thu","",-1493
2018-07-20 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Fri","",-1492
2018-07-21 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sat","",-1491
2018-07-22 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sun","",-1490
2018-07-23 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Mon","",-1489
2018-07-24 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Tue","",-1488
2018-07-25 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Wed","",-1487
2018-07-26 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Thu","",-1486
2018-07-27 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Fri","",-1485
2018-07-28 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sat","",-1484
2018-07-29 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Sun","",-1483
2018-07-30 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Mon","",-1482
2018-07-31 00:00:00.000,2018,"July",7,"Jul-2018",201807,"Q3-2018",201803,"Tue","",-1481
2018-08-01 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Wed","",-1480
2018-08-02 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Thu","",-1479
2018-08-03 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Fri","",-1478
2018-08-04 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sat","",-1477
2018-08-05 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sun","",-1476
2018-08-06 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Mon","",-1475
2018-08-07 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Tue","",-1474
2018-08-08 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Wed","",-1473
2018-08-09 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Thu","",-1472
2018-08-10 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Fri","",-1471
2018-08-11 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sat","",-1470
2018-08-12 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sun","",-1469
2018-08-13 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Mon","",-1468
2018-08-14 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Tue","",-1467
2018-08-15 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Wed","",-1466
2018-08-16 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Thu","",-1465
2018-08-17 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Fri","",-1464
2018-08-18 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sat","",-1463
2018-08-19 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sun","",-1462
2018-08-20 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Mon","",-1461
2018-08-21 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Tue","",-1460
2018-08-22 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Wed","",-1459
2018-08-23 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Thu","",-1458
2018-08-24 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Fri","",-1457
2018-08-25 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sat","",-1456
2018-08-26 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Sun","",-1455
2018-08-27 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Mon","",-1454
2018-08-28 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Tue","",-1453
2018-08-29 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Wed","",-1452
2018-08-30 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Thu","",-1451
2018-08-31 00:00:00.000,2018,"August",8,"Aug-2018",201808,"Q3-2018",201803,"Fri","",-1450
2018-09-01 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Sat","",-1449
2018-09-02 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Sun","",-1448
2018-09-03 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Mon","",-1447
2018-09-04 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Tue","",-1446
2018-09-05 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Wed","",-1445
2018-09-06 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Thu","",-1444
2018-09-07 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Fri","",-1443
2018-09-08 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Sat","",-1442
2018-09-09 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Sun","",-1441
2018-09-10 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Mon","",-1440
2018-09-11 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Tue","",-1439
2018-09-12 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Wed","",-1438
2018-09-13 00:00:00.000,2018,"September",9,"Sep-2018",201809,"Q3-2018",201803,"Thu","",-1437
