CensusYear,Towns,Total population,Males,Females,Population density (persons per sq km),Area (sq km)
2016,"Abbeyfeale",2023,995,1028,1069.2,1.9
2016,"Abbeyleix",1770,871,899,548.6,3.2
2016,"An Daingean",2050,956,1094,620.4,3.3
2016,"Annacotty",2930,1424,1506,1851.7,1.6
2016,"Ardee",4928,2457,2471,1921.5,2.6
2016,"Arklow",13163,6425,6738,2492.5,5.3
2016,"Ashbourne",12679,6199,6480,3847.6,3.3
2016,"Athboy",2445,1175,1270,1798,1.4
2016,"Athenry",4445,2110,2335,1623.6,2.7
2016,"Athlone",21349,10607,10742,1338.8,15.9
2016,"Athy",9677,4734,4943,1557.5,6.2
2016,"Bailieborough",2683,1331,1352,649.6,4.1
2016,"Balbriggan",21722,10521,11201,4514.1,4.8
2016,"Ballaghaderreen",1808,937,871,852.1,2.1
2016,"Ballina",10171,4946,5225,1508.9,6.7
2016,"Ballina (North Tipperary)",2632,1275,1357,1170,2.2
2016,"Ballinasloe",6662,3253,3409,773.8,8.6
2016,"Ballinrobe",2786,1356,1430,1087.7,2.6
2016,"Ballivor",1809,873,936,1855.3,1
2016,"Ballybofey-Stranorlar",4852,2330,2522,932.1,5.2
2016,"Ballyhaunis",2366,1247,1119,969.1,2.4
2016,"Ballyjamesduff",2661,1341,1320,1574.4,1.7
2016,"Ballymahon",1877,963,914,1140.9,1.6
2016,"Ballymote",1549,754,795,969.6,1.6
2016,"Ballyshannon",2299,1089,1210,790.4,2.9
2016,"Balrothery",2017,984,1033,3786.7,0.5
2016,"Baltinglass",2137,1050,1087,800.4,2.7
2016,"Banagher",1760,886,874,961.1,1.8
2016,"Bandon",6957,3470,3487,1694.3,4.1
2016,"Bantry",2722,1305,1417,1179,2.3
2016,"Bearna",1998,963,1035,1057.6,1.9
2016,"Birr",4370,2108,2262,1329.5,3.3
2016,"Blarney",2539,1243,1296,1370.8,1.9
2016,"Blessington",5520,2708,2812,3139.7,1.8
2016,"Boyle",2568,1243,1325,679.8,3.8
2016,"Bray",32600,15712,16888,4035.7,8.1
2016,"Bunclody-Carrickduff",1984,999,985,1096.4,1.8
2016,"Buncrana",6785,3309,3476,821.9,8.3
2016,"Bundoran",1963,941,1022,586.6,3.3
2016,"Cahir",3593,1801,1792,1351.3,2.7
2016,"Callan",2475,1200,1275,1188.9,2.1
2016,"Carlow",24272,11940,12332,2063.4,11.8
2016,"Carndonagh",2471,1161,1310,505.8,4.9
2016,"Carrick-on-Shannon",4062,1981,2081,999.9,4.1
2016,"Carrick-on-Suir",5771,2838,2933,1779.9,3.2
2016,"Carrickmacross",5032,2433,2599,1362.2,3.7
2016,"Carrigaline",15770,7682,8088,3430.1,4.6
2016,"Carrigtwohill",5080,2510,2570,3303.9,1.5
2016,"Cashel",4422,2117,2305,1665.6,2.7
2016,"Castlebar",12068,5789,6279,1534.8,7.9
2016,"Castleblayney",3607,1769,1838,1348.6,2.7
2016,"Castlebridge",1840,867,973,919.1,2
2016,"Castlecomer-Donaguile",1502,746,756,980.7,1.5
2016,"Castleconnell",2107,1037,1070,1296.6,1.6
2016,"Castleisland",2486,1217,1269,731.9,3.4
2016,"Castlemartyr",1600,749,851,2115.4,0.8
2016,"Castlerea",1992,1007,985,868.9,2.3
2016,"Cavan",10914,5254,5660,1337.3,8.2
2016,"Celbridge",20288,10087,10201,3463.5,5.9
2016,"Clane",7280,3592,3688,2483.7,2.9
2016,"Clara",3336,1611,1725,859.6,3.9
2016,"Claremorris",3687,1720,1967,1111.3,3.3
2016,"Clifden",1597,781,816,674.1,2.4
2016,"Clogherhead",2145,1062,1083,1473.9,1.5
2016,"Clonakilty",4592,2182,2410,1337.8,3.4
2016,"Clones",1680,807,873,878.5,1.9
2016,"Clonmel",17140,8433,8707,1636.4,10.5
2016,"Cloyne",1803,895,908,1909.7,0.9
2016,"Cobh",12800,6297,6503,2521.9,5.1
2016,"Collooney",1610,793,817,1325.3,1.2
2016,"Convoy",1526,728,798,1030.6,1.5
2016,"Cootehill",1853,936,917,1002.4,1.8
2016,"Cork",208669,102233,106436,1197.6,174.2
2016,"Courtown Harbour",3591,1746,1845,1091,3.3
2016,"Crosshaven",2577,1254,1323,1273.6,2
2016,"Derrinturn",1602,783,819,1062.3,1.5
2016,"Donabate",7443,3668,3775,3858.3,1.9
2016,"Donegal",2618,1267,1351,891.4,2.9
2016,"Drogheda",40956,19993,20963,2776.6,14.8
2016,"Droichead Nua",22742,11203,11539,2578.2,8.8
2016,"Dublin",1173179,572632,600547,3677.5,319
2016,"Duleek",4219,2116,2103,2329.5,1.8
2016,"Dunboyne",7272,3587,3685,3563.8,2
2016,"Dundalk",39004,19137,19867,1651,23.6
2016,"Dungarvan",9227,4558,4669,2050.7,4.5
2016,"Dunleer",1822,887,935,1168.2,1.6
2016,"Dunmanway",1655,803,852,910.9,1.8
2016,"Dunmore East",1808,896,912,912,2
2016,"Dunshaughlin",4035,2003,2032,2251.1,1.8
2016,"Edenderry",7359,3684,3675,1724.6,4.3
2016,"Edgeworthstown",2072,1046,1026,1514.1,1.4
2016,"Enfield",3239,1593,1646,2506.3,1.3
2016,"Ennis",25276,12069,13207,1286.6,19.6
2016,"Enniscorthy",11381,5485,5896,1977.2,5.8
2016,"Enniskerry",1889,895,994,1013.2,1.9
2016,"Fermoy",6585,3239,3346,1428.1,4.6
2016,"Fethard",1545,757,788,1016.5,1.5
2016,"Galway",79934,38438,41496,1475.2,54.2
2016,"Gorey",9822,4735,5087,1856,5.3
2016,"Gort",2994,1443,1551,871.3,3.4
2016,"Greystones",18140,8799,9341,2036.6,8.9
2016,"Kanturk",2350,1141,1209,753.2,3.1
2016,"Kells (Ceanannas)",6135,2975,3160,2197.7,2.8
2016,"Kenmare",2376,1127,1249,768.5,3.1
2016,"Kilcock",6093,2939,3154,3406.3,1.8
2016,"Kilcoole",4239,2057,2182,2438.2,1.7
2016,"Kilcullen",3710,1777,1933,1964.8,1.9
2016,"Kildare",8634,4322,4312,2781.4,3.1
2016,"Kilkenny",26512,12923,13589,2115.9,12.5
2016,"Kill",3348,1621,1727,2995.1,1.1
2016,"Killarney",14504,6916,7588,1796.3,8.1
2016,"Killorglin",2199,1052,1147,923.9,2.4
2016,"Kilmallock",1668,799,869,827.2,2
2016,"Kilrush",2719,1303,1416,821.6,3.3
2016,"Kingscourt",2499,1222,1277,1495.7,1.7
2016,"Kinnegad",2745,1340,1405,2739.9,1
2016,"Kinsale",5281,2499,2782,1229.3,4.3
2016,"Kinsealy-Drinan",6643,3194,3449,5830.3,1.1
2016,"Laytown-Bettystown-Mornington",11872,5824,6048,2062.5,5.8
2016,"Leixlip",15504,7686,7818,3138.9,4.9
2016,"Letterkenny",19274,9375,9899,1240,15.5
2016,"Lifford",1626,794,832,1347,1.2
2016,"Limerick",94192,46582,47610,1591.2,59.2
2016,"Listowel",4820,2295,2525,889.8,5.4
2016,"Longford",10008,4916,5092,1387.3,7.2
2016,"Longwood",1581,760,821,2509,0.6
2016,"Loughrea",5556,2623,2933,1344,4.1
2016,"Lusk",7786,3815,3971,4052,1.9
2016,"Macroom",3765,1831,1934,1230.3,3.1
2016,"Malahide",16550,8113,8437,2850.3,5.8
2016,"Mallow",12459,6055,6404,1517.9,8.2
2016,"Maynooth",14585,7188,7397,2818.8,5.2
2016,"Midleton",12496,6101,6395,1611.6,7.8
2016,"Millstreet",1555,794,761,762.5,2
2016,"Mitchelstown",3740,1848,1892,1323.5,2.8
2016,"Moate",2763,1328,1435,1422.7,1.9
2016,"Monaghan",7678,3731,3947,1146.1,6.7
2016,"Monasterevin",4246,2067,2179,1235.2,3.4
2016,"Mountmellick",4777,2335,2442,1569.7,3
2016,"Mountrath",1774,876,898,1024.7,1.7
2016,"Moycullen",1704,808,896,1243.5,1.4
2016,"Muinebeag",2837,1449,1388,862.9,3.3
2016,"Mullingar",20928,10190,10738,1575,13.3
2016,"Naas",21393,10492,10901,2567.7,8.3
2016,"Navan (An Uaimh)",30173,14754,15419,2332.8,12.9
2016,"Nenagh",8968,4333,4635,1453.3,6.2
2016,"New Ross",8040,3954,4086,1311.6,6.1
2016,"Newcastle",3093,1525,1568,1451.6,2.1
2016,"Newcastle West",6619,3249,3370,1423.6,4.6
2016,"Newmarket-on-Fergus",1784,882,902,1122.8,1.6
2016,"Newport",1995,974,1021,1345.4,1.5
2016,"Newtownmountkennedy",2835,1417,1418,1539.3,1.8
2016,"Oranmore",4990,2421,2569,2016.3,2.5
2016,"Passage West",5843,2891,2952,1053.6,5.5
2016,"Portarlington",8368,4114,4254,1980.4,4.2
2016,"Portlaoise",22050,11380,10670,1829.3,12.1
2016,"Portlaw",1742,861,881,1757.8,1
2016,"Portmarnock",9466,4680,4786,2587.3,3.7
2016,"Prosperous",2333,1165,1168,1707.8,1.4
2016,"Rathangan",2611,1267,1344,1007.7,2.6
2016,"Rathcoole",4351,2141,2210,3120.7,1.4
2016,"Rathcormac",1762,881,881,2069.4,0.9
2016,"Rathdrum",1663,809,854,1364.1,1.2
2016,"Rathluirc (or Charleville)",3919,1940,1979,1266.9,3.1
2016,"Rathnew",3370,1639,1731,2896.5,1.2
2016,"Ratoath",9533,4720,4813,3254.8,2.9
2016,"Roscommon",5876,2834,3042,644.8,9.1
2016,"Roscrea",5446,2687,2759,895.7,6.1
2016,"Rosslare",1620,734,886,663.4,2.4
2016,"Rush",9943,4864,5079,1699.5,5.9
2016,"Saggart",3133,1572,1561,3274.4,1
2016,"Sallins",5849,2906,2943,3883.5,1.5
2016,"Shannon",9729,4829,4900,1387.5,7
2016,"Sixmilebridge",2625,1313,1312,2114.2,1.2
2016,"Skerries",10043,4879,5164,3101.4,3.2
2016,"Skibbereen",2778,1337,1441,892.2,3.1
2016,"Sligo",19199,9238,9961,1858.5,10.3
2016,"Stamullen",3361,1646,1715,3627.6,0.9
2016,"Strandhill",1753,814,939,1517.4,1.2
2016,"Swords",39248,19337,19911,3791.7,10.4
2016,"Templemore",1939,955,984,875.9,2.2
2016,"Termonfeckin",1579,756,823,1357.7,1.2
2016,"Thomastown",2445,1182,1263,739.2,3.3
2016,"Thurles",7940,3821,4119,1151.3,6.9
2016,"Tipperary",4979,2463,2516,1205.4,4.1
2016,"Tower",3421,1661,1760,1740.3,2
2016,"Tralee",23691,11376,12315,1260.6,18.8
2016,"Tramore",10381,5093,5288,1799.5,5.8
2016,"Trim",9194,4495,4699,1652.3,5.6
2016,"Tuam",8767,4253,4514,1354.4,6.5
2016,"Tubbercurry",1986,944,1042,877.6,2.3
2016,"Tullamore",14607,7091,7516,1101.5,13.3
2016,"Tullow",4673,2246,2427,1057.3,4.4
2016,"Tullyallen",1547,756,791,1770.3,0.9
2016,"Virginia",2648,1280,1368,1328.8,2
2016,"Waterford",53504,26310,27194,1107.5,48.3
2016,"Westport",6198,2936,3262,798.1,7.8
2016,"Wexford",20188,9784,10404,998,20.2
2016,"Wicklow",10584,5228,5356,2015.2,5.3
2016,"Youghal",7963,3966,3997,1562.7,5.1
