Year,County and Region,variable,value
2000,Carlow,Total Income per Person,16034
2000,Cavan,Total Income per Person,14981
2000,Clare,Total Income per Person,17022
2000,Cork,Total Income per Person,16946
2000,Donegal,Total Income per Person,13410
2000,Dublin,Total Income per Person,21451
2000,Galway,Total Income per Person,15962
2000,Kerry,Total Income per Person,14296
2000,Kildare,Total Income per Person,19854
2000,Kilkenny,Total Income per Person,15050
2000,Laois,Total Income per Person,15733
2000,Leitrim,Total Income per Person,14772
2000,Limerick,Total Income per Person,17443
2000,Longford,Total Income per Person,15313
2000,Louth,Total Income per Person,18245
2000,Mayo,Total Income per Person,15483
2000,Meath,Total Income per Person,18043
2000,Midland,Total Income per Person,15941
2000,Monaghan,Total Income per Person,14868
2000,Offaly,Total Income per Person,15202
2000,Roscommon,Total Income per Person,15300
2000,Sligo,Total Income per Person,14983
2000,Tipperary,Total Income per Person,15361
2000,Waterford,Total Income per Person,17530
2000,Westmeath,Total Income per Person,17082
2000,Wexford,Total Income per Person,15508
2000,Wicklow,Total Income per Person,17717
2001,Carlow,Total Income per Person,17487
2001,Cavan,Total Income per Person,16518
2001,Clare,Total Income per Person,18382
2001,Cork,Total Income per Person,18811
2001,Donegal,Total Income per Person,14585
2001,Dublin,Total Income per Person,23946
2001,Galway,Total Income per Person,17526
2001,Kerry,Total Income per Person,15996
2001,Kildare,Total Income per Person,21798
2001,Kilkenny,Total Income per Person,16316
2001,Laois,Total Income per Person,17074
2001,Leitrim,Total Income per Person,15861
2001,Limerick,Total Income per Person,19728
2001,Longford,Total Income per Person,16907
2001,Louth,Total Income per Person,20466
2001,Mayo,Total Income per Person,16842
2001,Meath,Total Income per Person,19875
2001,Midland,Total Income per Person,17552
2001,Monaghan,Total Income per Person,16229
2001,Offaly,Total Income per Person,16758
2001,Roscommon,Total Income per Person,16829
2001,Sligo,Total Income per Person,16601
2001,Tipperary,Total Income per Person,17343
2001,Waterford,Total Income per Person,18889
2001,Westmeath,Total Income per Person,18967
2001,Wexford,Total Income per Person,17272
2001,Wicklow,Total Income per Person,19867
2002,Carlow,Total Income per Person,17555
2002,Cavan,Total Income per Person,17484
2002,Clare,Total Income per Person,19146
2002,Cork,Total Income per Person,20200
2002,Donegal,Total Income per Person,15318
2002,Dublin,Total Income per Person,24457
2002,Galway,Total Income per Person,18481
2002,Kerry,Total Income per Person,16811
2002,Kildare,Total Income per Person,22814
2002,Kilkenny,Total Income per Person,17647
2002,Laois,Total Income per Person,18376
2002,Leitrim,Total Income per Person,17257
2002,Limerick,Total Income per Person,19868
2002,Longford,Total Income per Person,18492
2002,Louth,Total Income per Person,20997
2002,Mayo,Total Income per Person,17513
2002,Meath,Total Income per Person,20556
2002,Midland,Total Income per Person,18742
2002,Monaghan,Total Income per Person,17355
2002,Offaly,Total Income per Person,18093
2002,Roscommon,Total Income per Person,17872
2002,Sligo,Total Income per Person,18373
2002,Tipperary,Total Income per Person,18682
2002,Waterford,Total Income per Person,20451
2002,Westmeath,Total Income per Person,19723
2002,Wexford,Total Income per Person,17939
2002,Wicklow,Total Income per Person,21529
2003,Carlow,Total Income per Person,18604
2003,Cavan,Total Income per Person,18722
2003,Clare,Total Income per Person,20082
2003,Cork,Total Income per Person,21330
2003,Donegal,Total Income per Person,16219
2003,Dublin,Total Income per Person,25733
2003,Galway,Total Income per Person,20183
2003,Kerry,Total Income per Person,17934
2003,Kildare,Total Income per Person,23842
2003,Kilkenny,Total Income per Person,18912
2003,Laois,Total Income per Person,20213
2003,Leitrim,Total Income per Person,18728
2003,Limerick,Total Income per Person,21176
2003,Longford,Total Income per Person,19953
2003,Louth,Total Income per Person,22082
2003,Mayo,Total Income per Person,18850
2003,Meath,Total Income per Person,22122
2003,Midland,Total Income per Person,20511
2003,Monaghan,Total Income per Person,18613
2003,Offaly,Total Income per Person,19815
2003,Roscommon,Total Income per Person,19059
2003,Sligo,Total Income per Person,19905
2003,Tipperary,Total Income per Person,19894
2003,Waterford,Total Income per Person,21360
2003,Westmeath,Total Income per Person,21611
2003,Wexford,Total Income per Person,19296
2003,Wicklow,Total Income per Person,22577
2004,Carlow,Total Income per Person,20133
2004,Cavan,Total Income per Person,20739
2004,Clare,Total Income per Person,21288
2004,Cork,Total Income per Person,22913
2004,Donegal,Total Income per Person,17525
2004,Dublin,Total Income per Person,27260
2004,Galway,Total Income per Person,21985
2004,Kerry,Total Income per Person,19132
2004,Kildare,Total Income per Person,25626
2004,Kilkenny,Total Income per Person,20041
2004,Laois,Total Income per Person,21966
2004,Leitrim,Total Income per Person,20911
2004,Limerick,Total Income per Person,22321
2004,Longford,Total Income per Person,21199
2004,Louth,Total Income per Person,23191
2004,Mayo,Total Income per Person,20177
2004,Meath,Total Income per Person,24305
2004,Midland,Total Income per Person,21747
2004,Monaghan,Total Income per Person,20722
2004,Offaly,Total Income per Person,21220
2004,Roscommon,Total Income per Person,20576
2004,Sligo,Total Income per Person,21673
2004,Tipperary,Total Income per Person,21144
2004,Waterford,Total Income per Person,22835
2004,Westmeath,Total Income per Person,22272
2004,Wexford,Total Income per Person,20681
2004,Wicklow,Total Income per Person,23956
2005,Carlow,Total Income per Person,21832
2005,Cavan,Total Income per Person,22787
2005,Clare,Total Income per Person,23322
2005,Cork,Total Income per Person,24975
2005,Donegal,Total Income per Person,18432
2005,Dublin,Total Income per Person,29034
2005,Galway,Total Income per Person,23613
2005,Kerry,Total Income per Person,20710
2005,Kildare,Total Income per Person,27245
2005,Kilkenny,Total Income per Person,21746
2005,Laois,Total Income per Person,23289
2005,Leitrim,Total Income per Person,22747
2005,Limerick,Total Income per Person,24079
2005,Longford,Total Income per Person,22863
2005,Louth,Total Income per Person,24905
2005,Mayo,Total Income per Person,21594
2005,Meath,Total Income per Person,26833
2005,Midland,Total Income per Person,23162
2005,Monaghan,Total Income per Person,22379
2005,Offaly,Total Income per Person,22817
2005,Roscommon,Total Income per Person,22855
2005,Sligo,Total Income per Person,22823
2005,Tipperary,Total Income per Person,22904
2005,Waterford,Total Income per Person,24007
2005,Westmeath,Total Income per Person,23493
2005,Wexford,Total Income per Person,22617
2005,Wicklow,Total Income per Person,25030
2006,Carlow,Total Income per Person,23641
2006,Cavan,Total Income per Person,23986
2006,Clare,Total Income per Person,24549
2006,Cork,Total Income per Person,26208
2006,Donegal,Total Income per Person,19682
2006,Dublin,Total Income per Person,30599
2006,Galway,Total Income per Person,25062
2006,Kerry,Total Income per Person,21930
2006,Kildare,Total Income per Person,29278
2006,Kilkenny,Total Income per Person,24062
2006,Laois,Total Income per Person,24702
