Invoice,Transaction ID,Date Paid,Amount Paid,Customer ID,Date Booked,Amount Invoiced
A00001,10001,2018-07-18 00:00:00.000,40,ABBA,2018-06-18 00:00:00.000,500
A00005,10009,2020-03-30 00:00:00.000,1000,DABBA,2019-12-31 00:00:00.000,5000
A00005,10009,2020-01-30 00:00:00.000,1000,DABBA,2019-12-31 00:00:00.000,5000
A00001,10001,2018-07-20 00:00:00.000,60,ABBA,2018-06-18 00:00:00.000,500
A00002,10004,2019-03-05 00:00:00.000,300,BABBA,2019-01-05 00:00:00.000,800
A00001,10003,2018-07-18 00:00:00.000,350,ABBA,2018-06-18 00:00:00.000,350
A00003,10006,2019-06-27 00:00:00.000,1000,CABBA,2019-05-28 00:00:00.000,1000
A00001,10002,2018-07-20 00:00:00.000,120,ABBA,2018-06-18 00:00:00.000,200
A00005,10009,2020-04-30 00:00:00.000,1000,DABBA,2019-12-31 00:00:00.000,5000
A00005,10009,2020-01-30 00:00:00.000,1000,DABBA,2019-12-31 00:00:00.000,5000
A00004,10007,2019-09-29 00:00:00.000,100,DABBA,2019-07-30 00:00:00.000,500
A00001,10001,2018-07-25 00:00:00.000,400,ABBA,2018-06-18 00:00:00.000,500
A00002,10005,2019-02-01 00:00:00.000,300,BABBA,2019-01-05 00:00:00.000,400
A00005,10010,2020-01-15 00:00:00.000,300,EABBA,2019-12-31 00:00:00.000,300
A00001,10002,2018-07-23 00:00:00.000,80,ABBA,2018-06-18 00:00:00.000,200
A00004,10007,2019-08-29 00:00:00.000,400,DABBA,2019-07-30 00:00:00.000,500
A00002,10004,2019-03-06 00:00:00.000,300,BABBA,2019-01-05 00:00:00.000,800
A00002,10005,2019-03-05 00:00:00.000,100,BABBA,2019-01-05 00:00:00.000,400
A00004,10008,2019-08-29 00:00:00.000,50,DABBA,2019-07-30 00:00:00.000,50
A00005,10009,2020-05-30 00:00:00.000,1000,DABBA,2019-12-31 00:00:00.000,5000
A00002,10004,2019-01-06 00:00:00.000,200,BABBA,2019-01-05 00:00:00.000,800
