% tbv verkoopverdeling,Jaar-Maand,Waarde
Service,2020 - 4,0.1289901943999493
Totaal,2020 - 5,0.9999999999999998
Service,2020 - 3,0.1405610686730268
Totaal,2020 - 8,1.0
Service,2020 - 1,0.1447562699204366
Totaal,2020 - 2,1.0
Verhuur,2020 - 1,0.1810664062808429
Verhuur,2020 - 8,0.1657539230307746
Verkoop/Productie,2020 - 5,0.7096641798920703
Service,2020 - 2,0.1405610686730268
Verkoop/Productie,2020 - 9,0.7017316027746121
Verkoop/Productie,2020 - 4,0.7096641798920703
Verkoop/Productie,2020 - 7,0.7096641798920703
Totaal,2020 - 4,0.9999999999999998
Service,2020 - 10,0.1325144741946131
Verhuur,2020 - 2,0.17581889600781
Verhuur,2020 - 6,0.1613456257079802
Totaal,2020 - 10,1.0
Verhuur,2020 - 4,0.1613456257079802
Verkoop/Productie,2020 - 10,0.7017316027746121
Verhuur,2020 - 5,0.1613456257079802
Service,2020 - 6,0.1289901943999493
Service,2020 - 9,0.1325144741946131
Totaal,2020 - 11,1.0
Verkoop/Productie,2020 - 1,0.6741773237987203
Service,2020 - 8,0.1325144741946131
Service,2020 - 7,0.1289901943999493
Verkoop/Productie,2020 - 6,0.7096641798920703
Verkoop/Productie,2020 - 12,0.7017316027746121
Service,2020 - 11,0.1325144741946131
Verkoop/Productie,2020 - 2,0.683620035319163
Totaal,2020 - 9,1.0
Verhuur,2020 - 10,0.1657539230307746
Verkoop/Productie,2020 - 3,0.683620035319163
Totaal,2020 - 1,0.9999999999999998
Service,2020 - 12,0.1325144741946131
Verhuur,2020 - 12,0.1657539230307746
Totaal,2020 - 6,0.9999999999999998
Verkoop/Productie,2020 - 11,0.7017316027746121
Verhuur,2020 - 11,0.1657539230307746
Verhuur,2020 - 7,0.1613456257079802
Totaal,2020 - 12,1.0
Verhuur,2020 - 9,0.1657539230307746
Verkoop/Productie,2020 - 8,0.7017316027746121
Totaal,2020 - 7,0.9999999999999998
Verhuur,2020 - 3,0.17581889600781
Service,2020 - 5,0.1289901943999493
Totaal,2020 - 3,1.0
