Idem in % tbv kostenverdeling,Jaar-Maand,Waarde
"Verkoop/Productie","2020 - 1",0.49481813738841846
"Verkoop/Productie","2020 - 2",0.50585387532030368
"Verkoop/Productie","2020 - 3",0.50585387532030368
"Verkoop/Productie","2020 - 4",0.53661231257592279
"Verkoop/Productie","2020 - 5",0.53661231257592279
"Verkoop/Productie","2020 - 6",0.53661231257592279
"Verkoop/Productie","2020 - 7",0.53661231257592279
"Verkoop/Productie","2020 - 8",0.52710227941109933
"Verkoop/Productie","2020 - 9",0.52710227941109933
"Verkoop/Productie","2020 - 10",0.52710227941109933
"Verkoop/Productie","2020 - 11",0.52710227941109933
"Verkoop/Productie","2020 - 12",0.52710227941109933
"Verhuur","2020 - 1",0.13289521723256659
"Verhuur","2020 - 2",0.13009956599438346
"Verhuur","2020 - 3",0.13009956599438346
"Verhuur","2020 - 4",0.12200143643763468
"Verhuur","2020 - 5",0.12200143643763468
"Verhuur","2020 - 6",0.12200143643763468
"Verhuur","2020 - 7",0.12200143643763468
"Verhuur","2020 - 8",0.12450525287075496
"Verhuur","2020 - 9",0.12450525287075496
"Verhuur","2020 - 10",0.12450525287075496
"Verhuur","2020 - 11",0.12450525287075496
"Verhuur","2020 - 12",0.12450525287075496
"Service","2020 - 1",0.10624508616476488
"Service","2020 - 2",0.10401006060949897
"Service","2020 - 3",0.10401006060949897
"Service","2020 - 4",0.0975358887736192
"Service","2020 - 5",0.0975358887736192
"Service","2020 - 6",0.0975358887736192
"Service","2020 - 7",0.0975358887736192
"Service","2020 - 8",0.099537602591597218
"Service","2020 - 9",0.099537602591597218
"Service","2020 - 10",0.099537602591597218
"Service","2020 - 11",0.099537602591597218
"Service","2020 - 12",0.099537602591597218
"G&A","2020 - 1",0.27570020341104678
"G&A","2020 - 2",0.2694919581312229
"G&A","2020 - 3",0.2694919581312229
"G&A","2020 - 4",0.25271726119224325
"G&A","2020 - 5",0.25271726119224325
"G&A","2020 - 6",0.25271726119224325
"G&A","2020 - 7",0.25271726119224325
"G&A","2020 - 8",0.25790373808942096
"G&A","2020 - 9",0.25790373808942096
"G&A","2020 - 10",0.25790373808942096
"G&A","2020 - 11",0.25790373808942096
"G&A","2020 - 12",0.25790373808942096
"Totaal","2020 - 1",1
"Totaal","2020 - 2",1
"Totaal","2020 - 3",1
"Totaal","2020 - 4",1
"Totaal","2020 - 5",1
"Totaal","2020 - 6",1
"Totaal","2020 - 7",1
"Totaal","2020 - 8",1
"Totaal","2020 - 9",1
"Totaal","2020 - 10",1
"Totaal","2020 - 11",1
"Totaal","2020 - 12",1
