Nummer,Service,Categorie,Omschrijving
250,"","","Huurdersinvestering"
252,"","","Cum. afschrijvingen huurdersinvestering"
515,"","","lening u/g VIAVAC B.V."
600,"","","Geplaatst kapitaal"
601,"","","Overige reserves"
610,"","","Prive opnamen"
1100,"","","Bank"
1150,"","","Spaarrekening VIAVAC B.V."
1298,"","","Kruisposten"
1300,"","","Debiteuren"
1305,"","","Nog te factureren omzet"
1310,"","","Sluitrekening debiteuren 2004"
1320,"","","Voorziening dub. debiteur"
1450,"","","diverse vorderingen"
1460,"","","Vooruitbetaalde posten"
1500,"","","Crediteuren"
1510,"","","Sluitrekening crediteuren 2004"
1600,"","","Loonbelasting"
1602,"","","Btw af te dragen hoog (verkopen)"
1611,"","","Btw te vorderen laag (inkopen)"
1612,"","","Btw te vorderen hoog (inkopen)"
1613,"","","Btw te vorderen overig (inkopen)"
1615,"","","Te vorderen bronbelasting Polen"
1620,"","","Btw afdracht"
1631,"","","Buitenlandse BTW"
1640,"","","BTW oninbare debiteuren"
1650,"","","BTW prive-gebruik auto"
1700,"","","Vennootschapsbelasting"
1810,"","","Rekening-courant Arbema BV"
1811,"","","Rekening-courant Cobema BV"
1940,"","","Reservering vakantiegeld"
1950,"","","tussenrekening netto lonen"
1975,"","","Te betalen diversen"
1985,"","","te betalen vennootschapsbelasting"
2100,"","","Tussenrekening balans"
2110,"","","Tussenrekening automatische betalingen"
2130,"","","Onbekende betalingen"
2500,"","","Vraagposten"
3010,"","","Voorraad nieuwe machines"
3015,"","","Voorraad onderdelen"
3090,"","","Incourante voorraad"
4000,"","Lonen en salarissen","Lonen en salarissen"
4001,"","Lonen en salarissen","vergoeding ZKV"
4003,"","Lonen en salarissen","Lonen en salarissen (overwerk/bonus/vak.geld/prov)"
4004,"","Lonen en salarissen","Bonus WKR"
4005,"","Lonen en salarissen","Reservering vakantiegeld"
4007,"","Lonen en salarissen",""
4010,"","Sociale lasten/pensioenpremie","Sociale lasten"
4011,"","Sociale lasten/pensioenpremie","Verhaalde WGA premie"
4015,"","Sociale lasten/pensioenpremie","Te betalen BTER-premies"
4020,"","Sociale lasten/pensioenpremie","Overige sociale lasten"
4021,"","Lonen en salarissen","Ontvangen ziekengeld"
4026,"","Lonen en salarissen","Ont subsidie personeel"
4030,"","Overige personeelskosten","Kantinekosten"
4040,"","Kostenvergoedingen","Reiskostenvergoeding"
4045,"","Overige personeelskosten","Reis en verblijfkosten personeel"
4050,"","Overige personeelskosten","Bedrijfsuitjes personeel"
4060,"","Overige personeelskosten","bedrijfskleding"
4080,"","Opleidingen","Opleidingen"
4085,"","Kostenvergoedingen",""
4090,"","Overige personeelskosten","Overige personeelskosten"
4091,"","Overige personeelskosten",""
4099,"","","Managementsvergoeding Arbema B.V."
4100,"","Huren","Huur bedrijfsruimte"
4110,"","Huren",""
4120,"","Energie","Energiekosten"
4140,"","Overige huisvestingslasten",""
4190,"","Overige huisvestingslasten","Overige huisvestigingskosten"
4200,"","Onderhoud machines/kleine aanschaffingen","Onderhoudskosten machines"
4210,"","Onderhoud machines/kleine aanschaffingen","Kleine aanschaffingen"
4211,"","Onderhoud machines/kleine aanschaffingen",""
4235,"","Gereedschap","Gereedschappen"
4240,"","Huur/lease machines","Huur/lease kst machines NL"
4241,"","Huur/lease machines","Huur/lease kst machines binnen EU"
4242,"","Huur/lease machines",""
4300,"","Kantoorkosten","Kantoorkosten"
4302,"","Overige algemene kosten","Betalingsverschillen"
4305,"","Website","Automatiseringskosten"
4306,"","Website","Automatiseringskosten (BTW verlegd)"
4310,"","Contributies en abonnementen","Contributies en bijdragen"
4311,"","Contributies en abonnementen","Contributie en bijdrage binnen EU"
4315,"","Telefoonkosten/Porti","Telefoon- en faxkosten"
4320,"","Telefoonkosten/Porti","Porti"
4325,"","Accountantskosten",""
4330,"","Overige algemene kosten","Drukwerk"
4340,"","Advieskosten","Advieskosten"
4345,"","Juridische advieskosten","Juridische advies kosten"
4346,"","Juridische advieskosten",""
4350,"","Overige algemene kosten","Praktijkkosten"
4380,"","Verzekeringspremies","Algemene verzekeringen"
4385,"","Overige algemene kosten",""
4400,"","Brandstof","Brandstof"
4410,"","Overige autokosten","Reparatie / onderhoud"
4420,"","Overige autokosten","Vaste lasten auto"
