Date,Year,Start of Year,End of Year,Month,Days in Month,Day Name,Day of Week,Day of Year,Month Name,Quarter,Week of Year,JaarMaand,Day,Day Offset,Start of Month
2007-01-08 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"maandag",0,8,"januari",1,2,"2007 - 1",8,"-5089",2007-01-01 00:00:00.000
2007-01-09 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"dinsdag",1,9,"januari",1,2,"2007 - 1",9,"-5088",2007-01-01 00:00:00.000
2007-01-10 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"woensdag",2,10,"januari",1,2,"2007 - 1",10,"-5087",2007-01-01 00:00:00.000
2007-01-11 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"donderdag",3,11,"januari",1,2,"2007 - 1",11,"-5086",2007-01-01 00:00:00.000
2007-01-12 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"vrijdag",4,12,"januari",1,2,"2007 - 1",12,"-5085",2007-01-01 00:00:00.000
2007-01-13 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"zaterdag",5,13,"januari",1,2,"2007 - 1",13,"-5084",2007-01-01 00:00:00.000
2007-01-14 00:00:00.000,2007,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,1,31,"zondag",6,14,"januari",1,2,"2007 - 1",14,"-5083",2007-01-01 00:00:00.000
2008-01-07 00:00:00.000,2008,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,1,31,"maandag",0,7,"januari",1,2,"2008 - 1",7,"-4725",2008-01-01 00:00:00.000
2008-01-08 00:00:00.000,2008,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,1,31,"dinsdag",1,8,"januari",1,2,"2008 - 1",8,"-4724",2008-01-01 00:00:00.000
2008-01-09 00:00:00.000,2008,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,1,31,"woensdag",2,9,"januari",1,2,"2008 - 1",9,"-4723",2008-01-01 00:00:00.000
2008-01-10 00:00:00.000,2008,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,1,31,"donderdag",3,10,"januari",1,2,"2008 - 1",10,"-4722",2008-01-01 00:00:00.000
2008-01-11 00:00:00.000,2008,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,1,31,"vrijdag",4,11,"januari",1,2,"2008 - 1",11,"-4721",2008-01-01 00:00:00.000
2008-01-12 00:00:00.000,2008,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,1,31,"zaterdag",5,12,"januari",1,2,"2008 - 1",12,"-4720",2008-01-01 00:00:00.000
