Land,Kenmerk,Waarde,Landcode
"Nederland","1",51102,"NL"
"Nederland","2",51102,"NL"
"Nederland","3",51102,"NL"
"Nederland","4",51102,"NL"
"Nederland","5",51102,"NL"
"Nederland","6",51102,"NL"
"Nederland","7",51102,"NL"
"Nederland","8",51102,"NL"
"Nederland","9",51102,"NL"
"Nederland","10",51102,"NL"
"Nederland","11",51102,"NL"
"Nederland","12",51102,"NL"
"Duitsland","1",38244,"DE"
"Duitsland","2",38244,"DE"
"Duitsland","3",38244,"DE"
"Duitsland","4",38244,"DE"
"Duitsland","5",38244,"DE"
"Duitsland","6",38244,"DE"
"Duitsland","7",38244,"DE"
"Duitsland","8",38244,"DE"
"Duitsland","9",38244,"DE"
"Duitsland","10",38244,"DE"
"Duitsland","11",38244,"DE"
"Duitsland","12",38244,"DE"
"België","1",22064,"BE"
"België","2",22064,"BE"
"België","3",22064,"BE"
"België","4",22064,"BE"
"België","5",22064,"BE"
"België","6",22064,"BE"
"België","7",22064,"BE"
"België","8",22064,"BE"
"België","9",22064,"BE"
"België","10",22064,"BE"
"België","11",22064,"BE"
"België","12",22064,"BE"
"Luxemburg","1",0,"LU"
"Luxemburg","2",0,"LU"
"Luxemburg","3",0,"LU"
"Luxemburg","4",0,"LU"
"Luxemburg","5",0,"LU"
"Luxemburg","6",0,"LU"
"Luxemburg","7",0,"LU"
"Luxemburg","8",0,"LU"
"Luxemburg","9",0,"LU"
"Luxemburg","10",0,"LU"
"Luxemburg","11",0,"LU"
"Luxemburg","12",0,"LU"
"Frankrijk","1",10536,"FR"
"Frankrijk","2",10536,"FR"
"Frankrijk","3",10536,"FR"
"Frankrijk","4",10536,"FR"
"Frankrijk","5",10536,"FR"
"Frankrijk","6",10536,"FR"
"Frankrijk","7",10536,"FR"
"Frankrijk","8",10536,"FR"
"Frankrijk","9",10536,"FR"
"Frankrijk","10",10536,"FR"
"Frankrijk","11",10536,"FR"
"Frankrijk","12",10536,"FR"
"Polen","1",23053,"PL"
"Polen","2",23053,"PL"
"Polen","3",23053,"PL"
"Polen","4",23053,"PL"
"Polen","5",23053,"PL"
"Polen","6",23053,"PL"
"Polen","7",23053,"PL"
"Polen","8",23053,"PL"
"Polen","9",23053,"PL"
"Polen","10",23053,"PL"
"Polen","11",23053,"PL"
"Polen","12",23053,"PL"
"VK (4CS)","1",9890,"GB"
"VK (4CS)","2",9890,"GB"
"VK (4CS)","3",9890,"GB"
"VK (4CS)","4",9890,"GB"
"VK (4CS)","5",9890,"GB"
"VK (4CS)","6",9890,"GB"
"VK (4CS)","7",9890,"GB"
"VK (4CS)","8",9890,"GB"
"VK (4CS)","9",9890,"GB"
"VK (4CS)","10",9890,"GB"
"VK (4CS)","11",9890,"GB"
"VK (4CS)","12",9890,"GB"
