gamename,date,avg,gain,peak,avg_peak_perc,site
"Counter-Strike: Global Offensive",2012-07-01 00:00:00.000,932.57,,1642,0.5679,"SteamCharts"
"Dota 2",2012-07-01 00:00:00.000,52721.05,,75041,0.7026,"SteamCharts"
"PLAYERUNKNOWN'S BATTLEGROUNDS",2017-03-01 00:00:00.000,17551.14,,67846,0.2587,"SteamCharts"
"Apex Legends",2020-11-01 00:00:00.000,74957.26,,117193,0.6396,"SteamCharts"
"Rust",2013-12-01 00:00:00.000,9205.77,,22571,0.4079,"SteamCharts"
"Team Fortress 2",2012-07-01 00:00:00.000,45566.9,,62321,0.7312,"SteamCharts"
"Grand Theft Auto V",2015-04-01 00:00:00.000,192714.01,,360761,0.5342,"SteamCharts"
"Tom Clancy's Rainbow Six Siege",2015-12-01 00:00:00.000,7941.45,,18130,0.438,"SteamCharts"
"Rocket League",2015-06-01 00:00:00.000,1.92,,25,0.0768,"SteamCharts"
"Path of Exile",2013-10-01 00:00:00.000,19346.91,,34371,0.5629,"SteamCharts"
"Football Manager 2021",2020-11-01 00:00:00.000,38659.84,,84149,0.4594,"SteamCharts"
"ARK: Survival Evolved",2015-05-01 00:00:00.000,5.28,,28,0.1886,"SteamCharts"
"Destiny 2",2019-10-01 00:00:00.000,165307.82,,292314,0.5655,"SteamCharts"
"Sid Meier's Civilization VI",2016-10-01 00:00:00.000,85934.24,,162314,0.5294,"SteamCharts"
"PAYDAY 2",2012-08-01 00:00:00.000,0,,0,,"SteamCharts"
"Wallpaper Engine",2016-09-01 00:00:00.000,0.13,,2,0.065,"SteamCharts"
"Warframe",2013-01-01 00:00:00.000,0,,0,,"SteamCharts"
"Euro Truck Simulator 2",2013-01-01 00:00:00.000,1235.3,,2837,0.4354,"SteamCharts"
"Stardew Valley",2015-12-01 00:00:00.000,0.6,,3,0.2,"SteamCharts"
"Garry's Mod",2012-07-01 00:00:00.000,7965.94,,12253,0.6501,"SteamCharts"
"Dead by Daylight",2016-06-01 00:00:00.000,11247.77,,18011,0.6245,"SteamCharts"
"Dyson Sphere Program",2021-01-01 00:00:00.000,25524.93,,59339,0.4302,"SteamCharts"
"War Thunder",2013-04-01 00:00:00.000,0.02,,1,0.02,"SteamCharts"
"Cyberpunk 2077",2020-12-01 00:00:00.000,332395.65,,830387,0.4003,"SteamCharts"
"Total War: WARHAMMER II",2017-04-01 00:00:00.000,7.45,,24,0.3104,"SteamCharts"
"DayZ",2012-09-01 00:00:00.000,0,,0,,"SteamCharts"
"Farming Simulator 19",2018-11-01 00:00:00.000,23405.85,,59234,0.3951,"SteamCharts"
"Hearts of Iron IV",2016-04-01 00:00:00.000,2.35,,13,0.1808,"SteamCharts"
"World of Tanks Blitz",2016-10-01 00:00:00.000,997.08,,4687,0.2127,"SteamCharts"
"The Elder Scrolls Online",2014-07-01 00:00:00.000,1992.62,,3107,0.6413,"SteamCharts"
"Age of Empires II: Definitive Edition",2019-11-01 00:00:00.000,13842.64,,26767,0.5172,"SteamCharts"
"The Elder Scrolls V: Skyrim Special Edition",2016-09-01 00:00:00.000,1.42,,14,0.1014,"SteamCharts"
"Brawlhalla",2014-04-01 00:00:00.000,0.27,,13,0.0208,"SteamCharts"
"Unturned",2014-06-01 00:00:00.000,4.33,,20,0.2165,"SteamCharts"
"Spacewar",2012-07-01 00:00:00.000,63.29,,115,0.5503,"SteamCharts"
"7 Days to Die",2013-12-01 00:00:00.000,1377.67,,2722,0.5061,"SteamCharts"
"Football Manager 2020",2019-11-01 00:00:00.000,26966.3,,68053,0.3963,"SteamCharts"
"SMITE",2015-09-01 00:00:00.000,8041.89,,19957,0.403,"SteamCharts"
"Sid Meier's Civilization V",2012-07-01 00:00:00.000,27448.46,,50756,0.5408,"SteamCharts"
"FINAL FANTASY XIV Online",2014-02-01 00:00:00.000,3577.8,,7401,0.4834,"SteamCharts"
"RimWorld",2016-05-01 00:00:00.000,1.27,,3,0.4233,"SteamCharts"
"Sea of Thieves",2020-06-01 00:00:00.000,29454.49,,66632,0.442,"SteamCharts"
"Europa Universalis IV",2013-04-01 00:00:00.000,0,,0,,"SteamCharts"
"Counter-Strike",2012-07-01 00:00:00.000,34139.2,,53967,0.6326,"SteamCharts"
"Arma 3",2013-03-01 00:00:00.000,4745.97,,13225,0.3589,"SteamCharts"
"EA SPORTS™ FIFA 21",2020-10-01 00:00:00.000,13011.84,,23151,0.562,"SteamCharts"
"Black Desert Online",2017-05-01 00:00:00.000,2608.49,,18894,0.1381,"SteamCharts"
"NBA 2K20",2019-09-01 00:00:00.000,15886.25,,31353,0.5067,"SteamCharts"
"NBA 2K21",2020-09-01 00:00:00.000,11257.69,,20670,0.5446,"SteamCharts"
"tModLoader",2020-05-01 00:00:00.000,11757.59,,15991,0.7353,"SteamCharts"
"Bloons TD 6",2018-12-01 00:00:00.000,465.62,,688,0.6768,"SteamCharts"
"Factorio",2016-02-01 00:00:00.000,2158.67,,11105,0.1944,"SteamCharts"
"Dead Cells",2017-02-01 00:00:00.000,0.06,,2,0.03,"SteamCharts"
"DARK SOULS™ III",2016-04-01 00:00:00.000,74266.65,,129831,0.572,"SteamCharts"
