ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
1,"AR-5381",,"","","Adjustable Race","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
2,"BA-8327",,"","","Bearing Ball","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
12,"CR-9981",,"","","Crown Race","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
14,"DC-8732",,"","","Decal 1","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
15,"DC-9824",,"","","Decal 2","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
22,"FW-1000",,"","","Flat Washer 1","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
23,"FW-1200",,"","","Flat Washer 6","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
24,"FW-1400",,"","","Flat Washer 2","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
25,"FW-3400",,"","","Flat Washer 9","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
26,"FW-3800",,"","","Flat Washer 4","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
27,"FW-5160",,"","","Flat Washer 3","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
28,"FW-5800",,"","","Flat Washer 8","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
29,"FW-7160",,"","","Flat Washer 5","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
30,"FW-9160",,"","","Flat Washer 7","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
38,"HJ-1213",,"","","Thin-Jam Hex Nut 9","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
39,"HJ-1220",,"","","Thin-Jam Hex Nut 10","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
40,"HJ-1420",,"","","Thin-Jam Hex Nut 1","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
41,"HJ-1428",,"","","Thin-Jam Hex Nut 2","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
42,"HJ-3410",,"","","Thin-Jam Hex Nut 15","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
43,"HJ-3416",,"","","Thin-Jam Hex Nut 16","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
44,"HJ-3816",,"","","Thin-Jam Hex Nut 5","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
45,"HJ-3824",,"","","Thin-Jam Hex Nut 6","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
46,"HJ-5161",,"","","Thin-Jam Hex Nut 3","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
47,"HJ-5162",,"","","Thin-Jam Hex Nut 4","","",,False,"NA",1000,750,,"","NA",,0,"",,"","","","","","","","","","","","",2003-07-01 00:00:00.000,,"Current"
