DateTime,Date,Calendar QTR,Year,Day of Year,Month,DayofWeekID,Day,Wk Start,Month Name,Cal Wk,Wk Beginning,FY Week number,WkStartYear,WkStartDay,WkStartMonth,WkStartMonthName,MonthID,Fin Yr,Month/WkStartMonthID,Fiscal QTR Number,Fiscal QTR,Index,FinYear & FYweek,FY & QTR,FY Yr,SortID,FYWeeknYear,FYMonthInYear,FYQTRinYear,Fiscal Month & FY,Wk Ending,MonthID2,RelativeMonthOffset,RelativeWeekOffset,FiscalYearOffset,FiscalMonthOffset,RelativeMonthOffset v2
2018-07-02 00:00:00.000,2018-07-02 00:00:00.000,3,2018,183,7,1,2,20180702,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-03 00:00:00.000,2018-07-03 00:00:00.000,3,2018,184,7,2,3,20180703,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-04 00:00:00.000,2018-07-04 00:00:00.000,3,2018,185,7,3,4,20180704,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-05 00:00:00.000,2018-07-05 00:00:00.000,3,2018,186,7,4,5,20180705,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-06 00:00:00.000,2018-07-06 00:00:00.000,3,2018,187,7,5,6,20180706,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-07 00:00:00.000,2018-07-07 00:00:00.000,3,2018,188,7,6,7,20180707,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-08 00:00:00.000,2018-07-08 00:00:00.000,3,2018,189,7,7,8,20180708,"July",26,2018-07-02 00:00:00.000,2,2018,2,7,"July",1,2019,"False","1","Q1",2,"FY2019- WK2","FY2019-Q1","FY19","1",2019200,20190700,20190100,"July - FY2019",2018-07-08 00:00:00.000,"20187",-31,-137,-2,-32,-49
2018-07-09 00:00:00.000,2018-07-09 00:00:00.000,3,2018,190,7,1,9,20180709,"July",27,2018-07-09 00:00:00.000,3,2018,9,7,"July",1,2019,"False","1","Q1",3,"FY2019- WK3","FY2019-Q1","FY19","1",2019300,20190700,20190100,"July - FY2019",2018-07-15 00:00:00.000,"20187",-31,-136,-2,-32,-49
2018-07-10 00:00:00.000,2018-07-10 00:00:00.000,3,2018,191,7,2,10,20180710,"July",27,2018-07-09 00:00:00.000,3,2018,9,7,"July",1,2019,"False","1","Q1",3,"FY2019- WK3","FY2019-Q1","FY19","1",2019300,20190700,20190100,"July - FY2019",2018-07-15 00:00:00.000,"20187",-31,-136,-2,-32,-49
2018-07-11 00:00:00.000,2018-07-11 00:00:00.000,3,2018,192,7,3,11,20180711,"July",27,2018-07-09 00:00:00.000,3,2018,9,7,"July",1,2019,"False","1","Q1",3,"FY2019- WK3","FY2019-Q1","FY19","1",2019300,20190700,20190100,"July - FY2019",2018-07-15 00:00:00.000,"20187",-31,-136,-2,-32,-49
