DATEKEY,YEAR,QUARTER,UNIQUE_CARRIER,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS
2019-06-30 00:00:00.000,2019,2,"EV",-35746.5,-35746.6,81588.64,0,0,0,0,0,0,0,0,0,0,0,0,81588.64,46847.12,39614.06,6381.6,4218.41,64.12,19809.43,0,400.49,0,117335.2,0,0.1,0,0,0,0,0.1,-35746.5,0,-35746.5,0,0,0,0
2019-12-31 00:00:00.000,2019,4,"9E",-22249.5,-21522.05,165805.8,0,0,0,0,0,0,0,0,0,0,0,0,165805.8,81088.67,69004.18,18790.32,1003.15,0,14722.06,0,2719.43,0,187327.8,-759.42,0,0,0,0,31.96,-727.46,-22249.5,0,-22249.5,0,0,0,0
2019-03-31 00:00:00.000,2019,1,"9E",-17935.87,-17374.11,154469.2,0,0,0,0,0,0,0,0,0,0,0,0,154469.2,79698.48,57096.91,18408.56,761.04,0,14168.92,0,1709.43,0,171843.3,-727.32,0,0,0,0,165.56,-561.76,-17935.87,0,-17935.87,0,0,0,0
2019-09-30 00:00:00.000,2019,3,"9E",-16631.65,-16036.42,161108.4,0,0,0,0,0,0,0,0,0,0,0,0,161108.4,78910.43,60468.42,19227.75,1170.55,0,14818.94,0,2548.74,0,177144.8,-810.81,0,0,0,0,190.74,-620.07,-16656.49,-24.85,-16631.65,0,0,0,0
2019-09-30 00:00:00.000,2019,3,"EV",-14201.25,-14213.42,93914.66,0,0,0,0,0,0,0,0,0,0,0,0,93914.66,42704.68,34907.62,6508.09,4339.7,65.5,18955.33,0,647.17,0,108128.1,12.17,-12.17,0,0,0,12.17,12.17,-14201.25,0,-14201.25,0,0,0,0
2019-03-31 00:00:00.000,2019,1,"EV",-14148.01,-16890.88,77829.75,0,0,0,0,0,0,0,0,0,0,0,0,77829.75,23577.42,37941.21,4500.68,2486.17,41.1,26087.48,0,86.57,0,94720.63,-0.09,0.09,0,0,0,16,16,-16874.88,-2726.87,-14148.01,0,0,0,0
2019-12-31 00:00:00.000,2019,4,"EV",-10163.1,-10175.25,98210.22,0,0,0,0,0,0,0,0,0,0,0,0,98210.22,43552.52,33994.6,6945.94,4105.13,42.6,18791.89,0,952.79,0,108385.5,12.15,-12.15,0,0,0,12.15,12.15,-10163.1,0,-10163.1,0,0,0,0
2019-06-30 00:00:00.000,2019,2,"9E",-8411.95,-8082.28,164853.7,0,0,0,0,0,0,0,0,0,0,0,0,164853.7,75450,64076.95,17298.41,912.25,0,13437.08,0,1761.34,0,172936,-691.47,0,0,0,0,361.8,-329.67,-8411.95,0,-8411.95,0,0,0,0
2019-06-30 00:00:00.000,2019,2,"8C",-5183.76,-4525.08,0,0,0,0,0,0,2458.02,46321.7,0,0,5.28,0,0,48785,24200.91,22851.82,191.53,1519.89,0,2581.23,0,1964.7,0,53310.08,0,-658.68,0,0,0,0,-658.68,-5183.76,0,-5183.76,0,0,0,0
2019-12-31 00:00:00.000,2019,4,"CP",-5076.31,-5083.02,51547.41,0,0,0,0,0,0,0,0,0,0,0,7.86,51555.27,15403.41,26149.05,6456.64,4144.64,24.73,3980.76,0,479.06,0,56638.29,0,0,0,0,0,6.71,6.71,-5076.31,0,-5076.31,0,0,0,0
