DATEKEY,YEAR,UNIQUE_CARRIER,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2019-12-31 00:00:00.000,2019,"0WQ",4,51,5,18,28,20,0,0,0,3,1,17,0,7,0,154
2019-12-31 00:00:00.000,2019,"1BQ",2,35,0,35,15,17,0,0,0,0,0,26,0,0,0,130
2019-12-31 00:00:00.000,2019,"2HQ",11,47,0,32,31,37,0,0,0,0,4,11,0,0,0,173
2019-12-31 00:00:00.000,2019,"5V",12,50,14,0,114,88,0,0,0,0,5,43,6,22,0,354
2019-12-31 00:00:00.000,2019,"5X",0,358,0,0,258,0,15,17,0,0,22,81,2,14,0,767
2019-12-31 00:00:00.000,2019,"5X",0,1748,0,0,1257,0,75,81,0,0,109,397,10,69,0,3746
2019-12-31 00:00:00.000,2019,"5X",0,146,0,0,105,0,6,7,0,0,9,33,1,6,0,313
2019-12-31 00:00:00.000,2019,"5X",0,473,0,0,340,0,20,22,0,0,29,108,3,19,0,1014
2019-12-31 00:00:00.000,2019,"5Y",304,1543,118,222,194,0,0,34,0,250,30,49,38,16,0,2798
2019-12-31 00:00:00.000,2019,"5Y",21,108,8,16,14,0,0,2,0,17,2,3,2,1,0,194
2019-12-31 00:00:00.000,2019,"8C",1,44,0,37,31,0,0,4,0,2,1,3,0,9,0,132
2019-12-31 00:00:00.000,2019,"8C",6,191,0,0,100,0,0,17,0,9,6,24,2,62,0,417
2019-12-31 00:00:00.000,2019,"9E",4,1663,38,1311,926,0,0,78,0,0,268,99,0,67,0,4454
2019-12-31 00:00:00.000,2019,"9S",1,239,0,3,33,0,0,13,0,0,0,1,0,2,0,292
2019-12-31 00:00:00.000,2019,"CP",0,656,0,538,150,0,4,63,0,0,136,7,0,192,0,1746
2019-12-31 00:00:00.000,2019,"CP",0,7,0,6,2,0,0,2,0,0,1,0,0,2,0,20
2019-12-31 00:00:00.000,2019,"EV",0,34,0,64,25,0,0,0,0,0,0,0,0,0,0,123
2019-12-31 00:00:00.000,2019,"G7",0,473,0,457,67,0,1,65,0,0,108,0,0,86,0,1257
2019-12-31 00:00:00.000,2019,"GFQ",1,20,5,0,4,5,0,0,0,0,0,5,0,0,0,40
2019-12-31 00:00:00.000,2019,"GFQ",3,36,9,0,8,8,0,0,0,0,0,8,0,0,0,72
2019-12-31 00:00:00.000,2019,"GL",11,44,0,78,39,0,15,9,0,0,4,31,7,0,0,238
2019-12-31 00:00:00.000,2019,"GL",4,18,0,32,16,0,6,3,0,0,1,12,3,0,0,95
2019-12-31 00:00:00.000,2019,"KAQ",3,103,1,0,153,0,23,23,0,16,30,26,0,1,0,379
2019-12-31 00:00:00.000,2019,"KAQ",10,374,4,0,554,0,83,84,0,56,108,95,0,24,0,1392
