ID,Name,Department,Ch Index,Rw Index,Neighbour.1,Neighbour.2
"R1C1","R1Chair1","Class",1,1,"R1C2",""
"R1C2","R1Chair2","Class",2,1,"R1C1","R1C3"
"R1C3","R1Chair3","Class",3,1,"R1C2","R1C4"
"R1C4","R1Chair4","Class",4,1,"R1C3","R1C5"
"R1C5","R1Chair5","Class",5,1,"R1C4","R1C6"
"R1C6","R1Chair6","Class",6,1,"R1C5","R1C7"
"R1C7","R1Chair7","Class",7,1,"R1C6","R1C8"
"R1C8","R1Chair8","Class",8,1,"R1C7","R1C9"
"R1C9","R1Chair9","Class",9,1,"R1C8","R1C10"
"R1C10","R1Chair10","Class",10,1,"R1C9","R1C11"
"R1C11","R1Chair11","Class",11,1,"R1C10","R1C12"
"R1C12","R1Chair12","Class",12,1,"R1C11","R1C13"
"R1C13","R1Chair13","Class",13,1,"R1C12","R1C14"
"R1C14","R1Chair14","Class",14,1,"R1C13","R1C15"
"R1C15","R1Chair15","Class",15,1,"R1C14",""
"R2C1","R2Chair1","Class",16,2,"R2C2",""
"R2C2","R2Chair2","Class",17,2,"R2C1","R2C3"
"R2C3","R2Chair3","Class",18,2,"R2C2","R2C4"
"R2C4","R2Chair4","Class",19,2,"R2C3","R2C5"
"R2C5","R2Chair5","Class",20,2,"R2C4","R2C6"
"R2C6","R2Chair6","Class",21,2,"R2C5","R2C7"
"R2C7","R2Chair7","Class",22,2,"R2C6","R2C8"
"R2C8","R2Chair8","Class",23,2,"R2C7","R2C9"
"R2C9","R2Chair9","Class",24,2,"R2C8","R2C10"
"R2C10","R2Chair10","Class",25,2,"R2C9","R2C11"
"R2C11","R2Chair11","Class",26,2,"R2C10","R2C12"
"R2C12","R2Chair12","Class",27,2,"R2C11","R2C13"
"R2C13","R2Chair13","Class",28,2,"R2C12","R2C14"
"R2C14","R2Chair14","Class",29,2,"R2C13","R2C15"
"R2C15","R2Chair15","Class",30,2,"R2C14",""
"R3C1","R3Chair1","Class",31,3,"R3C2",""
"R3C2","R3Chair2","Class",32,3,"R3C1","R3C3"
"R3C3","R3Chair3","Class",33,3,"R3C2","R3C4"
"R3C4","R3Chair4","Class",34,3,"R3C3","R3C5"
"R3C5","R3Chair5","Class",35,3,"R3C4","R3C6"
"R3C6","R3Chair6","Class",36,3,"R3C5","R3C7"
"R3C7","R3Chair7","Class",37,3,"R3C6","R3C8"
"R3C8","R3Chair8","Class",38,3,"R3C7","R3C9"
"R3C9","R3Chair9","Class",39,3,"R3C8","R3C10"
"R3C10","R3Chair10","Class",40,3,"R3C9","R3C11"
"R3C11","R3Chair11","Class",41,3,"R3C10","R3C12"
"R3C12","R3Chair12","Class",42,3,"R3C11","R3C13"
"R3C13","R3Chair13","Class",43,3,"R3C12","R3C14"
"R3C14","R3Chair14","Class",44,3,"R3C13","R3C15"
"R3C15","R3Chair15","Class",45,3,"R3C14",""
"R4C1","R4Chair1","Class",46,4,"R4C2",""
"R4C2","R4Chair2","Class",47,4,"R4C1","R4C3"
"R4C3","R4Chair3","Class",48,4,"R4C2","R4C4"
"R4C4","R4Chair4","Class",49,4,"R4C3","R4C5"
"R4C5","R4Chair5","Class",50,4,"R4C4","R4C6"
"R4C6","R4Chair6","Class",51,4,"R4C5","R4C7"
"R4C7","R4Chair7","Class",52,4,"R4C6","R4C8"
"R4C8","R4Chair8","Class",53,4,"R4C7","R4C9"
"R4C9","R4Chair9","Class",54,4,"R4C8","R4C10"
"R4C10","R4Chair10","Class",55,4,"R4C9","R4C11"
"R4C11","R4Chair11","Class",56,4,"R4C10","R4C12"
"R4C12","R4Chair12","Class",57,4,"R4C11","R4C13"
"R4C13","R4Chair13","Class",58,4,"R4C12","R4C14"
"R4C14","R4Chair14","Class",59,4,"R4C13","R4C15"
"R4C15","R4Chair15","Class",60,4,"R4C14",""
"R5C1","R5Chair1","Class",61,5,"R5C2",""
"R5C2","R5Chair2","Class",62,5,"R5C1","R5C3"
"R5C3","R5Chair3","Class",63,5,"R5C2","R5C4"
"R5C4","R5Chair4","Class",64,5,"R5C3","R5C5"
"R5C5","R5Chair5","Class",65,5,"R5C4","R5C6"
"R5C6","R5Chair6","Class",66,5,"R5C5","R5C7"
"R5C7","R5Chair7","Class",67,5,"R5C6","R5C8"
"R5C8","R5Chair8","Class",68,5,"R5C7","R5C9"
"R5C9","R5Chair9","Class",69,5,"R5C8",""
