Class Lecture,Section,Asset,variable,value
SC-11,C,R4C8,Date,2019-11-27 00:00:00.000
SC-9,C,R1C9,Date,2019-11-13 00:00:00.000
SB-12,B,R2C11,Date,2019-12-04 00:00:00.000
SB-14,B,R2C10,Date,2019-12-18 00:00:00.000
SC-13,C,R5C6,Date,2019-12-11 00:00:00.000
SA-3,A,R2C1,Date,2019-09-19 00:00:00.000
SB-13,B,R3C12,Date,2019-12-11 00:00:00.000
SC-8,C,R1C1,Date,2019-10-23 00:00:00.000
SA-14,A,R3C15,Date,2019-12-11 00:00:00.000
SC-2,C,R4C11,Date,2019-09-11 00:00:00.000
SB-1,B,R1C8,Date,2019-09-04 00:00:00.000
SC-3,C,R3C13,Date,2019-09-18 00:00:00.000
SC-6,C,R4C9,Date,2019-10-09 00:00:00.000
SB-12,B,R5C4,Date,2019-12-04 00:00:00.000
SC-12,C,R1C2,Date,2019-12-04 00:00:00.000
SB-9,B,R5C3,Date,2019-11-13 00:00:00.000
SB-7,B,R4C7,Date,2019-10-16 00:00:00.000
SB-10,B,R4C1,Date,2019-11-20 00:00:00.000
SB-10,B,R2C10,Date,2019-11-20 00:00:00.000
SB-14,B,R2C9,Date,2019-12-18 00:00:00.000
SA-7,A,R5C5,Date,2019-10-17 00:00:00.000
SB-5,B,R3C9,Date,2019-10-02 00:00:00.000
SA-14,A,R4C13,Date,2019-12-11 00:00:00.000
SB-15,B,R3C8,Date,2019-12-24 00:00:00.000
SA-13,A,R5C4,Date,2019-12-04 00:00:00.000
SC-9,C,R1C5,Date,2019-11-13 00:00:00.000
SB-10,B,R1C5,Date,2019-11-20 00:00:00.000
SA-16,A,R2C9,Date,2019-12-24 00:00:00.000
SC-12,C,R1C12,Date,2019-12-04 00:00:00.000
SB-16,B,R3C6,Date,2020-01-01 00:00:00.000
SB-4,B,R2C15,Date,2019-09-25 00:00:00.000
SC-2,C,R1C9,Date,2019-09-11 00:00:00.000
SC-13,C,R4C10,Date,2019-12-11 00:00:00.000
SC-15,C,R4C5,Date,2019-12-24 00:00:00.000
SA-13,A,R2C4,Date,2019-12-04 00:00:00.000
SC-6,C,R4C5,Date,2019-10-09 00:00:00.000
SB-16,B,R2C8,Date,2020-01-01 00:00:00.000
SA-8,A,R3C13,Date,2019-10-24 00:00:00.000
SB-10,B,R3C15,Date,2019-11-20 00:00:00.000
SA-3,A,R2C10,Date,2019-09-19 00:00:00.000
SC-15,C,R3C9,Date,2019-12-24 00:00:00.000
SC-3,C,R4C4,Date,2019-09-18 00:00:00.000
SC-13,C,R1C2,Date,2019-12-11 00:00:00.000
SB-10,B,R5C3,Date,2019-11-20 00:00:00.000
SA-15,A,R2C10,Date,2019-12-18 00:00:00.000
SA-5,A,R2C11,Date,2019-10-03 00:00:00.000
SB-11,B,R3C1,Date,2019-11-27 00:00:00.000
SA-2,A,R2C11,Date,2019-09-12 00:00:00.000
SB-3,B,R4C6,Date,2019-09-18 00:00:00.000
SC-11,C,R3C1,Date,2019-11-27 00:00:00.000
SB-11,B,R2C10,Date,2019-11-27 00:00:00.000
SA-5,A,R2C7,Date,2019-10-03 00:00:00.000
SC-4,C,R2C6,Date,2019-09-25 00:00:00.000
SC-6,C,R2C9,Date,2019-10-09 00:00:00.000
SC-6,C,R5C2,Date,2019-10-09 00:00:00.000
SA-2,A,R3C3,Date,2019-09-12 00:00:00.000
SB-14,B,R1C1,Date,2019-12-18 00:00:00.000
SA-3,A,R2C13,Date,2019-09-19 00:00:00.000
SB-16,B,R1C15,Date,2020-01-01 00:00:00.000
SA-10,A,R1C12,Date,2019-11-14 00:00:00.000
SA-5,A,R3C5,Date,2019-10-03 00:00:00.000
SA-9,A,R4C3,Date,2019-11-07 00:00:00.000
SA-13,A,R1C10,Date,2019-12-04 00:00:00.000
SA-7,C,R4C11,Date,2019-10-16 00:00:00.000
SC-12,C,R5C6,Date,2019-12-04 00:00:00.000
SB-13,B,R3C9,Date,2019-12-11 00:00:00.000
SC-14,C,R4C5,Date,2019-12-18 00:00:00.000
SC-15,C,R1C4,Date,2019-12-24 00:00:00.000
SC-3,C,R4C5,Date,2019-09-18 00:00:00.000
SB-1,B,R1C6,Date,2019-09-04 00:00:00.000
SA-5,A,R1C12,Date,2019-10-03 00:00:00.000
SC-4,C,R5C9,Date,2019-09-25 00:00:00.000
SB-5,B,R2C3,Date,2019-10-02 00:00:00.000
SA-11,A,R4C8,Date,2019-11-21 00:00:00.000
SB-8,B,R4C9,Date,2019-10-23 00:00:00.000
SC-1,C,R3C3,Date,2019-09-04 00:00:00.000
SA-7,A,R3C9,Date,2019-10-17 00:00:00.000
SC-8,C,R4C14,Date,2019-10-23 00:00:00.000
SB-15,B,R2C3,Date,2019-12-24 00:00:00.000
SB-10,B,R1C15,Date,2019-11-20 00:00:00.000
