Date,Days - Current,Month,Year,Short Date,Mth-Day,Quarter In Year,Quarter,Month In Year,QuotesExists,Days-Last 12,Days-Last 20,Days-Last 30,Mths-Last 12,Mths-Last 13,Years-Current,Years-Last 2,Years-Last 4,Years-Last 5,Years-Last 7,Years-Last 9,Last YTD,Mths-Last  2,Mths-Current,Days-Last  5,Years-Last 3,Days-Last 10,Day In Year,Years-Initial,Mths-Initial
2002-12-31 00:00:00.000,"No","2002-12",2002,"02-12-31","12-31","Q4","2002-Q4",12,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",1,"Yes","Yes"
2003-01-01 00:00:00.000,"No","2003-01",2003,"03-01-01","01-01","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",1,"No","No"
2003-01-02 00:00:00.000,"No","2003-01",2003,"03-01-02","01-02","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",2,"No","No"
2003-01-03 00:00:00.000,"No","2003-01",2003,"03-01-03","01-03","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",3,"No","No"
2003-01-04 00:00:00.000,"No","2003-01",2003,"03-01-04","01-04","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",4,"No","No"
2003-01-05 00:00:00.000,"No","2003-01",2003,"03-01-05","01-05","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",5,"No","No"
2003-01-06 00:00:00.000,"No","2003-01",2003,"03-01-06","01-06","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",6,"No","No"
2003-01-07 00:00:00.000,"No","2003-01",2003,"03-01-07","01-07","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",7,"No","No"
2003-01-08 00:00:00.000,"No","2003-01",2003,"03-01-08","01-08","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",8,"No","No"
2003-01-09 00:00:00.000,"No","2003-01",2003,"03-01-09","01-09","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",9,"No","No"
2003-01-10 00:00:00.000,"No","2003-01",2003,"03-01-10","01-10","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",10,"No","No"
2003-01-11 00:00:00.000,"No","2003-01",2003,"03-01-11","01-11","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",11,"No","No"
2003-01-12 00:00:00.000,"No","2003-01",2003,"03-01-12","01-12","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",12,"No","No"
2003-01-13 00:00:00.000,"No","2003-01",2003,"03-01-13","01-13","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",13,"No","No"
2003-01-14 00:00:00.000,"No","2003-01",2003,"03-01-14","01-14","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",14,"No","No"
2003-01-15 00:00:00.000,"No","2003-01",2003,"03-01-15","01-15","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",15,"No","No"
2003-01-16 00:00:00.000,"No","2003-01",2003,"03-01-16","01-16","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",16,"No","No"
2003-01-17 00:00:00.000,"No","2003-01",2003,"03-01-17","01-17","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",17,"No","No"
2003-01-18 00:00:00.000,"No","2003-01",2003,"03-01-18","01-18","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",18,"No","No"
2003-01-19 00:00:00.000,"No","2003-01",2003,"03-01-19","01-19","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",19,"No","No"
2003-01-20 00:00:00.000,"No","2003-01",2003,"03-01-20","01-20","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",20,"No","No"
2003-01-21 00:00:00.000,"No","2003-01",2003,"03-01-21","01-21","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",21,"No","No"
2003-01-22 00:00:00.000,"No","2003-01",2003,"03-01-22","01-22","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",22,"No","No"
2003-01-23 00:00:00.000,"No","2003-01",2003,"03-01-23","01-23","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",23,"No","No"
2003-01-24 00:00:00.000,"No","2003-01",2003,"03-01-24","01-24","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",24,"No","No"
2003-01-25 00:00:00.000,"No","2003-01",2003,"03-01-25","01-25","Q1","2003-Q1",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",25,"No","No"
