DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20100701,2010-07-01 00:00:00.000,5,"Thursday","Jueves","Jeudi",1,182,27,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100702,2010-07-02 00:00:00.000,6,"Friday","Viernes","Vendredi",2,183,27,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100703,2010-07-03 00:00:00.000,7,"Saturday","Sábado","Samedi",3,184,27,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100704,2010-07-04 00:00:00.000,1,"Sunday","Domingo","Dimanche",4,185,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100705,2010-07-05 00:00:00.000,2,"Monday","Lunes","Lundi",5,186,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100706,2010-07-06 00:00:00.000,3,"Tuesday","Martes","Mardi",6,187,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100707,2010-07-07 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",7,188,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100708,2010-07-08 00:00:00.000,5,"Thursday","Jueves","Jeudi",8,189,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100709,2010-07-09 00:00:00.000,6,"Friday","Viernes","Vendredi",9,190,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100710,2010-07-10 00:00:00.000,7,"Saturday","Sábado","Samedi",10,191,28,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100711,2010-07-11 00:00:00.000,1,"Sunday","Domingo","Dimanche",11,192,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100712,2010-07-12 00:00:00.000,2,"Monday","Lunes","Lundi",12,193,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100713,2010-07-13 00:00:00.000,3,"Tuesday","Martes","Mardi",13,194,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100714,2010-07-14 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",14,195,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100715,2010-07-15 00:00:00.000,5,"Thursday","Jueves","Jeudi",15,196,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100716,2010-07-16 00:00:00.000,6,"Friday","Viernes","Vendredi",16,197,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100717,2010-07-17 00:00:00.000,7,"Saturday","Sábado","Samedi",17,198,29,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100718,2010-07-18 00:00:00.000,1,"Sunday","Domingo","Dimanche",18,199,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100719,2010-07-19 00:00:00.000,2,"Monday","Lunes","Lundi",19,200,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100720,2010-07-20 00:00:00.000,3,"Tuesday","Martes","Mardi",20,201,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100721,2010-07-21 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",21,202,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100722,2010-07-22 00:00:00.000,5,"Thursday","Jueves","Jeudi",22,203,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100723,2010-07-23 00:00:00.000,6,"Friday","Viernes","Vendredi",23,204,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100724,2010-07-24 00:00:00.000,7,"Saturday","Sábado","Samedi",24,205,30,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100725,2010-07-25 00:00:00.000,1,"Sunday","Domingo","Dimanche",25,206,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100726,2010-07-26 00:00:00.000,2,"Monday","Lunes","Lundi",26,207,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100727,2010-07-27 00:00:00.000,3,"Tuesday","Martes","Mardi",27,208,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100728,2010-07-28 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",28,209,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100729,2010-07-29 00:00:00.000,5,"Thursday","Jueves","Jeudi",29,210,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100730,2010-07-30 00:00:00.000,6,"Friday","Viernes","Vendredi",30,211,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100731,2010-07-31 00:00:00.000,7,"Saturday","Sábado","Samedi",31,212,31,"July","Julio","Juillet",7,3,2010,2,1,2011,1
20100801,2010-08-01 00:00:00.000,1,"Sunday","Domingo","Dimanche",1,213,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100802,2010-08-02 00:00:00.000,2,"Monday","Lunes","Lundi",2,214,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100803,2010-08-03 00:00:00.000,3,"Tuesday","Martes","Mardi",3,215,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100804,2010-08-04 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",4,216,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100805,2010-08-05 00:00:00.000,5,"Thursday","Jueves","Jeudi",5,217,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100806,2010-08-06 00:00:00.000,6,"Friday","Viernes","Vendredi",6,218,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100807,2010-08-07 00:00:00.000,7,"Saturday","Sábado","Samedi",7,219,32,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100808,2010-08-08 00:00:00.000,1,"Sunday","Domingo","Dimanche",8,220,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100809,2010-08-09 00:00:00.000,2,"Monday","Lunes","Lundi",9,221,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100810,2010-08-10 00:00:00.000,3,"Tuesday","Martes","Mardi",10,222,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100811,2010-08-11 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",11,223,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100812,2010-08-12 00:00:00.000,5,"Thursday","Jueves","Jeudi",12,224,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100813,2010-08-13 00:00:00.000,6,"Friday","Viernes","Vendredi",13,225,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100814,2010-08-14 00:00:00.000,7,"Saturday","Sábado","Samedi",14,226,33,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100815,2010-08-15 00:00:00.000,1,"Sunday","Domingo","Dimanche",15,227,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100816,2010-08-16 00:00:00.000,2,"Monday","Lunes","Lundi",16,228,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100817,2010-08-17 00:00:00.000,3,"Tuesday","Martes","Mardi",17,229,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100818,2010-08-18 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",18,230,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100819,2010-08-19 00:00:00.000,5,"Thursday","Jueves","Jeudi",19,231,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100820,2010-08-20 00:00:00.000,6,"Friday","Viernes","Vendredi",20,232,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100821,2010-08-21 00:00:00.000,7,"Saturday","Sábado","Samedi",21,233,34,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100822,2010-08-22 00:00:00.000,1,"Sunday","Domingo","Dimanche",22,234,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100823,2010-08-23 00:00:00.000,2,"Monday","Lunes","Lundi",23,235,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100824,2010-08-24 00:00:00.000,3,"Tuesday","Martes","Mardi",24,236,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100825,2010-08-25 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",25,237,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100826,2010-08-26 00:00:00.000,5,"Thursday","Jueves","Jeudi",26,238,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100827,2010-08-27 00:00:00.000,6,"Friday","Viernes","Vendredi",27,239,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100828,2010-08-28 00:00:00.000,7,"Saturday","Sábado","Samedi",28,240,35,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100829,2010-08-29 00:00:00.000,1,"Sunday","Domingo","Dimanche",29,241,36,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100830,2010-08-30 00:00:00.000,2,"Monday","Lunes","Lundi",30,242,36,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100831,2010-08-31 00:00:00.000,3,"Tuesday","Martes","Mardi",31,243,36,"August","Agosto","Août",8,3,2010,2,1,2011,1
20100901,2010-09-01 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",1,244,36,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100902,2010-09-02 00:00:00.000,5,"Thursday","Jueves","Jeudi",2,245,36,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100903,2010-09-03 00:00:00.000,6,"Friday","Viernes","Vendredi",3,246,36,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100904,2010-09-04 00:00:00.000,7,"Saturday","Sábado","Samedi",4,247,36,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100905,2010-09-05 00:00:00.000,1,"Sunday","Domingo","Dimanche",5,248,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100906,2010-09-06 00:00:00.000,2,"Monday","Lunes","Lundi",6,249,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100907,2010-09-07 00:00:00.000,3,"Tuesday","Martes","Mardi",7,250,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100908,2010-09-08 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",8,251,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100909,2010-09-09 00:00:00.000,5,"Thursday","Jueves","Jeudi",9,252,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
