ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
310,20110506,20110518,20110513,28792,1,100,1,SO44599,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
225,20131106,20131118,20131113,29104,1,19,6,SO70185,2,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,
222,20131011,20131023,20131018,15638,1,98,10,SO68190,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,
479,20130706,20130718,20130713,27866,1,6,9,SO61653,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,
477,20130815,20130827,20130822,15929,1,98,10,SO64252,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
537,20130302,20130314,20130309,21961,1,6,9,SO53724,2,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,
378,20130202,20130214,20130209,18272,1,6,9,SO52107,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,
541,20130802,20130814,20130809,23977,1,100,7,SO63465,1,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248,,
310,20110327,20110408,20110403,13579,1,29,8,SO44258,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
539,20131121,20131203,20131128,11203,1,19,6,SO71235,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,
353,20130922,20131004,20130929,14234,1,6,9,SO66873,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,
604,20130601,20130613,20130608,28316,1,6,9,SO59254,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,,
539,20130927,20131009,20131004,15605,1,6,9,SO67149,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,
480,20131228,20140109,20140104,17967,2,98,10,SO74120,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,
375,20120108,20120120,20120115,13202,1,100,4,SO46763,1,1,1,2181.5625,2181.5625,0,0,1320.6838,1320.6838,2181.5625,174.525,54.5391,,
480,20130626,20130708,20130703,13607,1,100,8,SO60895,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,
477,20131205,20131217,20131212,29395,1,98,7,SO72382,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
477,20130810,20130822,20130817,23458,1,19,6,SO63970,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
313,20110111,20110123,20110118,11592,1,39,7,SO43751,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
535,20130924,20131006,20131001,24749,1,100,4,SO66963,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,
481,20140106,20140118,20140113,19953,1,100,9,SO74421,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,
476,20130201,20130213,20130208,15157,1,19,6,SO52091,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,
538,20130513,20130525,20130520,21099,1,100,7,SO57928,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,
478,20130305,20130317,20130312,21472,1,100,4,SO53890,1,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,
491,20130326,20130407,20130402,21298,1,100,1,SO55053,3,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,
225,20130319,20130331,20130326,17078,1,6,9,SO54667,1,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,
384,20130301,20130313,20130308,19683,2,100,1,SO53718,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,
478,20131017,20131029,20131024,14341,1,19,6,SO68567,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,
313,20110419,20110501,20110426,28362,1,100,4,SO44428,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
599,20130730,20130811,20130806,14997,1,100,8,SO63070,1,1,1,539.99,539.99,0,0,294.5797,294.5797,539.99,43.1992,13.4998,,
477,20130808,20130820,20130815,17602,1,100,4,SO63847,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
377,20120601,20120613,20120608,22953,1,6,9,SO48435,1,1,1,2181.5625,2181.5625,0,0,1320.6838,1320.6838,2181.5625,174.525,54.5391,,
225,20130419,20130501,20130426,20758,1,100,1,SO56454,3,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,
536,20130221,20130305,20130228,12055,1,19,6,SO53094,1,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498,,
357,20131006,20131018,20131013,14702,1,98,10,SO67850,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,
563,20131001,20131013,20131008,27279,1,100,1,SO67560,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,
477,20130601,20130613,20130608,20461,1,100,4,SO59240,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
465,20130710,20130722,20130717,24826,1,100,1,SO61868,4,1,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123,,
214,20130811,20130823,20130818,21684,1,100,7,SO64032,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,
480,20131223,20140104,20131230,16346,1,6,9,SO73717,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,
225,20140128,20140209,20140204,15160,1,100,4,SO75105,3,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,
587,20130715,20130727,20130722,14639,1,100,4,SO62211,1,1,1,769.49,769.49,0,0,419.7784,419.7784,769.49,61.5592,19.2373,,
485,20130513,20130525,20130520,23024,1,100,1,SO57916,3,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,
385,20121118,20121130,20121125,14442,1,100,4,SO50542,1,1,1,1000.4375,1000.4375,0,0,605.6492,605.6492,1000.4375,80.035,25.0109,,
528,20140117,20140129,20140124,15749,1,100,1,SO74769,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
528,20130203,20130215,20130210,21339,1,19,6,SO52192,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
485,20130722,20130803,20130729,15942,1,19,6,SO62612,1,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,
375,20120111,20120123,20120118,13214,1,100,1,SO46793,1,1,1,2181.5625,2181.5625,0,0,1320.6838,1320.6838,2181.5625,174.525,54.5391,,
353,20131106,20131118,20131113,20560,1,100,8,SO70171,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,
360,20120228,20120311,20120306,12585,1,6,9,SO47346,1,1,1,2049.0982,2049.0982,0,0,1105.81,1105.81,2049.0982,163.9279,51.2275,,
541,20130424,20130506,20130501,29113,1,6,9,SO56748,2,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248,,
341,20121016,20121028,20121023,19434,1,100,7,SO50081,1,1,1,782.99,782.99,0,0,486.7066,486.7066,782.99,62.6392,19.5748,,
354,20121123,20121205,20121130,12742,1,100,8,SO50601,1,1,1,2071.4196,2071.4196,0,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,
222,20130630,20130712,20130707,13996,1,6,9,SO61275,1,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,
488,20130202,20130214,20130209,11700,1,100,4,SO52122,1,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,
480,20130507,20130519,20130514,22547,1,100,4,SO57605,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,
231,20130208,20130220,20130215,26348,1,19,6,SO52434,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,,
476,20130118,20130130,20130125,14078,1,19,6,SO51519,2,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,
479,20130905,20130917,20130912,24166,1,6,9,SO65780,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,
541,20140107,20140119,20140114,11566,1,100,7,SO74463,1,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248,,
465,20131220,20140101,20131227,22188,1,100,1,SO73574,3,1,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123,,
388,20130406,20130418,20130413,16523,1,6,9,SO55738,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,
575,20130808,20130820,20130815,12004,1,6,9,SO63878,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,
382,20131219,20131231,20131226,22235,1,100,4,SO73486,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,
353,20130131,20130212,20130207,12060,2,19,6,SO52057,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,
535,20130523,20130604,20130530,26531,1,100,4,SO58494,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,
214,20130324,20130405,20130331,12317,1,98,10,SO54934,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,
314,20110617,20110629,20110624,14843,1,98,10,SO44928,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
528,20140126,20140207,20140202,15300,1,100,1,SO75051,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
388,20131101,20131113,20131108,21794,1,100,4,SO69859,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,
528,20130613,20130625,20130620,14829,1,100,7,SO60075,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
537,20131125,20131207,20131202,19265,1,6,9,SO71495,2,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,
487,20130817,20130829,20130824,20640,1,100,4,SO64423,2,1,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748,,
530,20130911,20130923,20130918,27975,1,6,9,SO66160,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
561,20130601,20130613,20130608,25404,1,100,4,SO59261,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,
310,20110426,20110508,20110503,17923,1,6,9,SO44453,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
214,20130817,20130829,20130824,14850,1,100,7,SO64407,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,
536,20130207,20130219,20130214,17251,1,6,9,SO52365,1,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498,,
537,20130925,20131007,20131002,11180,1,100,4,SO67055,1,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,
538,20130901,20130913,20130908,29472,1,98,7,SO65533,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,
484,20131216,20131228,20131223,24472,1,6,9,SO73188,2,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,,
357,20130424,20130506,20130501,12709,1,100,4,SO56743,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,
234,20131021,20131102,20131028,27402,1,19,6,SO68841,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,,
485,20130621,20130703,20130628,13352,1,100,4,SO60602,1,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,
356,20120213,20120225,20120220,26277,1,100,1,SO47201,1,1,1,2071.4196,2071.4196,0,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,
535,20140124,20140205,20140131,25877,1,100,1,SO74982,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,
538,20131120,20131202,20131127,23508,1,100,1,SO71209,2,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,
313,20111110,20111122,20111117,11939,1,100,4,SO46194,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
530,20130701,20130713,20130708,27065,1,100,4,SO61329,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
537,20130727,20130808,20130803,11205,1,100,1,SO62917,1,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,
214,20130405,20130417,20130412,29049,1,100,1,SO55693,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,
361,20131208,20131220,20131215,22836,1,100,8,SO72588,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,
312,20110112,20110124,20110119,27617,1,100,1,SO43754,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,
528,20130523,20130604,20130530,15958,1,100,1,SO58504,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
530,20130625,20130707,20130702,14988,1,98,10,SO60870,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,
471,20130426,20130508,20130503,16193,1,98,10,SO56822,2,1,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875,,
478,20130310,20130322,20130317,14982,1,98,10,SO54164,3,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,
380,20130601,20130613,20130608,20461,1,100,4,SO59240,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,
580,20130602,20130614,20130609,17269,1,100,1,SO59338,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,,
529,20130402,20130414,20130409,28796,1,100,4,SO55516,1,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,
