id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,week (bins)
1207931,11,108,1902,446.23,446.23,0,0,14,8
1357131,14,43,1902,446.23,446.23,0,0,14,12
1131305,21,132,1902,446.23,446.23,0,0,14,20
1424579,23,59,1902,446.23,446.23,0,0,14,20
1328287,25,52,1902,446.23,446.23,0,0,14,24
1124883,25,17,1902,446.23,446.23,0,0,14,24
1101655,31,27,1902,446.23,446.23,0,0,14,28
1133571,31,132,1902,446.23,446.23,0,0,14,28
1469525,35,13,1902,446.23,446.23,0,0,14,32
1286318,37,109,1902,446.23,446.23,0,0,14,36
1423226,39,17,1902,446.23,446.23,0,0,14,36
1108894,47,51,1902,446.23,446.23,0,0,14,44
1339325,60,65,1902,446.23,446.23,0,0,14,60
1193610,61,73,1902,446.23,446.23,0,0,14,60
1159694,62,74,1902,446.23,446.23,0,0,14,60
1068393,62,64,1902,446.23,446.23,0,0,14,60
1411674,63,109,1902,446.23,446.23,0,0,14,60
1088715,64,88,1902,446.23,446.23,0,0,14,64
1060540,65,153,1902,446.23,446.23,0,0,14,64
1184120,66,51,1902,446.23,446.23,0,0,14,64
1417711,67,58,1902,446.23,446.23,0,0,14,64
1065528,72,80,1902,446.23,446.23,0,0,14,72
1489320,73,59,1902,446.23,446.23,0,0,14,72
1014878,74,61,1902,446.23,446.23,0,0,14,72
1103785,75,174,1902,446.23,446.23,0,0,14,72
1304856,77,64,1902,446.23,446.23,0,0,14,76
1121903,77,17,1902,446.23,446.23,0,0,14,76
1089680,78,27,1902,446.23,446.23,0,0,14,76
1380153,80,57,1902,446.23,446.23,0,0,14,80
1072180,80,66,1902,446.23,446.23,0,0,14,80
1021702,81,20,1902,446.23,446.23,0,0,14,80
1122482,82,132,1902,446.23,446.23,0,0,14,80
1498962,83,29,1902,446.23,446.23,0,0,14,80
1169648,85,94,1902,446.23,446.23,0,0,14,84
1482132,88,43,1902,446.23,446.23,0,0,14,88
1184579,89,152,1902,446.23,446.23,0,0,14,88
1433523,90,80,1902,446.23,446.23,0,0,14,88
1127958,92,143,1902,446.23,446.23,0,0,14,92
1477633,93,36,1902,446.23,446.23,0,0,14,92
1241755,94,42,1902,446.23,446.23,0,0,14,92
1244452,95,26,1902,446.23,446.23,0,0,14,92
1319358,97,55,1902,446.23,446.23,0,0,14,96
1334917,97,11,1902,446.23,446.23,0,0,14,96
1453751,97,99,1902,446.23,446.23,0,0,14,96
1050634,97,161,1902,446.23,446.23,0,0,14,96
1237943,98,137,1902,446.23,446.23,0,0,14,96
1201821,98,157,1902,446.23,446.23,0,0,14,96
1463376,99,75,1902,446.23,446.23,0,0,14,96
1132209,100,11,1902,446.23,446.23,0,0,14,100
1103389,100,113,1902,446.23,446.23,0,0,14,100
1028028,101,110,1902,446.23,446.23,0,0,14,100
