num_boletim,data_hora_boletim,"  seq_veic"," cod_categ"," descricao_categoria"," cod_especie","  descricao_especie"," cod_situacao"," desc_situacao"," tipo_socorro"," desc_tipo_socorro"
"2016-026389227-001",2016-12-06 10:55:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026413610-001",2016-12-06 14:31:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026416184-001",2016-12-05 06:00:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026419084-001",2016-12-05 10:30:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026419620-001",2016-12-06 13:02:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026423104-001",2016-12-06 11:08:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026427810-001",2016-12-06 18:42:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026439555-001",2016-12-06 20:11:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026482325-001",2016-12-07 12:54:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026486232-001",2016-12-07 13:05:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026722412-001",2016-12-10 15:40:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026727995-001",2016-12-10 18:50:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026743929-001",2016-12-10 23:57:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026748950-001",2016-12-11 02:19:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"2016-026750686-001",2016-12-11 04:42:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
"822146",2016-01-11 01:30:00.000,1,3,"PARTICULAR",6,"AUTOMOVEL",1,"EM MOVIMENTO",0,"NÃO INFORMADO"
