num_boletim,data_hora_boletim,numero_envolvido,condutor,codigo_severidade,desc_severidade,sexo,cinto_seguranca,Embreagues,Idade,nascimento,categoria_habilitacao,descricao_habilitacao,declaracao_obito,cod_severidade_antiga,especie_veiculo,pedestre,passageiro
"2018-032953261-001",2018-07-26 15:17:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",26,"01/11/1991","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-032966260-001",2018-07-26 16:34:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",38,"03/11/1979","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-032980903-001",2018-07-26 17:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",59,"08/07/1959","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-032985241-001",2018-07-26 15:05:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",36,"01/07/1982","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-042155255-001",2018-09-20 20:00:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",50,"01/11/1967","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-042189078-001",2018-09-21 01:00:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",46,"03/06/1972","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-042203151-001",2018-09-21 06:42:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",24,"27/12/1993","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-041185176-001",2018-09-14 17:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",43,"16/11/1974","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-041187777-001",2018-09-14 14:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",25,"04/02/1993","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2018-041210836-001",2018-09-14 20:45:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",47,"18/01/1971","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
