Key,GeoLevel,Date,CumulativeCases,CumulativeDeaths,IncrementalCases,IncrementalDeaths,Country
"Country_French Polynesia","Country",2020-01-05 00:00:00.000,0,0,0,0,"French Polynesia"
"Country_Mexico","Country",2020-01-05 00:00:00.000,0,0,0,0,"Mexico"
"Country_Lebanon","Country",2020-01-05 00:00:00.000,0,0,0,0,"Lebanon"
"Country_Dominica","Country",2020-01-05 00:00:00.000,0,0,0,0,"Dominica"
"Country_Lithuania","Country",2020-01-05 00:00:00.000,0,0,0,0,"Lithuania"
"Country_Benin","Country",2020-01-05 00:00:00.000,0,0,0,0,"Benin"
"Country_Trinidad and Tobago","Country",2020-01-05 00:00:00.000,0,0,0,0,"Trinidad and Tobago"
"Country_Albania","Country",2020-01-05 00:00:00.000,0,0,0,0,"Albania"
"Country_Cyprus","Country",2020-01-05 00:00:00.000,0,0,0,0,"Cyprus"
"Country_Belarus","Country",2020-01-05 00:00:00.000,0,0,0,0,"Belarus"
"Country_Togo","Country",2020-01-05 00:00:00.000,0,0,0,0,"Togo"
"Country_Pakistan","Country",2020-01-05 00:00:00.000,0,0,0,0,"Pakistan"
"Country_Montserrat","Country",2020-01-05 00:00:00.000,0,0,0,0,"Montserrat"
"Country_occupied Palestinian territory, including east Jerusalem","Country",2020-01-05 00:00:00.000,0,0,0,0,"occupied Palestinian territory, including east Jerusalem"
"Country_Greenland","Country",2020-01-05 00:00:00.000,0,0,0,0,"Greenland"
"Country_Holy See","Country",2020-01-05 00:00:00.000,0,0,0,0,"Holy See"
"Country_Democratic Republic of the Congo","Country",2020-01-05 00:00:00.000,0,0,0,0,"Democratic Republic of the Congo"
"Country_Uruguay","Country",2020-01-05 00:00:00.000,0,0,0,0,"Uruguay"
"Country_San Marino","Country",2020-01-05 00:00:00.000,0,0,0,0,"San Marino"
"Country_Andorra","Country",2020-01-05 00:00:00.000,0,0,0,0,"Andorra"
"Country_Fiji","Country",2020-01-05 00:00:00.000,0,0,0,0,"Fiji"
"Country_Saint Lucia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Saint Lucia"
"Country_Latvia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Latvia"
"Country_Suriname","Country",2020-01-05 00:00:00.000,0,0,0,0,"Suriname"
"Country_Djibouti","Country",2020-01-05 00:00:00.000,0,0,0,0,"Djibouti"
"Country_United Republic of Tanzania","Country",2020-01-05 00:00:00.000,0,0,0,0,"United Republic of Tanzania"
"Country_Guadeloupe","Country",2020-01-05 00:00:00.000,0,0,0,0,"Guadeloupe"
"Country_Mali","Country",2020-01-05 00:00:00.000,0,0,0,0,"Mali"
"Country_Libya","Country",2020-01-05 00:00:00.000,0,0,0,0,"Libya"
"Country_Cabo Verde","Country",2020-01-05 00:00:00.000,0,0,0,0,"Cabo Verde"
"Country_Luxembourg","Country",2020-01-05 00:00:00.000,0,0,0,0,"Luxembourg"
"Country_Kosovo[1]","Country",2020-01-05 00:00:00.000,0,0,0,0,"Kosovo[1]"
"Country_Liechtenstein","Country",2020-01-05 00:00:00.000,0,0,0,0,"Liechtenstein"
"Country_Faroe Islands","Country",2020-01-05 00:00:00.000,0,0,0,0,"Faroe Islands"
"Country_Iceland","Country",2020-01-05 00:00:00.000,0,0,0,0,"Iceland"
"Country_Papua New Guinea","Country",2020-01-05 00:00:00.000,0,0,0,0,"Papua New Guinea"
"Country_Indonesia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Indonesia"
"Country_Botswana","Country",2020-01-05 00:00:00.000,0,0,0,0,"Botswana"
"Country_New Zealand","Country",2020-01-05 00:00:00.000,0,0,0,0,"New Zealand"
"Country_Sri Lanka","Country",2020-01-05 00:00:00.000,0,0,0,0,"Sri Lanka"
"Country_Ecuador","Country",2020-01-05 00:00:00.000,0,0,0,0,"Ecuador"
"Country_Saint Pierre and Miquelon","Country",2020-01-05 00:00:00.000,0,0,0,0,"Saint Pierre and Miquelon"
"Country_Jamaica","Country",2020-01-05 00:00:00.000,0,0,0,0,"Jamaica"
"Country_Slovakia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Slovakia"
"Country_Guyana","Country",2020-01-05 00:00:00.000,0,0,0,0,"Guyana"
"Country_Aruba","Country",2020-01-05 00:00:00.000,0,0,0,0,"Aruba"
"Country_Congo","Country",2020-01-05 00:00:00.000,0,0,0,0,"Congo"
"Country_New Caledonia","Country",2020-01-05 00:00:00.000,0,0,0,0,"New Caledonia"
"Country_Gabon","Country",2020-01-05 00:00:00.000,0,0,0,0,"Gabon"
"Country_Syrian Arab Republic","Country",2020-01-05 00:00:00.000,0,0,0,0,"Syrian Arab Republic"
"Country_Canada","Country",2020-01-05 00:00:00.000,0,0,0,0,"Canada"
"Country_Yemen","Country",2020-01-05 00:00:00.000,0,0,0,0,"Yemen"
"Country_Mauritius","Country",2020-01-05 00:00:00.000,0,0,0,0,"Mauritius"
"Country_Iran (Islamic Republic of)","Country",2020-01-05 00:00:00.000,0,0,0,0,"Iran (Islamic Republic of)"
"Country_Martinique","Country",2020-01-05 00:00:00.000,0,0,0,0,"Martinique"
"Country_Guinea-Bissau","Country",2020-01-05 00:00:00.000,0,0,0,0,"Guinea-Bissau"
"Country_Thailand","Country",2020-01-05 00:00:00.000,0,0,0,0,"Thailand"
"Country_South Sudan","Country",2020-01-05 00:00:00.000,0,0,0,0,"South Sudan"
"Country_Netherlands","Country",2020-01-05 00:00:00.000,0,0,0,0,"Netherlands"
"Country_Cuba","Country",2020-01-05 00:00:00.000,0,0,0,0,"Cuba"
"Country_India","Country",2020-01-05 00:00:00.000,0,0,0,0,"India"
"Country_Afghanistan","Country",2020-01-05 00:00:00.000,0,0,0,0,"Afghanistan"
"Country_Georgia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Georgia"
"Country_Tajikistan","Country",2020-01-05 00:00:00.000,0,0,0,0,"Tajikistan"
"Country_Armenia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Armenia"
"Country_Falkland Islands (Malvinas)","Country",2020-01-05 00:00:00.000,0,0,0,0,"Falkland Islands (Malvinas)"
"Country_British Virgin Islands","Country",2020-01-05 00:00:00.000,0,0,0,0,"British Virgin Islands"
"Country_Bangladesh","Country",2020-01-05 00:00:00.000,0,0,0,0,"Bangladesh"
"Country_Seychelles","Country",2020-01-05 00:00:00.000,0,0,0,0,"Seychelles"
"Country_Cambodia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Cambodia"
"Country_Mongolia","Country",2020-01-05 00:00:00.000,0,0,0,0,"Mongolia"
"Country_Nepal","Country",2020-01-05 00:00:00.000,0,0,0,0,"Nepal"
"Country_Reunion","Country",2020-01-05 00:00:00.000,0,0,0,0,"Reunion"
"Country_Saint Barthelemy","Country",2020-01-05 00:00:00.000,0,0,0,0,"Saint Barthelemy"
"Country_Israel","Country",2020-01-05 00:00:00.000,0,0,0,0,"Israel"
"Country_Mauritania","Country",2020-01-05 00:00:00.000,0,0,0,0,"Mauritania"
