ISO,Country,REGION,Continent,Population,Growth Rate,Flag,Area (km2),Density
"AFG","Afghanistan","Asia","Asia",38041754,1.0233,"http://countryflags.azurewebsites.net/src/flag-of-Afghanistan.png",652230,58.3257
"ALB","Albania","Europe","Europe",2880917,0.9989,"http://countryflags.azurewebsites.net/src/flag-of-Albania.png",28748,100.2128
"DZA","Algeria","Africa","Africa",43053054,1.0185,"http://countryflags.azurewebsites.net/src/flag-of-Algeria.png",2381741,18.0763
"AGO","Angola","Africa","Africa",31825295,1.0327,"http://countryflags.azurewebsites.net/src/flag-of-Angola.png",1246700,25.5276
"ATG","Antigua and Barbuda","Americas","Central and South America",,,"",,
"ARG","Argentina","Americas","Central and South America",44780677,1.0093,"http://countryflags.azurewebsites.net/src/flag-of-Argentina.png",2780400,16.1058
"ARM","Armenia","Middle east","Middle east",2957731,1.0019,"http://countryflags.azurewebsites.net/src/flag-of-Armenia.png",29743,99.4429
"AUS","Australia","Pacific","Pacific",25203198,1.0118,"http://countryflags.azurewebsites.net/src/flag-of-Australia.png",7692024,3.2765
"AUT","Austria","Europe","Europe",8955102,1.0057,"http://countryflags.azurewebsites.net/src/flag-of-Austria.png",83871,106.7723
"AZE","Azerbaijan","Middle east","Middle east",10047718,1.0091,"http://countryflags.azurewebsites.net/src/flag-of-Azerbaijan.png",86600,116.0245
"BHS","Bahamas","Americas","Central and South America",389482,1.0097,"http://countryflags.azurewebsites.net/src/flag-of-Bahamas.png",13943,27.9339
"BHR","Bahrain","Middle east","Middle east",1641172,1.0368,"http://countryflags.azurewebsites.net/src/flag-of-Bahrain.png",765,2145.3229
"BGD","Bangladesh","Asia","Asia",163046161,1.0101,"http://countryflags.azurewebsites.net/src/flag-of-Bangladesh.png",147570,1104.8734
"BRB","Barbados","Americas","Central and South America",287025,1.0012,"http://countryflags.azurewebsites.net/src/flag-of-Barbados.png",430,667.5
"BLR","Belarus","Europe","Europe",9452411,0.9997,"http://countryflags.azurewebsites.net/src/flag-of-Belarus.png",207600,45.5318
