Data,Id Loja,Valor
2021-09-15 00:00:00.000,20,10920
2021-11-09 00:00:00.000,20,11960
2021-09-15 00:00:00.000,20,10920
2021-10-22 00:00:00.000,30,2600
2021-09-02 00:00:00.000,10,10140
2021-10-10 00:00:00.000,20,10920
2021-09-15 00:00:00.000,30,2600
2021-09-15 00:00:00.000,30,2600
2021-10-22 00:00:00.000,20,10400
2021-11-09 00:00:00.000,30,3640
2021-09-10 00:00:00.000,10,13000
2021-11-08 00:00:00.000,10,13000
2021-11-09 00:00:00.000,10,9360
2021-10-10 00:00:00.000,10,10400
2021-09-15 00:00:00.000,30,2600
2021-10-22 00:00:00.000,30,2600
2021-10-22 00:00:00.000,10,13000
2021-11-16 00:00:00.000,30,5000
2021-11-07 00:00:00.000,30,2600
2021-10-10 00:00:00.000,30,2600
2021-11-17 00:00:00.000,30,6300
2021-10-10 00:00:00.000,30,2600
2021-09-02 00:00:00.000,20,10140
2021-10-10 00:00:00.000,20,10400
2021-09-02 00:00:00.000,30,2600
2021-10-10 00:00:00.000,30,3640
2021-11-12 00:00:00.000,10,10400
