Date,30 year rate,15 year rate
2018-04-01 00:00:00.000,0.044,0.031
2018-04-02 00:00:00.000,0.044,0.03
2018-04-03 00:00:00.000,0.042,0.035
2018-04-04 00:00:00.000,0.041,0.031
2018-04-05 00:00:00.000,0.04,0.034
2018-04-06 00:00:00.000,0.04,0.032
2018-04-07 00:00:00.000,0.041,0.032
2018-04-08 00:00:00.000,0.042,0.032
2018-04-09 00:00:00.000,0.044,0.033
2018-04-10 00:00:00.000,0.044,0.034
2018-04-11 00:00:00.000,0.042,0.034
2018-04-12 00:00:00.000,0.043,0.035
2018-04-13 00:00:00.000,0.04,0.034
2018-04-14 00:00:00.000,0.045,0.034
2018-04-15 00:00:00.000,0.042,0.035
2018-04-16 00:00:00.000,0.044,0.031
2018-04-17 00:00:00.000,0.041,0.03
2018-04-18 00:00:00.000,0.043,0.032
2018-04-19 00:00:00.000,0.043,0.03
2018-04-20 00:00:00.000,0.045,0.032
2018-04-21 00:00:00.000,0.045,0.033
2018-04-22 00:00:00.000,0.045,0.03
2018-04-23 00:00:00.000,0.045,0.032
2018-04-24 00:00:00.000,0.045,0.03
2018-04-25 00:00:00.000,0.04,0.031
2018-04-26 00:00:00.000,0.04,0.034
2018-04-27 00:00:00.000,0.041,0.03
2018-04-28 00:00:00.000,0.044,0.031
2018-04-29 00:00:00.000,0.045,0.034
2018-04-30 00:00:00.000,0.044,0.032
2018-05-01 00:00:00.000,0.043,0.035
2018-05-02 00:00:00.000,0.044,0.035
2018-05-03 00:00:00.000,0.042,0.033
2018-05-04 00:00:00.000,0.045,0.03
2018-05-05 00:00:00.000,0.041,0.035
2018-05-06 00:00:00.000,0.045,0.034
2018-05-07 00:00:00.000,0.043,0.035
2018-05-08 00:00:00.000,0.044,0.033
2018-05-09 00:00:00.000,0.045,0.033
2018-05-10 00:00:00.000,0.043,0.03
2018-05-11 00:00:00.000,0.04,0.035
2018-05-12 00:00:00.000,0.044,0.034
2018-05-13 00:00:00.000,0.045,0.035
2018-05-14 00:00:00.000,0.042,0.03
2018-05-15 00:00:00.000,0.041,0.03
2018-05-16 00:00:00.000,0.044,0.03
2018-05-17 00:00:00.000,0.04,0.034
2018-05-18 00:00:00.000,0.04,0.035
2018-05-19 00:00:00.000,0.041,0.034
2018-05-20 00:00:00.000,0.042,0.032
2018-05-21 00:00:00.000,0.043,0.035
2018-05-22 00:00:00.000,0.04,0.035
2018-05-23 00:00:00.000,0.042,0.033
2018-05-24 00:00:00.000,0.04,0.032
2018-05-25 00:00:00.000,0.044,0.03
2018-05-26 00:00:00.000,0.042,0.03
2018-05-27 00:00:00.000,0.04,0.035
2018-05-28 00:00:00.000,0.043,0.034
2018-05-29 00:00:00.000,0.041,0.033
2018-05-30 00:00:00.000,0.04,0.031
2018-05-31 00:00:00.000,0.045,0.03
2018-06-01 00:00:00.000,0.042,0.032
2018-06-02 00:00:00.000,0.045,0.031
2018-06-03 00:00:00.000,0.04,0.032
2018-06-04 00:00:00.000,0.04,0.034
2018-06-05 00:00:00.000,0.045,0.03
2018-06-06 00:00:00.000,0.043,0.034
2018-06-07 00:00:00.000,0.04,0.03
2018-06-08 00:00:00.000,0.043,0.03
2018-06-09 00:00:00.000,0.04,0.032
2018-06-10 00:00:00.000,0.044,0.031
2018-06-11 00:00:00.000,0.041,0.031
2018-06-12 00:00:00.000,0.04,0.03
2018-06-13 00:00:00.000,0.045,0.033
2018-06-14 00:00:00.000,0.044,0.034
2018-06-15 00:00:00.000,0.042,0.03
2018-06-16 00:00:00.000,0.042,0.033
2018-06-17 00:00:00.000,0.042,0.03
2018-06-18 00:00:00.000,0.041,0.03
2018-06-19 00:00:00.000,0.041,0.033
2018-06-20 00:00:00.000,0.043,0.03
2018-06-21 00:00:00.000,0.042,0.035
2018-06-22 00:00:00.000,0.045,0.034
2018-06-23 00:00:00.000,0.042,0.032
2018-06-24 00:00:00.000,0.044,0.033
2018-06-25 00:00:00.000,0.041,0.035
2018-06-26 00:00:00.000,0.04,0.035
2018-06-27 00:00:00.000,0.044,0.033
2018-06-28 00:00:00.000,0.042,0.035
2018-06-29 00:00:00.000,0.044,0.033
2018-06-30 00:00:00.000,0.041,0.032
