Value,Dates
1,2018-01-01 00:00:00.000
2,2018-02-01 00:00:00.000
3,2018-03-01 00:00:00.000
4,2018-04-01 00:00:00.000
5,2018-05-01 00:00:00.000
6,2018-06-01 00:00:00.000
7,2018-07-01 00:00:00.000
8,2018-08-01 00:00:00.000
9,2018-09-01 00:00:00.000
10,2018-10-01 00:00:00.000
11,2018-11-01 00:00:00.000
12,2018-12-01 00:00:00.000
13,2019-01-01 00:00:00.000
14,2019-02-01 00:00:00.000
15,2019-03-01 00:00:00.000
16,2019-04-01 00:00:00.000
17,2019-05-01 00:00:00.000
18,2019-06-01 00:00:00.000
19,2019-07-01 00:00:00.000
20,2019-08-01 00:00:00.000
21,2019-09-01 00:00:00.000
22,2019-10-01 00:00:00.000
23,2019-11-01 00:00:00.000
24,2019-12-01 00:00:00.000
25,2020-01-01 00:00:00.000
26,2020-02-01 00:00:00.000
27,2020-03-01 00:00:00.000
28,2020-04-01 00:00:00.000
29,2020-05-01 00:00:00.000
30,2020-06-01 00:00:00.000
31,2020-07-01 00:00:00.000
32,2020-08-01 00:00:00.000
33,2020-09-01 00:00:00.000
34,2020-10-01 00:00:00.000
35,2020-11-01 00:00:00.000
36,2020-12-01 00:00:00.000
37,2021-01-01 00:00:00.000
38,2021-02-01 00:00:00.000
39,2021-03-01 00:00:00.000
40,2021-04-01 00:00:00.000
41,2021-05-01 00:00:00.000
42,2021-06-01 00:00:00.000
43,2021-07-01 00:00:00.000
44,2021-08-01 00:00:00.000
45,2021-09-01 00:00:00.000
46,2021-10-01 00:00:00.000
47,2021-11-01 00:00:00.000
48,2021-12-01 00:00:00.000
49,2022-01-01 00:00:00.000
50,2022-02-01 00:00:00.000
51,2022-03-01 00:00:00.000
52,2022-04-01 00:00:00.000
53,2022-05-01 00:00:00.000
54,2022-06-01 00:00:00.000
55,2022-07-01 00:00:00.000
56,2022-08-01 00:00:00.000
57,2022-09-01 00:00:00.000
58,2022-10-01 00:00:00.000
59,2022-11-01 00:00:00.000
60,2022-12-01 00:00:00.000
61,2023-01-01 00:00:00.000
62,2023-02-01 00:00:00.000
63,2023-03-01 00:00:00.000
64,2023-04-01 00:00:00.000
65,2023-05-01 00:00:00.000
66,2023-06-01 00:00:00.000
67,2023-07-01 00:00:00.000
68,2023-08-01 00:00:00.000
69,2023-09-01 00:00:00.000
70,2023-10-01 00:00:00.000
71,2023-11-01 00:00:00.000
72,2023-12-01 00:00:00.000
73,2024-01-01 00:00:00.000
74,2024-02-01 00:00:00.000
75,2024-03-01 00:00:00.000
76,2024-04-01 00:00:00.000
77,2024-05-01 00:00:00.000
78,2024-06-01 00:00:00.000
79,2024-07-01 00:00:00.000
80,2024-08-01 00:00:00.000
81,2024-09-01 00:00:00.000
82,2024-10-01 00:00:00.000
83,2024-11-01 00:00:00.000
84,2024-12-01 00:00:00.000
85,2025-01-01 00:00:00.000
86,2025-02-01 00:00:00.000
87,2025-03-01 00:00:00.000
88,2025-04-01 00:00:00.000
89,2025-05-01 00:00:00.000
90,2025-06-01 00:00:00.000
91,2025-07-01 00:00:00.000
92,2025-08-01 00:00:00.000
93,2025-09-01 00:00:00.000
94,2025-10-01 00:00:00.000
95,2025-11-01 00:00:00.000
96,2025-12-01 00:00:00.000
97,2026-01-01 00:00:00.000
98,2026-02-01 00:00:00.000
99,2026-03-01 00:00:00.000
100,2026-04-01 00:00:00.000
101,2026-05-01 00:00:00.000
102,2026-06-01 00:00:00.000
103,2026-07-01 00:00:00.000
104,2026-08-01 00:00:00.000
105,2026-09-01 00:00:00.000
106,2026-10-01 00:00:00.000
107,2026-11-01 00:00:00.000
108,2026-12-01 00:00:00.000
109,2027-01-01 00:00:00.000
110,2027-02-01 00:00:00.000
111,2027-03-01 00:00:00.000
112,2027-04-01 00:00:00.000
113,2027-05-01 00:00:00.000
114,2027-06-01 00:00:00.000
115,2027-07-01 00:00:00.000
116,2027-08-01 00:00:00.000
117,2027-09-01 00:00:00.000
118,2027-10-01 00:00:00.000
119,2027-11-01 00:00:00.000
120,2027-12-01 00:00:00.000
121,2028-01-01 00:00:00.000
122,2028-02-01 00:00:00.000
123,2028-03-01 00:00:00.000
124,2028-04-01 00:00:00.000
125,2028-05-01 00:00:00.000
126,2028-06-01 00:00:00.000
127,2028-07-01 00:00:00.000
128,2028-08-01 00:00:00.000
129,2028-09-01 00:00:00.000
130,2028-10-01 00:00:00.000
131,2028-11-01 00:00:00.000
132,2028-12-01 00:00:00.000
133,2029-01-01 00:00:00.000
134,2029-02-01 00:00:00.000
135,2029-03-01 00:00:00.000
136,2029-04-01 00:00:00.000
137,2029-05-01 00:00:00.000
138,2029-06-01 00:00:00.000
139,2029-07-01 00:00:00.000
140,2029-08-01 00:00:00.000
141,2029-09-01 00:00:00.000
142,2029-10-01 00:00:00.000
143,2029-11-01 00:00:00.000
144,2029-12-01 00:00:00.000
145,2030-01-01 00:00:00.000
146,2030-02-01 00:00:00.000
147,2030-03-01 00:00:00.000
148,2030-04-01 00:00:00.000
149,2030-05-01 00:00:00.000
150,2030-06-01 00:00:00.000
151,2030-07-01 00:00:00.000
152,2030-08-01 00:00:00.000
153,2030-09-01 00:00:00.000
154,2030-10-01 00:00:00.000
155,2030-11-01 00:00:00.000
156,2030-12-01 00:00:00.000
157,2031-01-01 00:00:00.000
158,2031-02-01 00:00:00.000
159,2031-03-01 00:00:00.000
160,2031-04-01 00:00:00.000
161,2031-05-01 00:00:00.000
162,2031-06-01 00:00:00.000
163,2031-07-01 00:00:00.000
164,2031-08-01 00:00:00.000
165,2031-09-01 00:00:00.000
166,2031-10-01 00:00:00.000
167,2031-11-01 00:00:00.000
168,2031-12-01 00:00:00.000
169,2032-01-01 00:00:00.000
170,2032-02-01 00:00:00.000
171,2032-03-01 00:00:00.000
172,2032-04-01 00:00:00.000
173,2032-05-01 00:00:00.000
174,2032-06-01 00:00:00.000
175,2032-07-01 00:00:00.000
176,2032-08-01 00:00:00.000
177,2032-09-01 00:00:00.000
178,2032-10-01 00:00:00.000
179,2032-11-01 00:00:00.000
180,2032-12-01 00:00:00.000
181,2033-01-01 00:00:00.000
182,2033-02-01 00:00:00.000
183,2033-03-01 00:00:00.000
184,2033-04-01 00:00:00.000
185,2033-05-01 00:00:00.000
186,2033-06-01 00:00:00.000
187,2033-07-01 00:00:00.000
188,2033-08-01 00:00:00.000
189,2033-09-01 00:00:00.000
190,2033-10-01 00:00:00.000
191,2033-11-01 00:00:00.000
192,2033-12-01 00:00:00.000
193,2034-01-01 00:00:00.000
194,2034-02-01 00:00:00.000
195,2034-03-01 00:00:00.000
196,2034-04-01 00:00:00.000
197,2034-05-01 00:00:00.000
198,2034-06-01 00:00:00.000
199,2034-07-01 00:00:00.000
200,2034-08-01 00:00:00.000
201,2034-09-01 00:00:00.000
202,2034-10-01 00:00:00.000
203,2034-11-01 00:00:00.000
204,2034-12-01 00:00:00.000
205,2035-01-01 00:00:00.000
206,2035-02-01 00:00:00.000
207,2035-03-01 00:00:00.000
208,2035-04-01 00:00:00.000
209,2035-05-01 00:00:00.000
210,2035-06-01 00:00:00.000
211,2035-07-01 00:00:00.000
212,2035-08-01 00:00:00.000
213,2035-09-01 00:00:00.000
214,2035-10-01 00:00:00.000
215,2035-11-01 00:00:00.000
216,2035-12-01 00:00:00.000
217,2036-01-01 00:00:00.000
218,2036-02-01 00:00:00.000
219,2036-03-01 00:00:00.000
220,2036-04-01 00:00:00.000
221,2036-05-01 00:00:00.000
222,2036-06-01 00:00:00.000
223,2036-07-01 00:00:00.000
224,2036-08-01 00:00:00.000
225,2036-09-01 00:00:00.000
226,2036-10-01 00:00:00.000
227,2036-11-01 00:00:00.000
228,2036-12-01 00:00:00.000
229,2037-01-01 00:00:00.000
230,2037-02-01 00:00:00.000
231,2037-03-01 00:00:00.000
232,2037-04-01 00:00:00.000
233,2037-05-01 00:00:00.000
234,2037-06-01 00:00:00.000
235,2037-07-01 00:00:00.000
236,2037-08-01 00:00:00.000
237,2037-09-01 00:00:00.000
238,2037-10-01 00:00:00.000
239,2037-11-01 00:00:00.000
240,2037-12-01 00:00:00.000
241,2038-01-01 00:00:00.000
242,2038-02-01 00:00:00.000
243,2038-03-01 00:00:00.000
244,2038-04-01 00:00:00.000
245,2038-05-01 00:00:00.000
246,2038-06-01 00:00:00.000
247,2038-07-01 00:00:00.000
248,2038-08-01 00:00:00.000
249,2038-09-01 00:00:00.000
250,2038-10-01 00:00:00.000
251,2038-11-01 00:00:00.000
252,2038-12-01 00:00:00.000
253,2039-01-01 00:00:00.000
254,2039-02-01 00:00:00.000
255,2039-03-01 00:00:00.000
256,2039-04-01 00:00:00.000
257,2039-05-01 00:00:00.000
258,2039-06-01 00:00:00.000
259,2039-07-01 00:00:00.000
260,2039-08-01 00:00:00.000
261,2039-09-01 00:00:00.000
262,2039-10-01 00:00:00.000
263,2039-11-01 00:00:00.000
264,2039-12-01 00:00:00.000
265,2040-01-01 00:00:00.000
266,2040-02-01 00:00:00.000
267,2040-03-01 00:00:00.000
268,2040-04-01 00:00:00.000
269,2040-05-01 00:00:00.000
270,2040-06-01 00:00:00.000
271,2040-07-01 00:00:00.000
272,2040-08-01 00:00:00.000
273,2040-09-01 00:00:00.000
274,2040-10-01 00:00:00.000
275,2040-11-01 00:00:00.000
276,2040-12-01 00:00:00.000
277,2041-01-01 00:00:00.000
278,2041-02-01 00:00:00.000
279,2041-03-01 00:00:00.000
280,2041-04-01 00:00:00.000
281,2041-05-01 00:00:00.000
282,2041-06-01 00:00:00.000
283,2041-07-01 00:00:00.000
284,2041-08-01 00:00:00.000
