EID,Gender,Company,Bilingual
"456","Male","A","Can Speak two languages"
"123","Female","A","Can speak one language"
"097","Male","B","Can Speak two languages"
"678","Female","B","Can Speak two languages"
"345","Male","B","Can speak one language"
"234","Male","A","Can speak one language"
"098","Female","A","Can Speak two languages"
"786","Female","A","Can speak one language"
"546","Female","B","Can Speak two languages"
"874","Female","B","Can Speak two languages"
"012","Male","A","Can Speak two languages"
"023","Male","A","Can speak one language"
"056","Male","B","Can speak one language"
"604","Female","B","Can Speak two languages"
