ID,X,Y,Matches.ID,Matches.X,Matches.Y
1,5,5,"1","5","5"
1,5,5,"2","0","0"
1,5,5,"3","9","9"
1,5,5,"7","10","10"
2,0,0,"1","5","5"
2,0,0,"2","0","0"
3,9,9,"1","5","5"
3,9,9,"3","9","9"
3,9,9,"7","10","10"
4,100,100,"4","100","100"
4,100,100,"5","105","105"
4,100,100,"6","95","95"
5,105,105,"4","100","100"
5,105,105,"5","105","105"
6,95,95,"4","100","100"
6,95,95,"6","95","95"
7,10,10,"1","5","5"
7,10,10,"3","9","9"
7,10,10,"7","10","10"
7,10,10,"8","15","15"
7,10,10,"9","10","15"
7,10,10,"10","15","10"
8,15,15,"7","10","10"
8,15,15,"8","15","15"
8,15,15,"9","10","15"
8,15,15,"10","15","10"
9,10,15,"7","10","10"
9,10,15,"8","15","15"
9,10,15,"9","10","15"
9,10,15,"10","15","10"
10,15,10,"7","10","10"
10,15,10,"8","15","15"
10,15,10,"9","10","15"
10,15,10,"10","15","10"
11,200,200,"11","200","200"
12,300,300,"12","300","300"
