transaction_id,variable,value
14237,product_id,71
14987,product_id,53
10674,product_id,4
5849,product_id,22
10963,product_id,3
4178,product_id,33
6464,product_id,0
17851,product_id,79
19273,product_id,23
13089,product_id,82
13569,product_id,27
459,product_id,51
3472,product_id,0
19478,product_id,55
4140,product_id,21
18882,product_id,74
4967,product_id,0
806,product_id,82
7306,product_id,82
17822,product_id,45
9710,product_id,46
1226,product_id,6
3762,product_id,21
15850,product_id,84
8364,product_id,90
18903,product_id,29
17184,product_id,77
14104,product_id,91
16756,product_id,21
1406,product_id,50
19096,product_id,72
10334,product_id,67
1123,product_id,25
351,product_id,59
2090,product_id,9
1092,product_id,92
798,product_id,3
11417,product_id,79
354,product_id,83
12510,product_id,52
13375,product_id,24
7228,product_id,16
10933,product_id,2
12069,product_id,91
814,product_id,0
10264,product_id,23
10136,product_id,96
16833,product_id,50
18305,product_id,77
4933,product_id,68
4136,product_id,47
19705,product_id,33
9284,product_id,3
14318,product_id,78
8665,product_id,91
9570,product_id,0
11272,product_id,46
2619,product_id,14
737,product_id,42
5989,product_id,9
19257,product_id,30
6077,product_id,14
2240,product_id,100
19947,product_id,67
19815,product_id,0
13250,product_id,0
15867,product_id,35
14507,product_id,0
11514,product_id,92
6062,product_id,80
12883,product_id,85
5573,product_id,93
18170,product_id,62
4844,product_id,60
4406,product_id,55
17401,product_id,69
18168,product_id,66
14865,product_id,91
16167,product_id,31
8082,product_id,40
4246,product_id,28
14050,product_id,4
6328,product_id,61
5186,product_id,89
3655,product_id,21
10619,product_id,59
16713,product_id,43
4555,product_id,54
15121,product_id,62
13453,product_id,71
1993,product_id,11
9697,product_id,29
4949,product_id,84
14041,product_id,48
2116,product_id,96
11235,product_id,59
18298,product_id,24
5584,product_id,3
5524,product_id,79
2503,product_id,58
14237,customer_id,1049
14987,customer_id,442
10674,customer_id,830
5849,customer_id,1560
10963,customer_id,1868
4178,customer_id,1844
6464,customer_id,413
17851,customer_id,709
19273,customer_id,2738
13089,customer_id,719
13569,customer_id,1914
459,customer_id,2821
3472,customer_id,412
19478,customer_id,2166
4140,customer_id,3279
18882,customer_id,1054
4967,customer_id,2217
806,customer_id,3028
7306,customer_id,780
17822,customer_id,3338
9710,customer_id,3302
1226,customer_id,1165
3762,customer_id,61
15850,customer_id,559
8364,customer_id,762
18903,customer_id,1683
17184,customer_id,1813
14104,customer_id,1519
16756,customer_id,297
1406,customer_id,2459
19096,customer_id,2523
10334,customer_id,2206
1123,customer_id,166
351,customer_id,1582
2090,customer_id,1611
1092,customer_id,3395
798,customer_id,729
11417,customer_id,2961
354,customer_id,533
12510,customer_id,2195
13375,customer_id,2342
7228,customer_id,1745
10933,customer_id,584
12069,customer_id,707
814,customer_id,928
10264,customer_id,2826
10136,customer_id,1636
16833,customer_id,1669
18305,customer_id,3443
4933,customer_id,1247
4136,customer_id,3399
19705,customer_id,3093
9284,customer_id,1594
14318,customer_id,1666
8665,customer_id,1599
9570,customer_id,638
11272,customer_id,2428
2619,customer_id,1279
737,customer_id,669
5989,customer_id,3055
19257,customer_id,2781
6077,customer_id,3081
2240,customer_id,1203
19947,customer_id,1030
19815,customer_id,2419
13250,customer_id,1034
15867,customer_id,2143
14507,customer_id,963
11514,customer_id,2488
6062,customer_id,2527
12883,customer_id,2015
5573,customer_id,58
18170,customer_id,2386
4844,customer_id,1119
4406,customer_id,1832
17401,customer_id,3439
18168,customer_id,1361
14865,customer_id,2452
16167,customer_id,2051
8082,customer_id,1161
4246,customer_id,1844
14050,customer_id,2160
6328,customer_id,249
5186,customer_id,1795
3655,customer_id,3355
10619,customer_id,2658
16713,customer_id,2824
4555,customer_id,609
15121,customer_id,270
13453,customer_id,80
1993,customer_id,3428
9697,customer_id,517
4949,customer_id,906
14041,customer_id,2300
2116,customer_id,2210
11235,customer_id,87
18298,customer_id,2489
5584,customer_id,2841
5524,customer_id,2718
2503,customer_id,408
14237,transaction_date,2017-04-01 00:00:00.000
14987,transaction_date,2017-02-06 00:00:00.000
10674,transaction_date,2017-05-15 00:00:00.000
5849,transaction_date,2017-05-18 00:00:00.000
10963,transaction_date,2017-04-03 00:00:00.000
4178,transaction_date,2017-01-26 00:00:00.000
6464,transaction_date,2017-01-06 00:00:00.000
17851,transaction_date,2017-07-12 00:00:00.000
19273,transaction_date,2017-08-13 00:00:00.000
