CO_Number,Invoice_Number,Invoice_amount,Invoice_date,Commission_Amount,Discount_Amount,RM_Territory_Code,Distributor_ID,Exchange_Rate,Net Sales
169455,180421,0,2015-07-13 00:00:00.000,0,0,21,60630,0,0
169456,180422,0,2015-07-13 00:00:00.000,0,0,21,60630,0,0
169457,180423,0,2015-07-13 00:00:00.000,0,0,21,60630,0,0
169458,180424,0,2015-07-13 00:00:00.000,0,0,21,60630,0,0
169552,180668,0,2015-07-20 00:00:00.000,0,0,21,60630,0,0
169927,181183,0,2015-08-05 00:00:00.000,0,0,21,60630,0,0
169928,181184,0,2015-08-05 00:00:00.000,0,0,21,60630,0,0
169747,180670,0,2015-07-20 00:00:00.000,0,0,21,60630,0,0
170529,181499,0,2015-08-20 00:00:00.000,0,0,21,60630,0,0
170530,181500,0,2015-08-20 00:00:00.000,0,0,21,60630,0,0
169979,181185,0,2015-08-05 00:00:00.000,0,0,21,60630,0,0
169980,181186,0,2015-08-05 00:00:00.000,0,0,21,60630,0,0
169981,181187,0,2015-08-05 00:00:00.000,0,0,21,60630,0,0
169982,181188,0,2015-08-05 00:00:00.000,0,0,21,60630,0,0
171606,182984,0,2015-09-25 00:00:00.000,0,0,21,60630,0,0
171559,182982,0,2015-09-25 00:00:00.000,0,0,21,60630,0,0
171561,182983,0,2015-09-25 00:00:00.000,0,0,21,60630,0,0
171663,183175,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
171664,183176,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
171665,183177,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
171899,183180,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
171900,183181,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
171896,183179,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
172009,183183,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
172010,183184,0,2015-10-01 00:00:00.000,0,0,21,60630,0,0
170916,181578,0,2015-08-21 00:00:00.000,0,0,21,60630,0,0
170814,182055,0,2015-09-02 00:00:00.000,0,0,21,60630,0,0
170821,182136,0,2015-09-03 00:00:00.000,0,0,21,60630,0,0
170822,182137,0,2015-09-03 00:00:00.000,0,0,21,60630,0,0
170832,182138,0,2015-09-03 00:00:00.000,0,0,21,60630,0,0
171270,182390,0,2015-09-11 00:00:00.000,0,0,21,60630,0,0
171239,182389,0,2015-09-11 00:00:00.000,0,0,21,60630,0,0
171273,182391,0,2015-09-11 00:00:00.000,0,0,21,60630,0,0
173814,184907,0,2015-11-24 00:00:00.000,0,0,21,60630,0,0
173816,184908,0,2015-11-24 00:00:00.000,0,0,21,60630,0,0
173818,184909,0,2015-11-24 00:00:00.000,0,0,21,60630,0,0
173819,184910,0,2015-11-24 00:00:00.000,0,0,21,60630,0,0
173820,184911,0,2015-11-24 00:00:00.000,0,0,21,60630,0,0
173821,184912,0,2015-11-24 00:00:00.000,0,0,21,60630,0,0
173665,184732,0,2015-11-18 00:00:00.000,0,0,21,60630,0,0
173668,184733,0,2015-11-18 00:00:00.000,0,0,21,60630,0,0
173966,185072,0,2015-12-02 00:00:00.000,0,0,21,60630,0,0
173967,185073,0,2015-12-02 00:00:00.000,0,0,21,60630,0,0
174675,185771,0,2015-12-29 00:00:00.000,0,0,21,60630,0,0
174607,185662,0,2015-12-22 00:00:00.000,0,0,21,60630,0,0
174611,185663,0,2015-12-22 00:00:00.000,0,0,21,60630,0,0
174638,185700,0,2015-12-23 00:00:00.000,0,0,21,60630,0,0
174639,185701,0,2015-12-23 00:00:00.000,0,0,21,60630,0,0
174419,185525,0,2015-12-17 00:00:00.000,0,0,21,60630,0,0
174420,185526,0,2015-12-17 00:00:00.000,0,0,21,60630,0,0
174211,185327,0,2015-12-10 00:00:00.000,0,0,21,60630,0,0
174212,185328,0,2015-12-10 00:00:00.000,0,0,21,60630,0,0
174320,185416,0,2015-12-14 00:00:00.000,0,0,21,60630,0,0
174321,185417,0,2015-12-14 00:00:00.000,0,0,21,60630,0,0
172590,183538,0,2015-10-14 00:00:00.000,0,0,21,60630,0,0
172591,183539,0,2015-10-14 00:00:00.000,0,0,21,60630,0,0
