venta_ID,cliente_ID,estado_pedido,fecha_pedido,fecha_requerido,fecha_envio,tienda_ID,personal_ID,item_ID,producto_ID,Cantidad,precio_venta,descuento,Ingreso por Venta
403,578,4,2016-08-31 00:00:00.000,2016-09-01 00:00:00.000,2016-09-02 00:00:00.000,1,3,3,22,2,269.99,0.05,512.98
654,1129,4,2017-01-14 00:00:00.000,2017-01-15 00:00:00.000,2017-01-17 00:00:00.000,2,7,3,110,2,470.99,0.07,876.04
356,1189,4,2016-08-04 00:00:00.000,2016-08-07 00:00:00.000,2016-08-06 00:00:00.000,2,6,3,13,1,269.99,0.05,256.49
941,736,4,2017-06-12 00:00:00.000,2017-06-14 00:00:00.000,2017-06-14 00:00:00.000,1,2,1,25,1,499.99,0.1,449.99
47,1234,4,2016-01-29 00:00:00.000,2016-01-30 00:00:00.000,2016-01-31 00:00:00.000,2,7,4,13,1,269.99,0.2,215.99
1341,1258,4,2018-01-12 00:00:00.000,2018-01-13 00:00:00.000,2018-01-14 00:00:00.000,2,7,4,66,2,250.99,0.05,476.88
640,1093,4,2017-01-06 00:00:00.000,2017-01-08 00:00:00.000,2017-01-07 00:00:00.000,2,6,3,30,1,999.99,0.07,929.99
453,1028,4,2016-09-22 00:00:00.000,2016-09-24 00:00:00.000,2016-09-25 00:00:00.000,2,7,1,23,1,299.99,0.05,284.99
1287,279,4,2017-12-07 00:00:00.000,2017-12-10 00:00:00.000,2017-12-09 00:00:00.000,1,3,4,100,2,489.99,0.05,930.98
173,117,4,2016-04-11 00:00:00.000,2016-04-14 00:00:00.000,2016-04-13 00:00:00.000,3,8,1,14,1,269.99,0.05,256.49
1329,443,4,2018-01-04 00:00:00.000,2018-01-05 00:00:00.000,2018-01-06 00:00:00.000,1,3,1,143,1,1099.99,0.07,1022.99
1419,474,4,2018-03-04 00:00:00.000,2018-03-07 00:00:00.000,2018-03-07 00:00:00.000,2,6,3,234,1,899.99,0.1,809.99
496,193,4,2016-10-10 00:00:00.000,2016-10-12 00:00:00.000,2016-10-11 00:00:00.000,2,6,3,21,2,269.99,0.2,431.98
594,1318,4,2016-12-07 00:00:00.000,2016-12-08 00:00:00.000,2016-12-08 00:00:00.000,3,8,1,26,1,599.99,0.1,539.99
524,569,4,2016-10-25 00:00:00.000,2016-10-26 00:00:00.000,2016-10-27 00:00:00.000,1,2,5,26,1,599.99,0.05,569.99
491,1048,4,2016-10-08 00:00:00.000,2016-10-10 00:00:00.000,2016-10-11 00:00:00.000,1,2,3,15,2,529.99,0.05,1006.98
533,1334,4,2016-10-29 00:00:00.000,2016-11-01 00:00:00.000,2016-11-01 00:00:00.000,2,6,4,25,1,499.99,0.05,474.99
