Date,Quantity,Product,No change Date,Days No Change
2020-02-24 00:00:00.000,12,B,2020-01-03 00:00:00.000,52.0
2020-03-18 00:00:00.000,16,B,2020-01-20 00:00:00.000,58.0
2020-01-29 00:00:00.000,10,A,2020-01-01 00:00:00.000,28.0
2020-02-26 00:00:00.000,10,B,2020-01-28 00:00:00.000,29.0
2020-02-23 00:00:00.000,15,A,2020-02-14 00:00:00.000,9.0
2020-03-15 00:00:00.000,15,A,2020-02-14 00:00:00.000,30.0
2020-03-05 00:00:00.000,13,A,2020-01-11 00:00:00.000,54.0
2020-02-05 00:00:00.000,11,A,2020-01-02 00:00:00.000,34.0
2020-03-09 00:00:00.000,15,A,2020-02-14 00:00:00.000,24.0
2020-03-21 00:00:00.000,25,B,2020-03-19 00:00:00.000,2.0
2020-03-15 00:00:00.000,16,C,2020-03-09 00:00:00.000,6.0
2020-01-31 00:00:00.000,10,A,2020-01-01 00:00:00.000,30.0
2020-03-09 00:00:00.000,15,A,2020-02-14 00:00:00.000,24.0
2020-03-21 00:00:00.000,13,A,2020-01-11 00:00:00.000,70.0
2020-03-19 00:00:00.000,25,A,,
2020-03-25 00:00:00.000,25,B,2020-03-19 00:00:00.000,6.0
2020-02-03 00:00:00.000,11,A,2020-01-02 00:00:00.000,32.0
2020-03-18 00:00:00.000,12,C,2020-03-02 00:00:00.000,16.0
2020-03-24 00:00:00.000,16,C,2020-03-09 00:00:00.000,15.0
2020-03-21 00:00:00.000,13,A,2020-01-11 00:00:00.000,70.0
2020-03-02 00:00:00.000,12,C,,
2020-03-04 00:00:00.000,13,C,,
2020-01-08 00:00:00.000,10,A,2020-01-01 00:00:00.000,7.0
2020-02-18 00:00:00.000,14,A,2020-01-04 00:00:00.000,45.0
2020-01-11 00:00:00.000,13,A,,
2020-02-14 00:00:00.000,15,A,,
2020-03-21 00:00:00.000,10,B,2020-01-28 00:00:00.000,53.0
2020-03-20 00:00:00.000,12,A,2020-01-03 00:00:00.000,77.0
2020-01-12 00:00:00.000,12,B,2020-01-03 00:00:00.000,9.0
2020-02-05 00:00:00.000,14,B,2020-01-02 00:00:00.000,34.0
2020-02-16 00:00:00.000,12,B,2020-01-03 00:00:00.000,44.0
2020-01-29 00:00:00.000,13,B,2020-01-01 00:00:00.000,28.0
2020-02-17 00:00:00.000,12,B,2020-01-03 00:00:00.000,45.0
2020-02-10 00:00:00.000,14,B,2020-01-02 00:00:00.000,39.0
2020-02-27 00:00:00.000,15,B,2020-01-11 00:00:00.000,47.0
2020-03-07 00:00:00.000,14,C,2020-03-03 00:00:00.000,4.0
2020-03-12 00:00:00.000,10,A,2020-01-01 00:00:00.000,71.0
2020-03-14 00:00:00.000,10,A,2020-01-01 00:00:00.000,73.0
2020-01-08 00:00:00.000,12,B,2020-01-03 00:00:00.000,5.0
2020-03-28 00:00:00.000,12,B,2020-01-03 00:00:00.000,85.0
2020-03-04 00:00:00.000,12,A,2020-01-03 00:00:00.000,61.0
2020-02-25 00:00:00.000,14,B,2020-01-02 00:00:00.000,54.0
2020-03-26 00:00:00.000,12,B,2020-01-03 00:00:00.000,83.0
2020-02-18 00:00:00.000,12,B,2020-01-03 00:00:00.000,46.0
2020-02-03 00:00:00.000,14,B,2020-01-02 00:00:00.000,32.0
2020-03-03 00:00:00.000,15,B,2020-01-11 00:00:00.000,52.0
2020-02-12 00:00:00.000,12,B,2020-01-03 00:00:00.000,40.0
2020-03-15 00:00:00.000,15,A,2020-02-14 00:00:00.000,30.0
2020-02-20 00:00:00.000,15,A,2020-02-14 00:00:00.000,6.0
2020-01-24 00:00:00.000,16,B,2020-01-20 00:00:00.000,4.0
2020-03-28 00:00:00.000,16,C,2020-03-09 00:00:00.000,19.0
2020-01-15 00:00:00.000,11,A,2020-01-02 00:00:00.000,13.0
2020-03-10 00:00:00.000,15,B,2020-01-11 00:00:00.000,59.0
2020-01-28 00:00:00.000,12,A,2020-01-03 00:00:00.000,25.0
2020-03-08 00:00:00.000,15,B,2020-01-11 00:00:00.000,57.0
2020-01-13 00:00:00.000,12,A,2020-01-03 00:00:00.000,10.0
2020-03-16 00:00:00.000,10,A,2020-01-01 00:00:00.000,75.0
2020-03-24 00:00:00.000,15,A,2020-02-14 00:00:00.000,39.0
2020-03-05 00:00:00.000,12,B,2020-01-03 00:00:00.000,62.0
2020-03-02 00:00:00.000,10,A,2020-01-01 00:00:00.000,61.0
2020-03-26 00:00:00.000,25,B,2020-03-19 00:00:00.000,7.0
2020-01-13 00:00:00.000,13,B,2020-01-01 00:00:00.000,12.0
2020-03-11 00:00:00.000,12,B,2020-01-03 00:00:00.000,68.0
2020-02-24 00:00:00.000,14,A,2020-01-04 00:00:00.000,51.0
2020-02-06 00:00:00.000,12,A,2020-01-03 00:00:00.000,34.0
2020-03-29 00:00:00.000,15,B,2020-01-11 00:00:00.000,78.0
2020-03-22 00:00:00.000,16,A,2020-01-25 00:00:00.000,57.0
2020-03-27 00:00:00.000,12,C,2020-03-02 00:00:00.000,25.0
2020-03-17 00:00:00.000,15,A,2020-02-14 00:00:00.000,32.0
2020-01-21 00:00:00.000,16,B,2020-01-20 00:00:00.000,1.0
2020-01-01 00:00:00.000,13,B,,
2020-01-25 00:00:00.000,16,A,,
2020-03-12 00:00:00.000,10,A,2020-01-01 00:00:00.000,71.0
2020-03-11 00:00:00.000,16,C,2020-03-09 00:00:00.000,2.0
2020-02-12 00:00:00.000,12,A,2020-01-03 00:00:00.000,40.0
2020-02-09 00:00:00.000,14,B,2020-01-02 00:00:00.000,38.0
2020-02-04 00:00:00.000,11,A,2020-01-02 00:00:00.000,33.0
2020-01-11 00:00:00.000,15,B,,
2020-03-20 00:00:00.000,13,C,2020-03-04 00:00:00.000,16.0
2020-02-02 00:00:00.000,14,B,2020-01-02 00:00:00.000,31.0
2020-03-13 00:00:00.000,12,B,2020-01-03 00:00:00.000,70.0
2020-04-01 00:00:00.000,10,B,2020-01-28 00:00:00.000,64.0
