Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Germany,Carretera,Medium,663.0,3,20,13260.0,1193.4,12066.6,6630.0,5436.6,2014-05-01 00:00:00.000,5,May,2014
Small Business,France,Amarilla,High,853.0,260,300,255900.0,25590.0,230310.0,213250.0,17060.0,2014-12-01 00:00:00.000,12,December,2014
Midmarket,Mexico,Velo,Medium,2861.0,120,15,42915.0,2145.75,40769.25,28610.0,12159.25,2014-01-01 00:00:00.000,1,January,2014
Government,Germany,Amarilla,Medium,1520.0,260,20,30400.0,2432.0,27968.0,15200.0,12768.0,2014-11-01 00:00:00.000,11,November,2014
Channel Partners,United States of America,Amarilla,,1953.0,260,12,23436.0,0.0,23436.0,5859.0,17577.0,2014-04-01 00:00:00.000,4,April,2014
Government,United States of America,Paseo,Low,4492.5,10,7,31447.5,314.475,31133.025,22462.5,8670.524999999996,2014-04-01 00:00:00.000,4,April,2014
Government,United States of America,Paseo,Medium,2327.0,10,7,16289.0,814.45,15474.55,11635.0,3839.5499999999993,2014-05-01 00:00:00.000,5,May,2014
Government,United States of America,Montana,High,2996.0,5,7,20972.0,2936.08,18035.92,14980.0,3055.9199999999983,2013-10-01 00:00:00.000,10,October,2013
Midmarket,France,Carretera,,2178.0,3,15,32670.0,0.0,32670.0,21780.0,10890.0,2014-06-01 00:00:00.000,6,June,2014
Enterprise,Canada,VTT,Low,2729.0,250,125,341125.0,6822.5,334302.5,327480.0,6822.5,2014-12-01 00:00:00.000,12,December,2014
Channel Partners,Canada,Paseo,High,4026.0,10,12,48312.0,5314.32,42997.68,12078.0,30919.68,2014-07-01 00:00:00.000,7,July,2014
Channel Partners,France,Carretera,Low,2671.0,3,12,32052.0,320.52,31731.48,8013.0,23718.48,2014-09-01 00:00:00.000,9,September,2014
Government,France,VTT,High,293.0,250,20,5860.0,879.0,4981.0,2930.0,2051.0,2014-12-01 00:00:00.000,12,December,2014
Government,Mexico,Paseo,High,1197.0,10,350,418950.0,50274.0,368676.0,311220.0,57456.0,2014-11-01 00:00:00.000,11,November,2014
Midmarket,Germany,Paseo,Low,747.0,10,15,11205.0,112.05,11092.95,7470.0,3622.9500000000007,2014-09-01 00:00:00.000,9,September,2014
Enterprise,Germany,Carretera,High,2767.0,3,125,345875.0,51881.25,293993.75,332040.0,-38046.25,2014-08-01 00:00:00.000,8,August,2014
