Country,Year,Population
"Afghanistan",1950,8151455
"Albania",1950,1215002
"Algeria",1950,8752997
"American Samoa",1950,18937
"Andorra",1950,6197
"Angola",1950,4147509
"Anguilla",1950,5121
"Antigua and Barbuda",1950,46301
"Argentina",1950,17150335
"Armenia",1950,1353506
"Aruba",1950,38066
"Australia",1950,8177344
"Austria",1950,6936445
"Azerbaijan",1950,2895997
"Bahamas",1950,79088
"Bahrain",1950,115612
"Bangladesh",1950,37894678
"Barbados",1950,210995
"Belarus",1950,7745003
"Belgium",1950,8628489
"Belize",1950,68918
"Benin",1950,2255222
"Bermuda",1950,37260
"Bhutan",1950,168377
"Bolivia",1950,2713630
"Bosnia and Herzegovina",1950,2661293
"Botswana",1950,412533
"Brazil",1950,53974725
"British Virgin Islands",1950,7441
"Brunei",1950,48001
"Bulgaria",1950,7250999
"Burkina Faso",1950,4284459
"Burundi",1950,2456300
"Cambodia",1950,4345800
"Cameroon",1950,4466497
"Canada",1950,13736997
"Cape Verde",1950,178064
"Cayman Islands",1950,6413
"Central African Rep.",1950,1326653
"Chad",1950,2429431
"Channel Islands",1950,102235
"Chile",1950,6081931
"China",1950,550771433
"Colombia",1950,11999600
"Comoros",1950,156334
"Congo, Dem. Rep.",1950,12183661
"Congo, Rep.",1950,807726
"Cook Islands",1950,15079
"Costa Rica",1950,966015
"Cote d'Ivoire",1950,2630132
"Croatia",1950,3850295
"Cuba",1950,5919997
"Cyprus",1950,494014
"Czech Rep.",1950,8876260
"Denmark",1950,4268270
"Djibouti",1950,62001
"Dominica",1950,51101
"Dominican Rep.",1950,2380116
"Ecuador",1950,3387357
"Egypt",1950,21514023
"El Salvador",1950,2199897
"Equatorial Guinea",1950,225536
"Eritrea",1950,1141300
"Estonia",1950,1100998
"Ethiopia",1950,18433866
"Faeroe Islands",1950,31504
"Falkland Islands (Malvinas)",1950,2261
"Fiji",1950,288993
"Finland",1950,4009003
"France",1950,41831805
"French Guiana",1950,25479
"French Polynesia",1950,60696
"Gabon",1950,469000
"Gambia",1950,271372
"Georgia",1950,3527004
"Germany",1950,68376002
"Ghana",1950,4980879
"Gibraltar",1950,20497
"Greece",1950,7566002
"Greenland",1950,22998
"Grenada",1950,76676
"Guadeloupe",1950,209999
"Guam",1950,59650
"Guatemala",1950,3146073
"Guinea",1950,3093652
"Guinea-Bissau",1950,518171
"Guyana",1950,406562
"Haiti",1950,3221277
"Holy See",1950,905
"Honduras",1950,1487235
"Hong Kong, China",1950,1973998
"Hungary",1950,9337723
"Iceland",1950,142998
"India",1950,371856500
"Indonesia",1950,74837310
"Iran",1950,17414215
"Iraq",1950,5719192
"Ireland",1950,2913093
"Isle of Man",1950,55253
"Israel",1950,1257970
"Italy",1950,46366767
"Jamaica",1950,1402896
"Japan",1950,82199470
"Jordan",1950,448861
"Kazakhstan",1950,6702996
"Kenya",1950,6076757
"Kiribati",1950,26100
"Korea, Dem. Rep.",1950,9736822
"Korea, Rep.",1950,19211386
"Kuwait",1950,152251
"Kyrgyzstan",1950,1740000
"Laos",1950,1682917
"Latvia",1950,1949000
"Lebanon",1950,1442826
"Lesotho",1950,733942
"Liberia",1950,911140
"Libya",1950,1029010
"Liechtenstein",1950,13757
"Lithuania",1950,2567402
"Luxembourg",1950,296001
"Macao, China",1950,196482
"Macedonia, FYR",1950,1229700
"Madagascar",1950,4083554
"Malawi",1950,2880700
"Malaysia",1950,6109907
"Maldives",1950,79293
"Mali",1950,4637633
"Malta",1950,311997
"Marshall Islands",1950,13000
"Martinique",1950,222001
"Mauritania",1950,657182
"Mauritius",1950,493254
"Mayotte",1950,15141
"Mexico",1950,27865814
"Micronesia, Fed. Sts.",1950,32000
"Moldova",1950,2341003
"Monaco",1950,20000
"Mongolia",1950,780200
"Montenegro",1950,398539
"Montserrat",1950,13521
"Morocco",1950,8953000
"Mozambique",1950,6442133
"Myanmar",1950,17157508
"Namibia",1950,485274
"Nauru",1950,2953
"Nepal",1950,8230991
"Netherlands",1950,10027047
"Netherlands Antilles",1950,111701
"New Caledonia",1950,64824
"New Zealand",1950,1908001
"Nicaragua",1950,1294993
"Niger",1950,2461726
"Nigeria",1950,37859746
"Niue",1950,4667
"Northern Mariana Islands",1950,6999
"Norway",1950,3265000
"Oman",1950,456418
"Pakistan",1950,37542380
"Palau",1950,7441
"Panama",1950,860092
"Papua New Guinea",1950,1708192
"Paraguay",1950,1473245
"Peru",1950,7632461
"Philippines",1950,18396520
"Poland",1950,24824013
"Portugal",1950,8416969
"Puerto Rico",1950,2218000
"Qatar",1950,24998
"Reunion",1950,248111
"Romania",1950,16310998
"Russia",1950,102702461
"Rwanda",1950,2072195
"Saint Helena",1950,4972
"Saint Kitts and Nevis",1950,46054
"Saint Lucia",1950,82783
"Saint Vincent and the Grenadines",1950,67000
"Saint-Pierre-et-Miquelon",1950,4573
"Samoa",1950,82102
"San Marino",1950,12781
"Sao Tome and Principe",1950,60000
"Saudi Arabia",1950,3121337
"Senegal",1950,2416264
"Serbia",1950,6732256
"Seychelles",1950,36322
"Sierra Leone",1950,1895409
"Singapore",1950,1022098
"Slovak Republic",1950,3436574
"Slovenia",1950,1473094
"Solomon Islands",1950,106647
"Somalia",1950,2264081
"South Africa",1950,13683162
"South Sudan",1950,1880222
"Spain",1950,28069737
"Sri Lanka",1950,8240623
"Sudan",1950,7309769
"Suriname",1950,214999
"Swaziland",1950,273000
"Sweden",1950,7014001
"Switzerland",1950,4668088
"Syria",1950,3413330
"Taiwan",1950,7981000
"Tajikistan",1950,1531502
"Tanzania",1950,7649766
"Thailand",1950,20607323
"Timor-Leste",1950,433398
"Togo",1950,1395458
"Tokelau",1950,1570
"Tonga",1950,47220
"Trinidad and Tobago",1950,635999
"Tunisia",1950,3529608
"Turkey",1950,21238496
"Turkmenistan",1950,1211000
"Turks and Caicos Islands",1950,5047
"Tuvalu",1950,5166
"Uganda",1950,5158193
"Ukraine",1950,37297652
"United Arab Emirates",1950,69589
"United Kingdom",1950,50616012
