Age Range,Savings Amount,Response Rate,ARSort,Custom
"18-24","$10,000 or more",0.075,2,7
"18-24","$5,000-$9,999",0.047,2,6
"18-24","Less than $1,000",0.191,2,4
"18-24","I don't have a savings account",0.224,2,1
"18-24","Just the minimum balance requirement",0.097,2,3
"18-24","$1,000-$4,999",0.147,2,5
"18-24","$0",0.218,2,2
"25-34","$1,000-$4,999",0.125,3,5
"25-34","Less than $1,000",0.152,3,4
"25-34","$5,000-$9,999",0.054,3,6
"25-34","$10,000 or more",0.121,3,7
"25-34","Just the minimum balance requirement",0.106,3,3
"25-34","$0",0.263,3,2
"25-34","I don't have a savings account",0.18,3,1
"35-44","$1,000-$4,999",0.098,4,5
"35-44","$0",0.316,4,2
"35-44","Just the minimum balance requirement",0.066,4,3
"35-44","$10,000 or more",0.16,4,7
"35-44","$5,000-$9,999",0.056,4,6
"35-44","I don't have a savings account",0.189,4,1
"35-44","Less than $1,000",0.116,4,4
"45-54","$0",0.308,5,2
"45-54","$5,000-$9,999",0.052,5,6
"45-54","$10,000 or more",0.162,5,7
"45-54","Just the minimum balance requirement",0.077,5,3
"45-54","$1,000-$4,999",0.075,5,5
"45-54","I don't have a savings account",0.216,5,1
"45-54","Less than $1,000",0.109,5,4
"55-64","$0",0.284,6,2
"55-64","$10,000 or more",0.168,6,7
"55-64","$1,000-$4,999",0.08,6,5
"55-64","Less than $1,000",0.107,6,4
"55-64","$5,000-$9,999",0.048,6,6
"55-64","I don't have a savings account",0.228,6,1
"55-64","Just the minimum balance requirement",0.084,6,3
"65+","I don't have a savings account",0.216,7,1
"65+","Less than $1,000",0.082,7,4
"65+","$10,000 or more",0.2,7,7
"65+","$5,000-$9,999",0.047,7,6
"65+","$1,000-$4,999",0.072,7,5
"65+","$0",0.276,7,2
"65+","Just the minimum balance requirement",0.107,7,3
"Overall","$5,000-$9,999",0.05,1,6
"Overall","$10,000 or more",0.14,1,7
"Overall","I don't have a savings account",0.21,1,1
"Overall","$0",0.28,1,2
"Overall","Less than $1,000",0.13,1,4
"Overall","Just the minimum balance requirement",0.09,1,3
"Overall","$1,000-$4,999",0.1,1,5
