attribute,name,value
"Murder Rate","Wyoming",36
"Murder Rate","Wisconsin",32
"Murder Rate","West Virginia",28
"Murder Rate","Washington",33
"Murder Rate","Virginia",16
"Murder Rate","Vermont",48
"Murder Rate","Utah",40
"Murder Rate","Texas",14
"Murder Rate","Tennessee",9
"Murder Rate","South Dakota",40
"Murder Rate","South Carolina",6
"Murder Rate","Rhode Island",34
"Murder Rate","Pennsylvania",16
"Murder Rate","Oregon",42
"Murder Rate","Oklahoma",21
"Murder Rate","Ohio",22
"Murder Rate","North Dakota",50
"Murder Rate","North Carolina",12
"Murder Rate","New York",27
"Murder Rate","New Mexico",6
"Murder Rate","New Jersey",24
"Murder Rate","New Hampshire",46
"Murder Rate","Nevada",3
"Murder Rate","Nebraska",38
"Murder Rate","Montana",44
"Murder Rate","Missouri",10
"Murder Rate","Mississippi",8
"Murder Rate","Minnesota",42
"Murder Rate","Massachusetts",36
"Murder Rate","Maryland",1
"Murder Rate","Maine",46
"Murder Rate","Louisiana",1
"Murder Rate","Kentucky",26
"Murder Rate","Kansas",30
"Murder Rate","Iowa",48
"Murder Rate","Indiana",20
"Murder Rate","Illinois",19
"Murder Rate","Idaho",39
"Murder Rate","Hawaii",44
"Murder Rate","Georgia",14
"Murder Rate","Florida",23
"Murder Rate","Delaware",28
"Murder Rate","Connecticut",35
"Murder Rate","Colorado",30
"Murder Rate","California",10
"Murder Rate","Arkansas",12
"Murder Rate","Arizona",5
"Murder Rate","Alaska",24
"Murder Rate","Alabama",4
"Murder Rate","Michigan",16
"Murder Rate","Alabama",4
"Murder Rate","Alaska",24
"Murder Rate","Arizona",5
"Murder Rate","Arkansas",12
"Murder Rate","California",10
"Murder Rate","Colorado",30
"Murder Rate","Connecticut",35
"Murder Rate","Delaware",28
"Murder Rate","Florida",23
"Murder Rate","Georgia",14
"Murder Rate","Hawaii",44
"Murder Rate","Idaho",39
"Murder Rate","Illinois",19
"Murder Rate","Indiana",20
"Murder Rate","Iowa",48
"Murder Rate","Kansas",30
"Murder Rate","Kentucky",26
"Murder Rate","Louisiana",1
"Murder Rate","Maine",46
"Murder Rate","Maryland",1
"Murder Rate","Massachusetts",36
"Murder Rate","Michigan",16
"Murder Rate","Minnesota",42
"Murder Rate","Mississippi",8
"Murder Rate","Missouri",10
"Murder Rate","Montana",44
"Murder Rate","Nebraska",38
"Murder Rate","Nevada",3
"Murder Rate","New Hampshire",46
"Murder Rate","New Jersey",24
"Murder Rate","New Mexico",6
"Murder Rate","New York",27
"Murder Rate","North Carolina",12
"Murder Rate","North Dakota",50
"Murder Rate","Ohio",22
"Murder Rate","Oklahoma",21
"Murder Rate","Oregon",42
"Murder Rate","Pennsylvania",16
"Murder Rate","Rhode Island",34
"Murder Rate","South Carolina",6
"Murder Rate","South Dakota",40
"Murder Rate","Tennessee",9
"Murder Rate","Texas",14
"Murder Rate","Utah",40
"Murder Rate","Vermont",48
"Murder Rate","Virginia",16
"Murder Rate","Washington",33
"Murder Rate","West Virginia",28
"Murder Rate","Wisconsin",32
"Murder Rate","Wyoming",36
"Motor Vehicle Theft","Wyoming",46
"Motor Vehicle Theft","Wisconsin",37
"Motor Vehicle Theft","West Virginia",41
"Motor Vehicle Theft","Washington",3
"Motor Vehicle Theft","Virginia",38
"Motor Vehicle Theft","Vermont",48
"Motor Vehicle Theft","Utah",22
"Motor Vehicle Theft","Texas",15
"Motor Vehicle Theft","Tennessee",13
"Motor Vehicle Theft","South Dakota",47
"Motor Vehicle Theft","South Carolina",19
"Motor Vehicle Theft","Rhode Island",15
"Motor Vehicle Theft","Pennsylvania",36
"Motor Vehicle Theft","Oregon",8
"Motor Vehicle Theft","Oklahoma",17
"Motor Vehicle Theft","Ohio",20
"Motor Vehicle Theft","North Dakota",45
"Motor Vehicle Theft","North Carolina",24
"Motor Vehicle Theft","New York",43
"Motor Vehicle Theft","New Mexico",14
"Motor Vehicle Theft","New Jersey",26
"Motor Vehicle Theft","New Hampshire",49
"Motor Vehicle Theft","Nevada",1
"Motor Vehicle Theft","Nebraska",27
"Motor Vehicle Theft","Montana",40
"Motor Vehicle Theft","Missouri",11
"Motor Vehicle Theft","Mississippi",35
"Motor Vehicle Theft","Minnesota",33
"Motor Vehicle Theft","Massachusetts",30
"Motor Vehicle Theft","Maryland",6
"Motor Vehicle Theft","Maine",50
"Motor Vehicle Theft","Louisiana",25
"Motor Vehicle Theft","Kentucky",39
"Motor Vehicle Theft","Kansas",23
"Motor Vehicle Theft","Iowa",44
"Motor Vehicle Theft","Indiana",21
"Motor Vehicle Theft","Illinois",28
"Motor Vehicle Theft","Idaho",42
"Motor Vehicle Theft","Hawaii",4
"Motor Vehicle Theft","Georgia",9
"Motor Vehicle Theft","Florida",12
"Motor Vehicle Theft","Delaware",32
"Motor Vehicle Theft","Connecticut",29
"Motor Vehicle Theft","Colorado",7
"Motor Vehicle Theft","California",5
"Motor Vehicle Theft","Arkansas",34
"Motor Vehicle Theft","Arizona",2
"Motor Vehicle Theft","Alaska",18
"Motor Vehicle Theft","Alabama",31
"Motor Vehicle Theft","Michigan",10
"Motor Vehicle Theft","Alabama",31
"Motor Vehicle Theft","Alaska",18
"Motor Vehicle Theft","Arizona",2
"Motor Vehicle Theft","Arkansas",34
"Motor Vehicle Theft","California",5
"Motor Vehicle Theft","Colorado",7
"Motor Vehicle Theft","Connecticut",29
"Motor Vehicle Theft","Delaware",32
"Motor Vehicle Theft","Florida",12
"Motor Vehicle Theft","Georgia",9
"Motor Vehicle Theft","Hawaii",4
"Motor Vehicle Theft","Idaho",42
"Motor Vehicle Theft","Illinois",28
"Motor Vehicle Theft","Indiana",21
"Motor Vehicle Theft","Iowa",44
"Motor Vehicle Theft","Kansas",23
"Motor Vehicle Theft","Kentucky",39
"Motor Vehicle Theft","Louisiana",25
"Motor Vehicle Theft","Maine",50
"Motor Vehicle Theft","Maryland",6
"Motor Vehicle Theft","Massachusetts",30
"Motor Vehicle Theft","Michigan",10
"Motor Vehicle Theft","Minnesota",33
"Motor Vehicle Theft","Mississippi",35
"Motor Vehicle Theft","Missouri",11
"Motor Vehicle Theft","Montana",40
"Motor Vehicle Theft","Nebraska",27
"Motor Vehicle Theft","Nevada",1
"Motor Vehicle Theft","New Hampshire",49
"Motor Vehicle Theft","New Jersey",26
"Motor Vehicle Theft","New Mexico",14
"Motor Vehicle Theft","New York",43
"Motor Vehicle Theft","North Carolina",24
"Motor Vehicle Theft","North Dakota",45
"Motor Vehicle Theft","Ohio",20
"Motor Vehicle Theft","Oklahoma",17
"Motor Vehicle Theft","Oregon",8
