device_pk,device_fk,name,vendor_fk,dev_loc,Cloud Service Name,Hosted Location,first_added,last_edited,first_month,last_month
"14452","","b5e74496e5b1","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.193,2021-02-19 05:07:51.790,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14530","","8b54b57d1808","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.576,2021-02-19 05:07:54.343,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14424","","5c30b6137399","","Undefined Loc","","On-Prem",2020-04-03 16:04:29.963,2021-02-19 05:07:50.733,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14408","","main_48cef3f205e4","","Undefined Loc","","On-Prem",2020-04-02 13:18:14.300,2021-02-19 05:07:50.163,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14532","","d8f4453dce23","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.776,2021-02-19 05:07:54.413,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14457","","862a32ce9a4b","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.650,2021-02-19 05:07:51.976,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14463","","9b593b06ec54","","Undefined Loc","","On-Prem",2020-04-09 16:04:26.533,2021-02-19 05:07:52.206,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14378","","kubernetes-dashboard_89e2d3848aaa","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.626,2021-02-19 05:07:48.966,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14422","","f0a4f45e87bd","","Undefined Loc","","On-Prem",2020-04-02 16:04:29.380,2021-02-19 05:07:50.660,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14461","","50b75367aac5","","Undefined Loc","","On-Prem",2020-04-08 16:04:28.013,2021-02-19 05:07:52.130,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14459","","b871183d8926","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.830,2021-02-19 05:07:52.053,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14494","","b4f8081c1895","","Undefined Loc","","On-Prem",2020-04-27 16:04:17.066,2021-02-19 05:07:53.096,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14356","","prometheus-to-sd-exporter_0bdec6f6831c","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.423,2021-02-19 05:07:48.063,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14358","","dnsmasq_2ff800b74461","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.516,2021-02-19 05:07:48.146,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14549","","8c19bf93db58","","Undefined Loc","","On-Prem",2020-04-30 16:05:06.143,2021-02-19 05:07:54.836,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14430","","f180ec9b61fa","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.523,2021-02-19 05:07:50.950,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14473","","espn.com","","Undefined Loc","","On-Prem",2020-04-17 11:47:44.866,2021-02-19 05:07:52.473,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14401","","metrics-server_16a84a46905d","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.676,2021-02-19 05:07:49.890,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14397","","coredns_879bd2fdb353","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.290,2021-02-19 05:07:49.730,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14438","","934e9e920e83","","Undefined Loc","","On-Prem",2020-04-04 16:02:38.526,2021-02-19 05:07:51.243,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14526","","5aba72bf368e","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.170,2021-02-19 05:07:54.203,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
