Pedido,variable,value
102983,Cod.Produto,21.0
189659,Cod.Produto,22.0
18241,Cod.Produto,22.0
169993,Cod.Produto,22.0
92502,Cod.Produto,24.0
39905,Cod.Produto,17.0
103616,Cod.Produto,9.0
135192,Cod.Produto,23.0
114754,Cod.Produto,21.0
186164,Cod.Produto,5.0
87992,Cod.Produto,21.0
47953,Cod.Produto,21.0
76484,Cod.Produto,23.0
149907,Cod.Produto,24.0
196214,Cod.Produto,22.0
136090,Cod.Produto,24.0
45021,Cod.Produto,16.0
117982,Cod.Produto,24.0
69379,Cod.Produto,40.0
157233,Cod.Produto,21.0
41542,Cod.Produto,21.0
158793,Cod.Produto,16.0
156712,Cod.Produto,22.0
80290,Cod.Produto,24.0
115578,Cod.Produto,21.0
66115,Cod.Produto,21.0
155747,Cod.Produto,22.0
53049,Cod.Produto,24.0
50712,Cod.Produto,24.0
82360,Cod.Produto,21.0
161450,Cod.Produto,22.0
105157,Cod.Produto,19.0
168936,Cod.Produto,22.0
180640,Cod.Produto,22.0
39888,Cod.Produto,1.0
97282,Cod.Produto,24.0
79761,Cod.Produto,42.0
82271,Cod.Produto,23.0
24104,Cod.Produto,13.0
42577,Cod.Produto,24.0
29698,Cod.Produto,24.0
141136,Cod.Produto,21.0
157091,Cod.Produto,17.0
31638,Cod.Produto,16.0
146216,Cod.Produto,46.0
91231,Cod.Produto,6.0
189575,Cod.Produto,22.0
125293,Cod.Produto,24.0
76055,Cod.Produto,40.0
31140,Cod.Produto,21.0
31149,Cod.Produto,22.0
193869,Cod.Produto,17.0
103183,Cod.Produto,21.0
149307,Cod.Produto,24.0
73497,Cod.Produto,24.0
179411,Cod.Produto,23.0
39464,Cod.Produto,9.0
185854,Cod.Produto,24.0
103991,Cod.Produto,21.0
66414,Cod.Produto,21.0
171567,Cod.Produto,17.0
35951,Cod.Produto,7.0
147984,Cod.Produto,24.0
128804,Cod.Produto,21.0
68892,Cod.Produto,6.0
82228,Cod.Produto,23.0
153548,Cod.Produto,17.0
97358,Cod.Produto,9.0
82448,Cod.Produto,46.0
172714,Cod.Produto,20.0
75074,Cod.Produto,1.0
87639,Cod.Produto,21.0
41160,Cod.Produto,38.0
82479,Cod.Produto,22.0
