FullDateAlternateKey,Year,Month,Month Name,Quarter,Week of Year,Week of Month,Day of Month,Day of Week,Day of Year,Day Name,Financial Year,Financial Period,YearMonth,Financial Quarter,MonthYY,Finance Year Date Min,Finance Year Date Max
2018-05-07 00:00:00.000,2018,5,"May",2,19,2,7,1,127,"Monday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-05-08 00:00:00.000,2018,5,"May",2,19,2,8,2,128,"Tuesday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-05-09 00:00:00.000,2018,5,"May",2,19,2,9,3,129,"Wednesday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-05-10 00:00:00.000,2018,5,"May",2,19,2,10,4,130,"Thursday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-05-11 00:00:00.000,2018,5,"May",2,19,2,11,5,131,"Friday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-05-12 00:00:00.000,2018,5,"May",2,19,2,12,6,132,"Saturday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-05-13 00:00:00.000,2018,5,"May",2,19,2,13,0,133,"Sunday",2018,11,201805,4,"May  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-04 00:00:00.000,2018,6,"June",2,23,2,4,1,155,"Monday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-05 00:00:00.000,2018,6,"June",2,23,2,5,2,156,"Tuesday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-06 00:00:00.000,2018,6,"June",2,23,2,6,3,157,"Wednesday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-07 00:00:00.000,2018,6,"June",2,23,2,7,4,158,"Thursday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-08 00:00:00.000,2018,6,"June",2,23,2,8,5,159,"Friday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-09 00:00:00.000,2018,6,"June",2,23,2,9,6,160,"Saturday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-06-10 00:00:00.000,2018,6,"June",2,23,2,10,0,161,"Sunday",2018,12,201806,4,"Jun  18",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-02 00:00:00.000,2018,7,"July",3,27,2,2,1,183,"Monday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-03 00:00:00.000,2018,7,"July",3,27,2,3,2,184,"Tuesday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-04 00:00:00.000,2018,7,"July",3,27,2,4,3,185,"Wednesday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-05 00:00:00.000,2018,7,"July",3,27,2,5,4,186,"Thursday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-06 00:00:00.000,2018,7,"July",3,27,2,6,5,187,"Friday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-07 00:00:00.000,2018,7,"July",3,27,2,7,6,188,"Saturday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-07-08 00:00:00.000,2018,7,"July",3,27,2,8,0,189,"Sunday",2019,1,201807,1,"Jul  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-06 00:00:00.000,2018,8,"August",3,32,2,6,1,218,"Monday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-07 00:00:00.000,2018,8,"August",3,32,2,7,2,219,"Tuesday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-08 00:00:00.000,2018,8,"August",3,32,2,8,3,220,"Wednesday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-09 00:00:00.000,2018,8,"August",3,32,2,9,4,221,"Thursday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-10 00:00:00.000,2018,8,"August",3,32,2,10,5,222,"Friday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-11 00:00:00.000,2018,8,"August",3,32,2,11,6,223,"Saturday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-08-12 00:00:00.000,2018,8,"August",3,32,2,12,0,224,"Sunday",2019,2,201808,1,"Aug  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-03 00:00:00.000,2018,9,"September",3,36,2,3,1,246,"Monday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-04 00:00:00.000,2018,9,"September",3,36,2,4,2,247,"Tuesday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-05 00:00:00.000,2018,9,"September",3,36,2,5,3,248,"Wednesday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-06 00:00:00.000,2018,9,"September",3,36,2,6,4,249,"Thursday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-07 00:00:00.000,2018,9,"September",3,36,2,7,5,250,"Friday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-08 00:00:00.000,2018,9,"September",3,36,2,8,6,251,"Saturday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
2018-09-09 00:00:00.000,2018,9,"September",3,36,2,9,0,252,"Sunday",2019,3,201809,1,"Sep  19",2018-01-07 00:00:00.000,2021-06-30 00:00:00.000
