Category,RecommendationType,ImpactedField,ImpactedValue,ResourceType,ResourceId,RecommendationLastUpdated,RecommendationId,Source,RecommendationStatusId,RecommendationStatus,CostSavingCurrency,CostSavingPA,Impact,Solution,MonthlyCostSavingPA,ResourceName,ResourceGroupId,ResourceGroupName,SubscriptionId,SubscriptionName,CostGroupId,CostGroupName,RecommendationTypeId,SourceLink,AzureRecommendationId
"Cost","RGLocation","Location","westus","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/IoTDevKit/providers/Microsoft.Web/connections/azureeventgrid",2021-05-07 00:59:56.923,2,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"azureeventgrid","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/IoTDevKit","IoTDevKit","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","westus","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/IoTDevKit/providers/Microsoft.Web/connections/gmail",2021-05-07 00:59:56.923,3,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"gmail","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/IoTDevKit","IoTDevKit","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus2","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/Microsoft.Automation/automationAccounts/PokerDIY",2021-05-07 00:59:56.923,4,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"pokerdiy","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus2","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/Microsoft.Automation/automationAccounts/PokerDIY/runbooks/PokerDIY_Run_Stored_Procedure",2021-05-07 00:59:56.923,5,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"PokerDIY_Run_Stored_Procedure","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus2","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/Microsoft.Automation/automationAccounts/PokerDIY/runbooks/PokerDIY_Scheduled_Task_Delete_Ad_Events",2021-05-07 00:59:56.923,6,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"PokerDIY_Scheduled_Task_Delete_Ad_Events","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus2","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/Microsoft.Automation/automationAccounts/PokerDIY/runbooks/Remove-DataFromSqlDbTable",2021-05-07 00:59:56.923,7,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"Remove-DataFromSqlDbTable","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus2","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/Microsoft.Automation/automationAccounts/PokerDIY/runbooks/Use-RunbookParameterSample",2021-05-07 00:59:56.923,8,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"Use-RunbookParameterSample","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/microsoft.insights/components/pokerdiy.web.api",2021-05-07 00:59:56.923,9,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"pokerdiy.web.api","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/microsoft.insights/components/pokerdiyclone",2021-05-07 00:59:56.923,10,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"pokerdiyclone","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
"Cost","RGLocation","Location","eastus","Resource","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY/providers/microsoft.insights/webtests/webapi azure ping-pokerdiy.web.api",2021-05-07 00:59:56.923,11,"CloudMonitor",1,"Active","AUD",0,"Medium","This Resource is not in same location as the Resource Group",0,"webapi azure ping-pokerdiy.web.api","/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/resourceGroups/PokerDIY","PokerDIY","01639594-cf98-4011-b14a-905062f4aa23","RJ (QueMesa) - MSDN",,"",7,"",""
