State,Latitude,Longitude,Average Temperature 
"Alabama",32.806671,-86.79113,62.8
"Alaska",61.370716,-152.404419,26.6
"Arizona",33.729759,-111.431221,60.3
"Arkansas",34.969704,-92.373123,60.4
"California",36.116203,-119.681564,59.4
"Colorado",39.059811,-105.311104,45.1
"Connecticut",41.597782,-72.755371,49
"Delaware",39.318523,-75.507141,55.3
"District of Columbia",38.897438,-77.026817,51.8
"Florida",27.766279,-81.686783,70.7
"Georgia",33.040619,-83.643074,63.5
"Hawaii",21.094318,-157.498337,70
"Idaho",44.240459,-114.478828,44.4
"Illinois",40.349457,-88.986137,51.8
"Indiana",39.849426,-86.258278,51.7
"Iowa",42.011539,-93.210526,47.8
"Kansas",38.5266,-96.726486,54.3
"Kentucky",37.66814,-84.670067,55.6
"Louisiana",31.169546,-91.867805,66.4
"Maine",44.693947,-69.381927,41
"Maryland",39.063946,-76.802101,54.2
"Massachusetts",42.230171,-71.530106,47.9
"Michigan",43.326618,-84.536095,44.4
"Minnesota",45.694454,-93.900192,41.2
"Mississippi",32.741646,-89.678696,63.4
"Missouri",38.456085,-92.288368,54.6
"Montana",46.921925,-110.454353,42.7
"Nebraska",41.12537,-98.268082,48.8
"Nevada",38.313515,-117.055374,49.9
"New Hampshire",43.452492,-71.563896,43.8
"New Jersey",40.298904,-74.521011,52.7
"New Mexico",34.840515,-106.248482,53.4
"New York",42.165726,-74.948051,45.4
"North Carolina",35.630066,-79.806419,59
"North Dakota",47.528912,-99.784012,40.4
"Ohio",40.388783,-82.764915,50.7
"Oklahoma",35.565342,-96.928917,59.6
"Oregon",44.572021,-122.070938,48.4
"Pennsylvania",40.590752,-77.209755,48.8
"Rhode Island",41.680893,-71.51178,50.1
"South Carolina",33.856892,-80.945007,62.4
"South Dakota",44.299782,-99.438828,45.2
"Tennessee",35.747845,-86.692345,57.6
"Texas",31.054487,-97.563461,64.8
"Utah",40.150032,-111.862434,48.6
"Vermont",44.045876,-72.710686,42.9
"Virginia",37.769337,-78.169968,55.1
"Washington",47.400902,-121.490494,48.3
"West Virginia",38.491226,-80.954453,51.8
"Wisconsin",44.268543,-89.616508,43.1
"Wyoming",42.755966,-107.30249,42
