nadb_pointsrequiredfrom,importsequencenumber,_createdonbehalfby_value,utcconversiontimezonecode,nadb_activedate,nadb_level,statuscode,_organizationid_value,nadb_name,nadb_pointsrequiredto,nadb_scale,_createdby_value,nadb_internalcreditratingscaleid,nadb_borrowerrating,overriddencreatedon,nadb_riskgrade,_modifiedonbehalfby_value,timezoneruleversionnumber,versionnumber,createdon,_modifiedby_value,modifiedon,statecode,Year,_nadb_internalcreditriskrating_value,Risk grade.RiskgradeDescr,Level.LevelDescr
0,109,"",10,2019-01-03 00:00:00.000,180830000,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",0.05,"A","c7205e36-d6ee-42c5-8733-e670621cd834","181ff2d6-d754-ea11-a813-000d3a4ed7ce","1",,180830000,"",0,13471900,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","A-1","Pass"
0,142,"",10,2017-01-03 00:00:00.000,180830000,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",0.05,"A","c7205e36-d6ee-42c5-8733-e670621cd834","2c6ce934-5565-ea11-a811-000d3a4edd29","1",,180830000,"",0,13471266,2020-03-13 18:05:44.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:44.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","A-1","Pass"
0.05,109,"",10,2019-01-03 00:00:00.000,180830000,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",0.5,"A","c7205e36-d6ee-42c5-8733-e670621cd834","1a1ff2d6-d754-ea11-a813-000d3a4ed7ce","2",,180830001,"",0,13471901,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","A-2","Pass"
0.5,109,"",10,2019-01-03 00:00:00.000,180830000,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",3,"A","c7205e36-d6ee-42c5-8733-e670621cd834","1c1ff2d6-d754-ea11-a813-000d3a4ed7ce","3",,180830002,"",0,13471902,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","A-3","Pass"
3,109,"",10,2019-01-03 00:00:00.000,180830001,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",5,"B","c7205e36-d6ee-42c5-8733-e670621cd834","1e1ff2d6-d754-ea11-a813-000d3a4ed7ce","4",,180830003,"",0,13471903,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","B-1","OAEM"
5,109,"",10,2019-01-03 00:00:00.000,180830001,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",10,"B","c7205e36-d6ee-42c5-8733-e670621cd834","201ff2d6-d754-ea11-a813-000d3a4ed7ce","5",,180830004,"",0,13471904,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","B-2","OAEM"
10,109,"",10,2019-01-03 00:00:00.000,180830001,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",20,"B","c7205e36-d6ee-42c5-8733-e670621cd834","221ff2d6-d754-ea11-a813-000d3a4ed7ce","6",,180830005,"",0,13471905,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","B-3","OAEM"
20,109,"",10,2019-01-03 00:00:00.000,180830002,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",30,"C","c7205e36-d6ee-42c5-8733-e670621cd834","241ff2d6-d754-ea11-a813-000d3a4ed7ce","5",,180830006,"",0,13471906,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","C","Substandard"
30,109,"",10,2019-01-03 00:00:00.000,180830003,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",50,"D","c7205e36-d6ee-42c5-8733-e670621cd834","261ff2d6-d754-ea11-a813-000d3a4ed7ce","6",,180830007,"",0,13471907,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","D","Doubtful"
50,109,"",10,2019-01-03 00:00:00.000,180830004,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 4/01/2019",100,"E","c7205e36-d6ee-42c5-8733-e670621cd834","281ff2d6-d754-ea11-a813-000d3a4ed7ce","7",,180830008,"",0,13471908,2020-02-21 18:27:59.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:25:51.000,0,2019,"739a0343-d754-ea11-a812-000d3a4f6c19","E","Loss"
0.05,142,"",10,2017-01-03 00:00:00.000,180830000,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",2,"A","c7205e36-d6ee-42c5-8733-e670621cd834","2e6ce934-5565-ea11-a811-000d3a4edd29","2",,180830001,"",0,13471267,2020-03-13 18:05:45.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:45.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","A-2","Pass"
2,142,"",10,2017-01-03 00:00:00.000,180830001,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",10,"B","c7205e36-d6ee-42c5-8733-e670621cd834","306ce934-5565-ea11-a811-000d3a4edd29","3",,180830003,"",0,13471268,2020-03-13 18:05:45.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:45.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","B-1","OAEM"
10,142,"",10,2017-01-03 00:00:00.000,180830001,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",20,"B","c7205e36-d6ee-42c5-8733-e670621cd834","326ce934-5565-ea11-a811-000d3a4edd29","4",,180830004,"",0,13471269,2020-03-13 18:05:45.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:45.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","B-2","OAEM"
20,142,"",10,2017-01-03 00:00:00.000,180830002,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",30,"C","c7205e36-d6ee-42c5-8733-e670621cd834","346ce934-5565-ea11-a811-000d3a4edd29","5",,180830006,"",0,13471270,2020-03-13 18:05:45.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:45.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","C","Substandard"
30,142,"",10,2017-01-03 00:00:00.000,180830003,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",50,"D","c7205e36-d6ee-42c5-8733-e670621cd834","366ce934-5565-ea11-a811-000d3a4edd29","6",,180830007,"",0,13471271,2020-03-13 18:05:45.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:45.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","D","Doubtful"
50,142,"",10,2017-01-03 00:00:00.000,180830004,1,"485254b6-aef7-41ed-995e-fa22317007e7","Internal Credit risk rating - 01/01/2017",100,"E","c7205e36-d6ee-42c5-8733-e670621cd834","386ce934-5565-ea11-a811-000d3a4edd29","7",,180830008,"",0,13471272,2020-03-13 18:05:45.000,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-03-13 18:05:45.000,0,2017,"f917e21c-1859-ea11-a811-000d3a4f6c19","E","Loss"
