Customer ID,Address ID,Address Type
29738,610,Main Office
30108,550,Main Office
29816,297,Shipping
29638,989,Main Office
29600,797,Main Office
29954,25,Shipping
30094,1031,Main Office
29847,1092,Main Office
29554,776,Main Office
29577,471,Main Office
30030,667,Main Office
29860,668,Main Office
30113,653,Main Office
29536,786,Main Office
30115,499,Main Office
29934,451,Main Office
29663,575,Main Office
29851,657,Main Office
29988,478,Main Office
29603,518,Main Office
29622,863,Main Office
29942,854,Main Office
29921,842,Main Office
29992,1024,Main Office
29971,549,Main Office
29632,843,Main Office
29502,893,Main Office
29653,1019,Main Office
29967,565,Main Office
29611,862,Main Office
29783,1075,Main Office
29612,649,Main Office
29579,1012,Main Office
29827,631,Main Office
29545,11,Shipping
30028,1087,Main Office
29605,1060,Main Office
29877,1026,Main Office
29544,519,Main Office
29883,11381,Shipping
29936,852,Main Office
29861,11382,Shipping
29857,666,Main Office
30048,526,Main Office
29511,1046,Main Office
29695,867,Main Office
29671,465,Main Office
29485,1086,Main Office
29522,1040,Main Office
30109,826,Main Office
29919,1005,Main Office
29758,613,Main Office
29918,460,Main Office
29728,1103,Main Office
29615,663,Main Office
30034,898,Main Office
29717,851,Main Office
29530,495,Main Office
30069,1006,Main Office
29773,832,Main Office
30102,669,Main Office
30072,640,Main Office
29867,860,Main Office
29614,529,Main Office
29559,861,Main Office
29883,1025,Main Office
29618,658,Main Office
30067,464,Main Office
30036,1093,Main Office
29719,905,Main Office
30022,1041,Main Office
29525,1049,Main Office
29566,810,Main Office
29922,639,Main Office
30051,888,Main Office
30117,596,Main Office
29881,483,Main Office
29580,849,Main Office
29690,1036,Main Office
29528,788,Main Office
29517,794,Main Office
29593,585,Main Office
29764,611,Main Office
29539,480,Main Office
29932,637,Main Office
30090,589,Main Office
29824,556,Main Office
29637,559,Main Office
29930,566,Main Office
29741,660,Main Office
29494,537,Main Office
29565,1073,Main Office
29677,461,Main Office
30040,1095,Main Office
29902,602,Main Office
29515,504,Main Office
30105,902,Main Office
30031,896,Main Office
29949,1008,Main Office
29490,887,Main Office
