Measure Names,Nationality,Measure Values
"Women","British",-0.515848353
"Women","Thai",-0.507827789
"Women","American",-0.506057782
"Women","Australian",-0.50297619
"Women","Danish",-0.499503476
"Women","Finnish",-0.499502488
"Women","Filipino",-0.490428441
"Women","Egyptian",-0.49001996
"Women","Vietnamese",-0.469591226
"Women","UAE",-0.331337325
"Men","British",0.484151647
"Men","Thai",0.492172211
"Men","American",0.493942218
"Men","Australian",0.49702381
"Men","Danish",0.500496524
"Men","Finnish",0.500497512
"Men","Filipino",0.509571559
"Men","Egyptian",0.50998004
"Men","Vietnamese",0.530408774
"Men","UAE",0.668662675
