storagearrayvol_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,vol_aggregate,clone_present,compressed,compression_savings,data_reduction_savings,dedup_status,efficiency_policy,junction_path,permissions,protected_data_size,protected_qtrees,reserve,reserve_capacity,reserve_capacity_days_to_full,reserve_free_capacity,reserve_per_day_used,reserve_used_capacity,reserve_used,snapshot_auto_delete,snapshot_enabled,snapshot_percent_reserved,space_guarantee,space_status,technology,un_protected_data_size,un_protected_qtrees,capacity,used_capacity,free_capacity,spare_capacity,allocated_capacity,actual_capacity,subscribed_capacity,afs_capacity,afs_used_capacity,afs_free_capacity,afs_daily_growth,afs_used_per_day_capacity,over_provisioning_capacity,ow_reserve_capacity,ow_reserve_free_capacity,ow_reserve_used_capacity,percent_free,percent_used,total_reduction_ratio,total_reduction_savings,status,first_added,last_edited,last_changed
"6532","6532","d42do_553","vol|3e0f122e-924d-11eb-bf58-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",0,"","","sata","","",10,2.004,7.996,"","","",,"","","","","","","","","",,20,,,"online",2021-07-27 15:02:25.273,2021-11-12 01:01:12.370,2021-07-27 15:02:25.270
"6752","6752","d42do904_root","vol|22934fea-c49a-4753-8e80-1516b4b71034|array|c374983a-ce1d-11eb-822c-0050568a7ee4","{vol}","vol","Volume","6344","NetApp_Cluster","Array (NETAPP)","array|c374983a-ce1d-11eb-822c-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",0.02,0,0.018,"","","",0.023,"","","","","","","","","",90,0,0,0,"online",2021-10-21 01:48:23.093,2021-11-11 19:08:12.853,2021-10-21 01:48:23.090
"6524","6524","root","vol|eb55bc4c-44ac-11e1-bfc3-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",0,"","","sata","","",135,6.42,128.58,"","","",,"","","","","","","","","",,5,,,"online",2021-07-27 15:02:25.196,2021-11-12 01:01:12.296,2021-11-12 01:01:12.293
"2056","2056","root","vol|root|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",0,"","","sata","","",135,6.091,128.909,"","","",,"","","","","","","","","",,5,,,"online",2021-01-26 19:07:55.156,2021-07-27 00:00:44.330,2021-07-27 00:00:44.323
"6527","6527","vol3","vol|26aaad60-6632-11e6-8173-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",10,"","","sata","","",450,450,0,"","","",,"","","","","","","","","",,100,,,"online",2021-07-27 15:02:25.226,2021-11-12 01:01:12.323,2021-09-30 00:00:33.980
"6526","6526","vol2","vol|1ff5a99a-59dd-11e6-8171-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",5,"","","sata","","",2139.4,2053.41,85.989,"","","",,"","","","","","","","","",,96,,,"online",2021-07-27 15:02:25.216,2021-11-12 01:01:12.313,2021-08-17 00:01:09.176
"6529","6529","vol5","vol|a0caf072-9180-11e6-a72a-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",20,"","","sata","","",80,30.059,49.941,"","","",,"","","","","","","","","",,38,,,"online",2021-07-27 15:02:25.246,2021-11-12 01:01:12.343,2021-07-27 15:02:25.240
"2057","2057","vol1","vol|vol1|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",10,"","","sata","","",450,450,0,"","","",,"","","","","","","","","",,100,,,"online",2021-01-26 19:07:55.160,2021-07-27 00:00:44.340,2021-05-27 18:07:51.906
"6530","6530","NetApp01","vol|e0316dd2-6cb3-11eb-bf57-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",0,"","","sata","","",60,56.129,3.871,"","","",,"","","","","","","","","",,94,,,"online",2021-07-27 15:02:25.253,2021-11-12 01:01:12.350,2021-11-12 01:01:12.346
"2059","2059","vol3","vol|vol3|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",10,"","","sata","","",450,450,0,"","","",,"","","","","","","","","",,100,,,"online",2021-01-26 19:07:55.166,2021-07-27 00:00:44.363,2021-05-06 18:07:51.940
"6533","6533","d42do_904","vol|1e96ea80-d9f0-11eb-8fba-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",0,"","","sata","","",0.02,0,0.019,"","","",,"","","","","","","","","",,1,,,"online",2021-07-27 15:02:25.283,2021-11-12 01:01:12.376,2021-07-27 15:02:25.280
"3211","3211","vol_03022021_125042_17","vol|vol_03022021_125042_17|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.546,2021-05-06 18:07:52.673,2021-05-04 15:50:05.586
"3218","3218","vol_03022021_125201_47","vol|vol_03022021_125201_47|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.005,0.995,"","","",1.2,"","","","","","","","","",99.5,0.5,0,0,"online",2021-04-08 14:11:40.593,2021-05-06 18:07:52.733,2021-05-06 18:07:52.730
"3199","3199","vol_03022021_124742_46","vol|vol_03022021_124742_46|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.473,2021-05-06 18:07:52.563,2021-05-04 15:50:05.480
"6525","6525","vol1","vol|93719b8a-59de-11e6-8171-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",10,"","","sata","","",450,450,0,"","","",,"","","","","","","","","",,100,,,"online",2021-07-27 15:02:25.206,2021-11-12 01:01:12.306,2021-11-12 01:01:12.303
"6751","6751","d42do904_NFS_volume","vol|72efbf28-5662-4d77-9c90-0bbd2ffb369b|array|c374983a-ce1d-11eb-822c-0050568a7ee4","{vol}","vol","Volume","6344","NetApp_Cluster","Array (NETAPP)","array|c374983a-ce1d-11eb-822c-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",10,0,9.5,"","","",12,"","","","","","","","","",95,0,0,0,"online",2021-10-21 01:48:23.086,2021-11-11 19:08:12.843,2021-10-21 01:48:23.086
"6528","6528","vol4","vol|a9c29b62-9162-11e6-a72a-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",20,"","","sata","","",819.2,801.938,17.262,"","","",,"","","","","","","","","",,98,,,"online",2021-07-27 15:02:25.236,2021-11-12 01:01:12.333,2021-08-21 00:01:04.290
"6750","6750","vol0","vol|f5bce900-9b0e-449b-9719-dfb3a212ca77|array|c374983a-ce1d-11eb-822c-0050568a7ee4","{vol}","vol","Volume","6344","NetApp_Cluster","Array (NETAPP)","array|c374983a-ce1d-11eb-822c-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",3.158,2.57,0.431,"","","",3.79,"","","","","","","","","",13.648,81.381,0,0,"online",2021-10-21 01:48:23.070,2021-11-11 19:08:12.836,2021-11-11 19:08:12.830
"6531","6531","NetApp02","vol|2a0a58d2-6cb5-11eb-bf57-00a0984ce983|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",0,"","","sata","","",60,56.129,3.871,"","","",,"","","","","","","","","",,94,,,"online",2021-07-27 15:02:25.263,2021-11-12 01:01:12.360,2021-10-15 00:00:34.023
"2061","2061","vol5","vol|vol5|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",20,"","","sata","","",80,30.059,49.941,"","","",,"","","","","","","","","",,38,,,"online",2021-01-26 19:07:55.173,2021-07-27 00:00:44.386,2021-05-04 15:42:04.906
"2060","2060","vol4","vol|vol4|array|0142255929","{vol}","vol","Volume","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","","","",,,"","","","","","","","","","","","","","","",20,"","","sata","","",819.2,801.938,17.262,"","","",,"","","","","","","","","",,98,,,"online",2021-01-26 19:07:55.170,2021-07-27 00:00:44.376,2021-05-04 15:42:04.896
"3202","3202","vol_03022021_124825_91","vol|vol_03022021_124825_91|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.490,2021-05-06 18:07:52.590,2021-05-04 15:50:05.506
"3198","3198","vol_03022021_124653_10","vol|vol_03022021_124653_10|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.463,2021-05-06 18:07:52.556,2021-05-04 15:50:05.470
"3200","3200","vol_03022021_124758_60","vol|vol_03022021_124758_60|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.476,2021-05-06 18:07:52.573,2021-05-04 15:50:05.490
"3205","3205","vol_03022021_124911_34","vol|vol_03022021_124911_34|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.510,2021-05-06 18:07:52.620,2021-05-04 15:50:05.533
"3206","3206","vol_03022021_124930_41","vol|vol_03022021_124930_41|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.516,2021-05-06 18:07:52.626,2021-05-04 15:50:05.543
"3207","3207","vol_03022021_124941_44","vol|vol_03022021_124941_44|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.523,2021-05-06 18:07:52.636,2021-05-04 15:50:05.553
"3203","3203","vol_03022021_124840_31","vol|vol_03022021_124840_31|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.496,2021-05-06 18:07:52.600,2021-05-04 15:50:05.516
"3204","3204","vol_03022021_124900_1","vol|vol_03022021_124900_1|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.503,2021-05-06 18:07:52.610,2021-05-04 15:50:05.523
"3212","3212","vol_03022021_125054_76","vol|vol_03022021_125054_76|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.553,2021-05-06 18:07:52.680,2021-05-04 15:50:05.596
"3213","3213","vol_03022021_125104_33","vol|vol_03022021_125104_33|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.560,2021-05-06 18:07:52.690,2021-05-04 15:50:05.606
"3214","3214","vol_03022021_125114_8","vol|vol_03022021_125114_8|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.566,2021-05-06 18:07:52.700,2021-05-04 15:50:05.616
"3210","3210","vol_03022021_125022_80","vol|vol_03022021_125022_80|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.543,2021-05-06 18:07:52.663,2021-05-04 15:50:05.580
"3219","3219","vol_03022021_125217_67","vol|vol_03022021_125217_67|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.005,0.995,"","","",1.2,"","","","","","","","","",99.5,0.5,0,0,"online",2021-04-08 14:11:40.600,2021-05-06 18:07:52.743,2021-05-06 18:07:52.736
"3220","3220","vol_03022021_125228_63","vol|vol_03022021_125228_63|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.005,0.995,"","","",1.2,"","","","","","","","","",99.5,0.5,0,0,"online",2021-04-08 14:11:40.606,2021-05-06 18:07:52.753,2021-05-06 18:07:52.746
"3221","3221","vol_03022021_125240_1","vol|vol_03022021_125240_1|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.005,0.995,"","","",1.2,"","","","","","","","","",99.5,0.5,0,0,"online",2021-04-08 14:11:40.613,2021-05-06 18:07:52.763,2021-05-06 18:07:52.756
"3217","3217","vol_03022021_125150_31","vol|vol_03022021_125150_31|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.586,2021-05-06 18:07:52.726,2021-05-04 15:50:05.643
"3225","3225","vol0","vol|vol0|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",2.158,1.562,0.488,"","","",3.79,"","","","","","","","","",22.614,72.382,0,0,"online",2021-04-08 14:11:40.636,2021-05-06 18:07:52.803,2021-05-06 18:07:52.796
"3226","3226","svm2_root","vol|svm2_root|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",0.02,0.001,0.017,"","","",0.023,"","","","","","","","","",85,5,0,0,"online",2021-04-08 14:11:40.643,2021-05-06 18:07:52.813,2021-05-05 18:07:52.810
"3227","3227","svm3_root","vol|svm3_root|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",0.02,0.001,0.017,"","","",0.023,"","","","","","","","","",85,5,0,0,"online",2021-04-08 14:11:40.650,2021-05-06 18:07:52.820,2021-05-04 15:50:05.733
"3224","3224","vol_5gb_thin","vol|vol_5gb_thin|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",5,0.004,4.996,"","","",6,"","","","","","","","","",99.92,0.08,0,0,"online",2021-04-08 14:11:40.630,2021-05-06 18:07:52.790,2021-05-06 18:07:52.783
"3201","3201","vol_03022021_124809_22","vol|vol_03022021_124809_22|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.483,2021-05-06 18:07:52.583,2021-05-04 15:50:05.496
"3208","3208","vol_03022021_124956_18","vol|vol_03022021_124956_18|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.530,2021-05-06 18:07:52.643,2021-05-04 15:50:05.560
"3209","3209","vol_03022021_125009_90","vol|vol_03022021_125009_90|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.533,2021-05-06 18:07:52.653,2021-05-04 15:50:05.570
"3197","3197","SVM1_root","vol|SVM1_root|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",0.02,0.001,0.017,"","","",0.023,"","","","","","","","","",85,5,0,0,"online",2021-04-08 14:11:40.460,2021-05-06 18:07:52.546,2021-05-06 18:07:52.540
"3222","3222","vol_03022021_125256_75","vol|vol_03022021_125256_75|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.005,0.995,"","","",1.2,"","","","","","","","","",99.5,0.5,0,0,"online",2021-04-08 14:11:40.616,2021-05-06 18:07:52.773,2021-05-06 18:07:52.766
"3215","3215","vol_03022021_125127_60","vol|vol_03022021_125127_60|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.573,2021-05-06 18:07:52.706,2021-05-04 15:50:05.623
"3216","3216","vol_03022021_125137_39","vol|vol_03022021_125137_39|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",1,0.006,0.994,"","","",1.2,"","","","","","","","","",99.4,0.6,0,0,"online",2021-04-08 14:11:40.580,2021-05-06 18:07:52.716,2021-05-04 15:50:05.633
"3223","3223","vol_2gb_thick","vol|vol_2gb_thick|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{vol}","vol","Volume","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4","","","",0,0,"","","","","","","","","","","","","","","",,"","","","","",2,0.008,1.992,"","","",2.4,"","","","","","","","","",99.6,0.4,0,0,"online",2021-04-08 14:11:40.623,2021-05-06 18:07:52.783,2021-05-04 15:50:05.696
