DateKey,FiscalYear
20160401,2016
20160402,2016
20160403,2016
20160404,2016
20160405,2016
20160406,2016
20160407,2016
20160408,2016
20160409,2016
20160410,2016
20160411,2016
20160412,2016
20160413,2016
20160414,2016
20160415,2016
20160416,2016
20160417,2016
20160418,2016
20160419,2016
20160420,2016
20160421,2016
20160422,2016
20160423,2016
20160424,2016
20160425,2016
20160426,2016
20160427,2016
20160428,2016
20160429,2016
20160430,2016
20160501,2016
20160502,2016
20160503,2016
20160504,2016
20160505,2016
20160506,2016
20160507,2016
20160508,2016
20160509,2016
20160510,2016
20160511,2016
20160512,2016
20160513,2016
20160514,2016
20160515,2016
20160516,2016
20160517,2016
20160518,2016
20160519,2016
20160520,2016
20160521,2016
20160522,2016
20160523,2016
20160524,2016
20160525,2016
20160526,2016
20160527,2016
20160528,2016
20160529,2016
20160530,2016
20160531,2016
20160601,2016
20160602,2016
20160603,2016
20160604,2016
20160605,2016
20160606,2016
20160607,2016
20160608,2016
20160609,2016
20160610,2016
20160611,2016
20160612,2016
20160613,2016
20160614,2016
20160615,2016
20160616,2016
20160617,2016
20160618,2016
20160619,2016
20160620,2016
20160621,2016
20160622,2016
20160623,2016
20160624,2016
20160625,2016
20160626,2016
20160627,2016
20160628,2016
20160629,2016
20160630,2016
20160701,2016
20160702,2016
20160703,2016
20160704,2016
20160705,2016
20160706,2016
20160707,2016
20160708,2016
20160709,2016
20160710,2016
20160711,2016
20160712,2016
20160713,2016
20160714,2016
20160715,2016
20160716,2016
20160717,2016
20160718,2016
20160719,2016
20160720,2016
20160721,2016
20160722,2016
20160723,2016
20160724,2016
20160725,2016
20160726,2016
20160727,2016
20160728,2016
20160729,2016
20160730,2016
20160731,2016
20160801,2016
20160802,2016
20160803,2016
20160804,2016
20160805,2016
20160806,2016
20160807,2016
20160808,2016
20160809,2016
20160810,2016
20160811,2016
20160812,2016
20160813,2016
20160814,2016
20160815,2016
20160816,2016
20160817,2016
20160818,2016
20160819,2016
20160820,2016
20160821,2016
20160822,2016
20160823,2016
20160824,2016
20160825,2016
20160826,2016
20160827,2016
20160828,2016
20160829,2016
20160830,2016
20160831,2016
20160901,2016
20160902,2016
20160903,2016
20160904,2016
20160905,2016
20160906,2016
20160907,2016
20160908,2016
20160909,2016
20160910,2016
20160911,2016
20160912,2016
20160913,2016
20160914,2016
20160915,2016
20160916,2016
20160917,2016
20160918,2016
20160919,2016
20160920,2016
20160921,2016
20160922,2016
20160923,2016
20160924,2016
20160925,2016
20160926,2016
20160927,2016
20160928,2016
20160929,2016
20160930,2016
20161001,2016
20161002,2016
20161003,2016
20161004,2016
20161005,2016
20161006,2016
20161007,2016
20161008,2016
20161009,2016
20161010,2016
20161011,2016
20161012,2016
20161013,2016
20161014,2016
20161015,2016
20161016,2016
20161017,2016
20161018,2016
20161019,2016
20161020,2016
20161021,2016
20161022,2016
20161023,2016
20161024,2016
20161025,2016
20161026,2016
20161027,2016
20161028,2016
20161029,2016
20161030,2016
20161031,2016
20161101,2016
20161102,2016
20161103,2016
20161104,2016
20161105,2016
20161106,2016
20161107,2016
20161108,2016
20161109,2016
20161110,2016
20161111,2016
20161112,2016
20161113,2016
20161114,2016
20161115,2016
20161116,2016
20161117,2016
20161118,2016
20161119,2016
20161120,2016
20161121,2016
20161122,2016
20161123,2016
20161124,2016
20161125,2016
20161126,2016
20161127,2016
20161128,2016
20161129,2016
20161130,2016
20161201,2016
20161202,2016
20161203,2016
20161204,2016
20161205,2016
20161206,2016
20161207,2016
20161208,2016
20161209,2016
20161210,2016
20161211,2016
20161212,2016
20161213,2016
20161214,2016
20161215,2016
20161216,2016
20161217,2016
20161218,2016
20161219,2016
20161220,2016
20161221,2016
20161222,2016
20161223,2016
20161224,2016
20161225,2016
20161226,2016
20161227,2016
20161228,2016
20161229,2016
20161230,2016
20161231,2016
20170101,2016
20170102,2016
20170103,2016
20170104,2016
20170105,2016
20170106,2016
20170107,2016
20170108,2016
20170109,2016
20170110,2016
20170111,2016
20170112,2016
20170113,2016
20170114,2016
20170115,2016
20170116,2016
20170117,2016
20170118,2016
20170119,2016
20170120,2016
20170121,2016
20170122,2016
20170123,2016
20170124,2016
20170125,2016
20170126,2016
20170127,2016
20170128,2016
20170129,2016
20170130,2016
20170131,2016
20170201,2016
20170202,2016
20170203,2016
20170204,2016
20170205,2016
20170206,2016
20170207,2016
20170208,2016
20170209,2016
20170210,2016
20170211,2016
20170212,2016
20170213,2016
20170214,2016
20170215,2016
20170216,2016
20170217,2016
20170218,2016
20170219,2016
20170220,2016
20170221,2016
20170222,2016
20170223,2016
20170224,2016
20170225,2016
20170226,2016
20170227,2016
20170228,2016
20170301,2016
20170302,2016
20170303,2016
20170304,2016
20170305,2016
20170306,2016
20170307,2016
20170308,2016
20170309,2016
20170310,2016
20170311,2016
20170312,2016
20170313,2016
20170314,2016
20170315,2016
20170316,2016
20170317,2016
20170318,2016
20170319,2016
20170320,2016
20170321,2016
20170322,2016
20170323,2016
20170324,2016
20170325,2016
20170326,2016
20170327,2016
20170328,2016
20170329,2016
20170330,2016
20170331,2016
20170401,2017
20170402,2017
20170403,2017
20170404,2017
20170405,2017
20170406,2017
20170407,2017
20170408,2017
20170409,2017
20170410,2017
20170411,2017
20170412,2017
20170413,2017
20170414,2017
20170415,2017
20170416,2017
20170417,2017
20170418,2017
20170419,2017
20170420,2017
20170421,2017
20170422,2017
20170423,2017
20170424,2017
20170425,2017
20170426,2017
20170427,2017
20170428,2017
20170429,2017
20170430,2017
20170501,2017
20170502,2017
20170503,2017
20170504,2017
20170505,2017
20170506,2017
20170507,2017
20170508,2017
20170509,2017
20170510,2017
20170511,2017
20170512,2017
20170513,2017
20170514,2017
20170515,2017
20170516,2017
20170517,2017
20170518,2017
20170519,2017
20170520,2017
20170521,2017
20170522,2017
20170523,2017
20170524,2017
20170525,2017
20170526,2017
20170527,2017
20170528,2017
20170529,2017
20170530,2017
20170531,2017
20170601,2017
20170602,2017
20170603,2017
20170604,2017
20170605,2017
20170606,2017
20170607,2017
20170608,2017
20170609,2017
20170610,2017
20170611,2017
20170612,2017
20170613,2017
20170614,2017
20170615,2017
20170616,2017
20170617,2017
20170618,2017
20170619,2017
20170620,2017
20170621,2017
20170622,2017
20170623,2017
20170624,2017
20170625,2017
20170626,2017
20170627,2017
20170628,2017
20170629,2017
20170630,2017
20170701,2017
20170702,2017
20170703,2017
20170704,2017
20170705,2017
20170706,2017
20170707,2017
20170708,2017
20170709,2017
20170710,2017
20170711,2017
20170712,2017
20170713,2017
20170714,2017
20170715,2017
20170716,2017
20170717,2017
20170718,2017
20170719,2017
20170720,2017
20170721,2017
20170722,2017
20170723,2017
20170724,2017
20170725,2017
20170726,2017
20170727,2017
20170728,2017
20170729,2017
20170730,2017
20170731,2017
20170801,2017
20170802,2017
20170803,2017
20170804,2017
20170805,2017
20170806,2017
20170807,2017
20170808,2017
20170809,2017
20170810,2017
20170811,2017
20170812,2017
20170813,2017
20170814,2017
20170815,2017
20170816,2017
20170817,2017
20170818,2017
20170819,2017
20170820,2017
20170821,2017
20170822,2017
20170823,2017
20170824,2017
20170825,2017
20170826,2017
20170827,2017
20170828,2017
20170829,2017
20170830,2017
20170831,2017
20170901,2017
20170902,2017
20170903,2017
20170904,2017
20170905,2017
20170906,2017
20170907,2017
20170908,2017
20170909,2017
20170910,2017
20170911,2017
20170912,2017
20170913,2017
20170914,2017
20170915,2017
20170916,2017
20170917,2017
20170918,2017
20170919,2017
20170920,2017
20170921,2017
20170922,2017
20170923,2017
20170924,2017
20170925,2017
20170926,2017
20170927,2017
20170928,2017
20170929,2017
20170930,2017
20171001,2017
20171002,2017
20171003,2017
20171004,2017
20171005,2017
20171006,2017
20171007,2017
20171008,2017
20171009,2017
20171010,2017
20171011,2017
20171012,2017
20171013,2017
20171014,2017
20171015,2017
20171016,2017
20171017,2017
20171018,2017
20171019,2017
20171020,2017
20171021,2017
20171022,2017
20171023,2017
20171024,2017
20171025,2017
20171026,2017
20171027,2017
20171028,2017
20171029,2017
20171030,2017
20171031,2017
20171101,2017
20171102,2017
20171103,2017
20171104,2017
20171105,2017
20171106,2017
20171107,2017
20171108,2017
20171109,2017
20171110,2017
20171111,2017
20171112,2017
20171113,2017
20171114,2017
20171115,2017
20171116,2017
20171117,2017
20171118,2017
20171119,2017
20171120,2017
20171121,2017
20171122,2017
20171123,2017
20171124,2017
20171125,2017
20171126,2017
20171127,2017
20171128,2017
20171129,2017
20171130,2017
20171201,2017
20171202,2017
20171203,2017
20171204,2017
20171205,2017
20171206,2017
20171207,2017
20171208,2017
20171209,2017
20171210,2017
20171211,2017
20171212,2017
20171213,2017
20171214,2017
20171215,2017
20171216,2017
20171217,2017
20171218,2017
20171219,2017
20171220,2017
20171221,2017
20171222,2017
20171223,2017
20171224,2017
20171225,2017
20171226,2017
20171227,2017
20171228,2017
20171229,2017
20171230,2017
20171231,2017
20180101,2017
20180102,2017
20180103,2017
20180104,2017
20180105,2017
20180106,2017
20180107,2017
20180108,2017
20180109,2017
20180110,2017
20180111,2017
20180112,2017
20180113,2017
20180114,2017
20180115,2017
20180116,2017
20180117,2017
20180118,2017
20180119,2017
20180120,2017
20180121,2017
20180122,2017
20180123,2017
20180124,2017
20180125,2017
20180126,2017
20180127,2017
20180128,2017
20180129,2017
20180130,2017
20180131,2017
20180201,2017
20180202,2017
20180203,2017
20180204,2017
20180205,2017
20180206,2017
20180207,2017
20180208,2017
20180209,2017
20180210,2017
20180211,2017
20180212,2017
20180213,2017
20180214,2017
20180215,2017
20180216,2017
20180217,2017
20180218,2017
20180219,2017
20180220,2017
20180221,2017
20180222,2017
20180223,2017
20180224,2017
20180225,2017
20180226,2017
20180227,2017
20180228,2017
20180301,2017
20180302,2017
20180303,2017
20180304,2017
20180305,2017
