ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
"IN10269326","NEW","","","","",
"IN10269332","NEW","","","","",
"IN10269346","NEW","","","","",
"IN10269350","NEW","","","","",
"IN10269355","NEW","","","","",
"IN10269356","NEW","","","","",
"IN10269361","NEW","","","","",
"IN10269363","NEW","","","","",
"IN10269365","NEW","","","","",
"IN10269366","NEW","","","","",
"IN10269367","NEW","","","","",
"IN10269368","NEW","","","","",
"IN10269369","NEW","","","","",
"IN10269370","NEW","","","","",
"IN10269371","NEW","","","","",
"IN10269373","NEW","","","","",
"IN10269375","NEW","","","","",
"IN10269378","NEW","","","","",
"IN10269380","NEW","","","","",
"IN10269381","NEW","","","","",
"IN10269382","NEW","","","","",
"IN10269388","NEW","","","","",
"IN10269391","NEW","","","","",
"IN10269392","NEW","","","","",
"IN10269393","NEW","","","","",
"IN10269394","NEW","","","","",
"IN10269395","NEW","","","","",
"IN10269397","NEW","","","","",
"IN10269400","NEW","","","","",
"IN10269401","NEW","","","","",
"IN10269402","NEW","","","","",
"IN10269403","NEW","","","","",
"IN10269404","NEW","","","","",
"IN10269406","NEW","","","","",
"IN10269407","NEW","","","","",
"IN10269409","NEW","","","","",
"IN10269411","NEW","","","","",
"IN10269412","NEW","","","","",
"IN10269413","NEW","","","","",
"IN10269415","NEW","","","","",
"IN10269417","NEW","","","","",
"IN10269419","NEW","","","","",
"IN10269420","NEW","","","","",
"IN10269421","NEW","","","","",
"IN10269422","NEW","","","","",
"IN10269423","NEW","","","","",
"IN10269425","NEW","","","","",
"IN10269427","NEW","","","","",
"IN10269428","NEW","","","","",
"IN10269429","NEW","","","","",
"IN10269430","NEW","","","","",
"IN10269435","NEW","","","","",
"IN10269436","NEW","","","","",
"IN10269440","NEW","","","","",
"IN10269441","NEW","","","","",
"IN10269442","NEW","","","","",
"IN10269443","NEW","","","","",
"IN10269444","NEW","","","","",
"IN10269446","NEW","","","","",
"IN10269447","NEW","","","","",
"IN10269448","NEW","","","","",
"IN10269450","NEW","","","","",
"IN10269451","NEW","","","","",
"IN10269452","NEW","","","","",
"IN10269453","NEW","","","","",
"IN10269454","NEW","","","","",
"IN10269455","NEW","","","","",
"IN10269456","NEW","","","","",
"IN10269457","NEW","","","","",
"IN10269458","NEW","","","","",
"IN10269462","NEW","","","","",
"IN10269463","NEW","","","","",
"IN10269468","NEW","","","","",
"IN10269469","NEW","","","","",
"IN10269470","NEW","","","","",
"IN10269471","NEW","","","","",
"IN10269472","NEW","","","","",
"IN10269474","NEW","","","","",
"IN10269477","NEW","","","","",
"IN10269479","NEW","","","","",
"IN10269480","NEW","","","","",
"IN10269484","NEW","","","","",
"IN10269486","NEW","","","","",
"IN10269487","NEW","","","","",
"IN10269488","NEW","","","","",
"IN10269489","NEW","","","","",
"IN10269490","NEW","","","","",
"IN10269492","NEW","","","","",
"IN10269493","NEW","","","","",
"IN10269494","NEW","","","","",
"IN10269495","NEW","","","","",
"IN10269496","NEW","","","","",
"IN10269501","NEW","","","","",
"IN10269503","NEW","","","","",
"IN10269504","NEW","","","","",
"IN10269505","NEW","","","","",
"IN10269506","NEW","","","","",
"IN10269508","NEW","","","","",
"IN10269509","NEW","","","","",
"IN10269512","NEW","","","","",
"IN10269515","NEW","","","","",
"IN10269517","NEW","","","","",
"IN10269519","NEW","","","","",
"IN10269522","NEW","","","","",
"IN10269525","NEW","","","","",
"IN10269526","NEW","","","","",
"IN10269527","NEW","","","","",
"IN10269528","NEW","","","","",
"IN10269529","NEW","","","","",
"IN10269530","NEW","","","","",
"IN10269532","NEW","","","","",
"IN10269534","NEW","","","","",
"IN10269538","NEW","","","","",
"IN10269542","NEW","","","","",
"IN10269545","NEW","","","","",
"IN10269546","NEW","","","","",
"IN10269547","NEW","","","","",
"IN10269550","NEW","","","","",
"IN10269552","NEW","","","","",
"IN10269554","NEW","","","","",
"IN10269557","NEW","","","","",
"IN10269558","NEW","","","","",
"IN10269560","NEW","","","","",
"IN10269564","NEW","","","","",
"IN10269577","NEW","","","","",
"IN10269579","NEW","","","","",
"IN10269595","NEW","","","","",
"IN10269596","NEW","","","","",
"IN10269597","NEW","","","","",
