ticket_nmbr,STATUS,change_date,TIME_IN_STATUS_HRS
IN10156625,INPROG,06SEP2019:18:41:56,3.1666666667
IN10091971,NEW,16JUN2018:01:43:35,0.0
IN10180811,QUEUED,06FEB2020:11:39:18,5.35
IN10164802,AWAITVEN,05NOV2019:13:37:32,59.8
IN10074549,CLOSED,21JAN2018:05:30:16,
IN10071417,NEW,01DEC2017:15:32:20,0.0166666667
IN10128729,RESOLVED,25FEB2019:08:51:21,0.0
IN10285875,QUEUED,,
IN10197509,NEW,26MAY2020:13:27:35,0.0166666667
IN10072907,RESOLVED,18DEC2017:10:24:58,0.0
IN10086830,RESOLVED,08MAY2018:10:15:09,0.0
IN10228175,CLOSED,05DEC2020:05:30:21,
IN10057415,QUEUED,20JUN2017:18:14:30,4.6166666667
IN10101386,QUEUED,01SEP2018:11:10:43,2.1166666667
IN10207084,INPROG,24JUL2020:09:38:42,0.7333333333
IN10030537,QUEUED,27APR2016:10:59:56,1.0333333333
IN10180425,QUEUED,04FEB2020:23:02:27,0.0
IN10196208,RESOLVED,19MAY2020:08:46:19,0.0
IN10095944,RESOLVED,24JUL2018:08:59:33,0.0
IN10090561,RESOLVED,12JUN2018:15:23:59,0.0
IN10097366,QUEUED,30JUL2018:17:08:51,0.55
IN10257481,CLOSED,07JUN2021:05:30:09,
IN10235002,QUEUED,14JAN2021:21:17:29,8.8
IN10050187,SLAHOLD,11MAR2017:07:35:31,3.8333333333
IN10166462,NEW,06NOV2019:17:25:31,0.05
IN10279674,RESOLVED,,0.0
IN10287796,AWAITCUS,,
IN10092376,CLOSED,18AUG2018:05:30:03,
IN10073675,QUEUED,27DEC2017:14:36:00,0.7
IN10176200,CLOSED,24JAN2020:05:30:12,
IN10118384,QUEUED,21DEC2018:10:15:38,1.7
IN10120393,RESOLVED,07JAN2019:11:24:30,0.0
IN10143796,RESOLVED,07JUN2019:10:07:16,0.0
IN10175668,NEW,09JAN2020:12:16:48,0.0166666667
IN10131462,NEW,12MAR2019:13:58:17,0.0166666667
IN10173646,AWAITCHG,19DEC2019:08:49:45,92.516666667
IN10249863,QUEUED,09APR2021:08:26:40,1.5166666667
IN10053621,RESOLVED,22JUN2017:08:34:58,0.0
IN10158438,AWAITCUS,19SEP2019:16:48:10,41.5
IN10267930,RESOLVED,12JUL2021:15:58:19,0.0
IN10201560,NEW,19JUN2020:18:37:22,0.0
IN10262932,CLOSED,04JUL2021:05:30:23,
IN10105798,INPROG,09OCT2018:09:46:52,10.75
IN10257213,NEW,25MAY2021:08:29:58,0.0333333333
IN10145943,SLAHOLD,20JUN2019:14:40:39,48.633333333
IN10242722,CLOSED,14MAR2021:05:30:12,
IN10152017,QUEUED,31JUL2019:13:32:54,0.0
IN10067028,RESOLVED,16OCT2017:11:52:34,0.0
IN10067154,NEW,17OCT2017:10:21:21,0.0166666667
IN10087703,QUEUED,10MAY2018:03:05:05,4.1666666667
IN10281178,INPROG,,
IN10054697,QUEUED,16MAY2017:08:54:02,0.0666666667
IN10036624,RESOLVED,08AUG2016:13:53:56,0.0
