screen_name,description,followers_count,user_id,name,profile_image_url,statuses_count,profile_url,location
"InfiniteSkySol","",0,"1360638144757051395","Infinite Sky Solutions","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",1,"https://twitter.com/InfiniteSkySol",""
"abcnamebank","Naseem, a corporate philosopher, Chairman of Expothon Worldwide, his book ""Alpha Dreamers; the five billion connected who will change the world"" at Amazon now",611,"469415956","naseem javed","http://pbs.twimg.com/profile_images/1768776417/NJ-BT-2L_normal.jpg",2946,"https://twitter.com/abcnamebank",""
"EscobarMiguel90","Data Analytics Professional - #PowerBI #PowerQuery 
#DAX #PowerPivot #Excel - MCP, MCT, MVP",2141,"1323782443","Miguel Angel Escobar","http://pbs.twimg.com/profile_images/567602706882101248/M5EOIl_e_normal.png",2898,"https://twitter.com/EscobarMiguel90",""
"mbengueb18","Data Analyst | Web Analyst | Trainer #WebAnalytics #Digital #Analytics #TagManagementSystem #Webanalyse #Datavizualisation #SEO #Maths #Stats #Data",2012,"466948622","Abdoul Aziz MBENGUE","http://pbs.twimg.com/profile_images/1298017250214117377/UhZXzIRQ_normal.jpg",4590,"https://twitter.com/mbengueb18",""
"CsharpCorner","Global social community of software and data developers. Learn. Share. Inspire.",124911,"241007239","C# Corner","http://pbs.twimg.com/profile_images/601645996360138752/JXX6TiZa_normal.png",81302,"https://twitter.com/CsharpCorner",""
"steven_amani","I create software, photograph things, fly drones, ride bikes, love food",490,"4059301","Steven Amani","http://pbs.twimg.com/profile_images/1302027879052718082/noxbd1n3_normal.jpg",15878,"https://twitter.com/steven_amani",""
"GxAgro","GxAgro, Software de Administración Agrícola. Gestión 100% developed with @GeneXus mas info en http://t.co/4SgFlVbHrw",282,"91599726","GxAgro Management","http://pbs.twimg.com/profile_images/618571551068291072/ZemTjg-M_normal.png",1774,"https://twitter.com/GxAgro",""
"JohannesVink","BI Architect. ETL. DWH. SQL. Fun.",65,"1256118940801159168","Johannes Vink","http://pbs.twimg.com/profile_images/1361389391118270465/ldhm2ZjH_normal.jpg",962,"https://twitter.com/JohannesVink",""
"pgbhoyar","Microsoft MVP (AI) | Sr Solution Architect @WithumDigital | Author | International Speaker | Organizer of @AzureDataFest,@DCMetroO365 | #AI | #Bots | #IPA | #ML",1172,"262318126","Prashant G Bhoyar, Microsoft AI MVP","http://pbs.twimg.com/profile_images/1147454538754023424/0NC4ky44_normal.png",2289,"https://twitter.com/pgbhoyar",""
"3DRepo","The digital platform for #BIM data and coordination in the cloud. Here to bring down the barriers to collaboration for construction professionals in #AEC",2632,"2819432841","3D Repo","http://pbs.twimg.com/profile_images/1333768106725023748/MWkOe2gG_normal.jpg",3571,"https://twitter.com/3DRepo",""
"MartijnAlsem","📣Hit me up if you need some help!
📈Analytics Guru 
🌐Are you ready to change your life with this #PowerBI Training?👇",480,"107714976","Martijn Alsem","http://pbs.twimg.com/profile_images/683783116310319104/W4Q-nnqs_normal.jpg",2382,"https://twitter.com/MartijnAlsem",""
"MS_KellyKaye","❤️ Love is the answer ❤️Microsoft Power BI MVP Lead",571,"1226895487648690178","Kelly Kaye","http://pbs.twimg.com/profile_images/1277708514626908160/CQXuYOvY_normal.jpg",214,"https://twitter.com/MS_KellyKaye",""
"CheFavs","Research of Inventions",26,"1098641060648103937","CheFavs","http://pbs.twimg.com/profile_images/1098641411728179201/zi5p_4AC_normal.jpg",395,"https://twitter.com/CheFavs",""
