Title,Date,Notes,Bunting,Division
"Easter Monday",2017-04-17 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday",2017-05-01 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2017-05-29 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2017-08-28 00:00:00.000,"",True,"England & Wales"
"Christmas Day",2017-12-25 00:00:00.000,"",True,"England & Wales"
"Boxing Day",2017-12-26 00:00:00.000,"",True,"England & Wales"
"New Year’s Day",2018-01-01 00:00:00.000,"",True,"England & Wales"
"Easter Monday",2018-04-02 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday",2018-05-07 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2018-05-28 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2018-08-27 00:00:00.000,"",True,"England & Wales"
"Christmas Day",2018-12-25 00:00:00.000,"",True,"England & Wales"
"Boxing Day",2018-12-26 00:00:00.000,"",True,"England & Wales"
"New Year’s Day",2019-01-01 00:00:00.000,"",True,"England & Wales"
"Easter Monday",2019-04-22 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday",2019-05-06 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2019-05-27 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2019-08-26 00:00:00.000,"",True,"England & Wales"
"Christmas Day",2019-12-25 00:00:00.000,"",True,"England & Wales"
"Boxing Day",2019-12-26 00:00:00.000,"",True,"England & Wales"
"New Year’s Day",2020-01-01 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday (VE day)",2020-05-08 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2020-05-25 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2020-08-31 00:00:00.000,"",True,"England & Wales"
"Christmas Day",2020-12-25 00:00:00.000,"",True,"England & Wales"
"New Year’s Day",2021-01-01 00:00:00.000,"",True,"England & Wales"
"Easter Monday",2021-04-05 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday",2021-05-03 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2021-05-31 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2021-08-30 00:00:00.000,"",True,"England & Wales"
"Easter Monday",2022-04-18 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday",2022-05-02 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2022-06-02 00:00:00.000,"",True,"England & Wales"
"Platinum Jubilee bank holiday",2022-06-03 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2022-08-29 00:00:00.000,"",True,"England & Wales"
"Boxing Day",2022-12-26 00:00:00.000,"",True,"England & Wales"
"Easter Monday",2023-04-10 00:00:00.000,"",True,"England & Wales"
"Early May bank holiday",2023-05-01 00:00:00.000,"",True,"England & Wales"
"Spring bank holiday",2023-05-29 00:00:00.000,"",True,"England & Wales"
"Summer bank holiday",2023-08-28 00:00:00.000,"",True,"England & Wales"
"Christmas Day",2023-12-25 00:00:00.000,"",True,"England & Wales"
"Boxing Day",2023-12-26 00:00:00.000,"",True,"England & Wales"
"2nd January",2017-01-02 00:00:00.000,"",True,"Scotland"
"Early May bank holiday",2017-05-01 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2017-05-29 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2017-08-07 00:00:00.000,"",True,"Scotland"
"St Andrew’s Day",2017-11-30 00:00:00.000,"",True,"Scotland"
"Christmas Day",2017-12-25 00:00:00.000,"",True,"Scotland"
"Boxing Day",2017-12-26 00:00:00.000,"",True,"Scotland"
"New Year’s Day",2018-01-01 00:00:00.000,"",True,"Scotland"
"2nd January",2018-01-02 00:00:00.000,"",True,"Scotland"
"Early May bank holiday",2018-05-07 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2018-05-28 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2018-08-06 00:00:00.000,"",True,"Scotland"
"St Andrew’s Day",2018-11-30 00:00:00.000,"",True,"Scotland"
"Christmas Day",2018-12-25 00:00:00.000,"",True,"Scotland"
"Boxing Day",2018-12-26 00:00:00.000,"",True,"Scotland"
"New Year’s Day",2019-01-01 00:00:00.000,"",True,"Scotland"
"2nd January",2019-01-02 00:00:00.000,"",True,"Scotland"
"Early May bank holiday",2019-05-06 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2019-05-27 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2019-08-05 00:00:00.000,"",True,"Scotland"
"Christmas Day",2019-12-25 00:00:00.000,"",True,"Scotland"
"Boxing Day",2019-12-26 00:00:00.000,"",True,"Scotland"
"New Year’s Day",2020-01-01 00:00:00.000,"",True,"Scotland"
"2nd January",2020-01-02 00:00:00.000,"",True,"Scotland"
"Early May bank holiday (VE day)",2020-05-08 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2020-05-25 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2020-08-03 00:00:00.000,"",True,"Scotland"
"St Andrew’s Day",2020-11-30 00:00:00.000,"",True,"Scotland"
"Christmas Day",2020-12-25 00:00:00.000,"",True,"Scotland"
"New Year’s Day",2021-01-01 00:00:00.000,"",True,"Scotland"
"Early May bank holiday",2021-05-03 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2021-05-31 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2021-08-02 00:00:00.000,"",True,"Scotland"
"St Andrew’s Day",2021-11-30 00:00:00.000,"",True,"Scotland"
"Early May bank holiday",2022-05-02 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2022-06-02 00:00:00.000,"",True,"Scotland"
"Platinum Jubilee bank holiday",2022-06-03 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2022-08-01 00:00:00.000,"",True,"Scotland"
"St Andrew’s Day",2022-11-30 00:00:00.000,"",True,"Scotland"
"Boxing Day",2022-12-26 00:00:00.000,"",True,"Scotland"
"Early May bank holiday",2023-05-01 00:00:00.000,"",True,"Scotland"
"Spring bank holiday",2023-05-29 00:00:00.000,"",True,"Scotland"
"Summer bank holiday",2023-08-07 00:00:00.000,"",True,"Scotland"
"St Andrew’s Day",2023-11-30 00:00:00.000,"",True,"Scotland"
"Christmas Day",2023-12-25 00:00:00.000,"",True,"Scotland"
