Data Venda
2012-10-04 00:00:00.000
2012-01-01 00:00:00.000
2012-02-02 00:00:00.000
2012-03-03 00:00:00.000
2012-04-04 00:00:00.000
2012-05-04 00:00:00.000
2012-06-04 00:00:00.000
2012-07-04 00:00:00.000
2012-08-04 00:00:00.000
2012-09-04 00:00:00.000
2012-09-04 00:00:00.000
2012-11-04 00:00:00.000
2012-11-04 00:00:00.000
2012-12-04 00:00:00.000
2012-12-04 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2012-01-01 00:00:00.000
2012-02-01 00:00:00.000
2012-03-01 00:00:00.000
2012-04-01 00:00:00.000
2012-05-01 00:00:00.000
2012-06-01 00:00:00.000
2012-07-01 00:00:00.000
2012-08-01 00:00:00.000
2012-09-01 00:00:00.000
2012-10-01 00:00:00.000
2012-11-01 00:00:00.000
2012-12-01 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2012-01-01 00:00:00.000
2012-02-01 00:00:00.000
2012-03-01 00:00:00.000
2012-04-01 00:00:00.000
2012-05-01 00:00:00.000
2012-06-01 00:00:00.000
2012-07-01 00:00:00.000
2012-08-01 00:00:00.000
2012-09-01 00:00:00.000
2012-10-01 00:00:00.000
2012-11-01 00:00:00.000
2012-12-01 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
