Financial Year,2017,2018,2019,2020,2021
Revenue From Operations [Gross],117966,123104,146463,156949,164177
Revenue From Operations [Net],117966,123104,146463,156949,164177
Total Operating Revenues,117966,123104,146463,156949,164177
Other Income,4221,3642,4311,4592,3134
Total Revenue,122187,126746,150774,161541,167311
Cost Of Materials Consumed,94,86,0,0,0
Operating And Direct Expenses,2714,2614,2270,1905,1462
Employee Benefit Expenses,61621,66396,78246,85952,91814
Finance Costs,32,52,198,924,637
Depreciation And Amortisation Expenses,1987,2014,2056,3529,4065
Other Expenses,21226,21492,26441,26983,24355
Total Expenses,87674,92654,109211,119293,122333
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",34513,34092,41563,42248,44978
Exceptional Items,0,0,0,0,-1218
PBT,34513,34092,41563,42248,43760
Current Tax,8235,8265,9502,10378,11635
Deferred Tax,-79,-53,499,-577,-437
Total Tax Expenses,8156,8212,10001,9801,11198
Profit/Loss After Tax And Before ExtraOrdinary Items,26357,25880,31562,32447,32562
Profit/Loss From Continuing Operations,26357,25880,31562,32447,32562
PAT,26357,25880,31562,32447,32562
Minority Interest,-68,-54,-90,-107,-132
Consolidated Profit/Loss After MI And Associates,26289,25826,31472,32340,32430
Basic EPS (Rs.),133,134,83,86,87
Diluted EPS (Rs.),133,134,83,86,87
Equity Share Dividend,9162,9284,10082,37634,10850
Tax On Dividend,1785,1442,1342,0,0
Total Operating Expenses,85655,90588,106957,114840,117631
EBITDA,32311,32516,39506,42109,46546
PAT Margin%,0.215710345617783,0.204187903365787,0.209333174154695,0.200859224593137,0.194619600623988
EBITDA Margin%,0.273900954512317,0.264134390434104,0.26973365286796,0.26829734499742,0.283511088642136
EBIT,34545,34144,41761,43172,44397
ICR,1079.53125,656.6153846,210.9141414,46.72294372,69.69701727
TCS vs BSE.TCS,1350.2,1893.55,2161.3,2870.2,3445.65
P/E Ratio,10.15187969924812,14.130970149253731,26.039759036144581,33.374418604651162,39.605172413793106
