CentreID,StaffCount,ZipCode,State,City,StreetName,ContactNumber,Name
"C0001",10,2120,"Boston","Massachusetts","Boylston Street","9885438907","CVS Pharmacy"
"C0002",15,2128,"New York","New York","Newburry Street","9185438907","Sudbury Pharmacy"
"C0003",10,2111,"San Fransisco","California","Commonwealth Ave","9785438906","Walpole Pharmacy"
"C0004",12,2115,"Boston","Massachusetts","Huntington Ave","9785438901","Walgreens"
"C0005",11,2119,"New York","New York","South Huntington Ave","9785338907","Hannaford"
"C0006",20,2123,"Orlando","Florida","Mission Main","9785538907","Walmart"
"C0007",18,2127,"San Fransisco","California","Park Street","9785838907","Walgreens"
"C0008",30,2131,"Orlando","Florida","Downtown Crossing","9785638907","Wegmans"
"C0009",25,2135,"New York","New York","Copley","9785138907","Walmart"
"C0010",22,2149,"Boston","Massachusetts","Fenway","9285438907","CVS Pharmacy"
