Date,Game,Earnings,Players,Tournaments
2017-09-01 00:00:00.000,World of WarCraft,100000.0,20,1
2019-04-01 00:00:00.000,Gears of War 4,300000.0,15,1
2015-10-01 00:00:00.000,StarCraft Brood War,3726.85,25,14
2016-01-01 00:00:00.000,Divekick,180.0,3,1
2010-11-01 00:00:00.000,Super Smash Bros. Brawl,36130.0,15,3
2018-09-01 00:00:00.000,Dota 2,37146.0,101,10
2019-07-01 00:00:00.000,StarCraft II,207837.46,116,34
2018-07-01 00:00:00.000,Super Smash Bros. Melee,19734.96,70,14
2012-08-01 00:00:00.000,Soul Calibur V,20200.9,12,3
2010-02-01 00:00:00.000,Counter Strike Source,17074.35,96,6
2018-07-01 00:00:00.000,Injustice 2,21160.0,13,2
2019-02-01 00:00:00.000,WarCraft III,2235.0,8,1
2016-08-01 00:00:00.000,Mortal Kombat XL,1070.0,3,1
2016-10-01 00:00:00.000,Super Street Fighter II Turbo,925.7,8,1
2016-09-01 00:00:00.000,Super Smash Bros. for Wii U,20580.68,77,16
2018-12-01 00:00:00.000,BlazBlue Cross Tag Battle,983.33,7,2
2007-01-01 00:00:00.000,Age of Empires II,10000.0,16,1
2016-10-01 00:00:00.000,Super Smash Bros. for Wii U,26821.27,87,19
2006-08-01 00:00:00.000,Age of Empires,42.25,10,1
2020-05-01 00:00:00.000,Quake Champions,50000.0,24,1
2020-01-01 00:00:00.000,Street Fighter V Arcade Edition,20036.79,16,2
2006-11-01 00:00:00.000,Super Smash Bros. Melee,18000.0,8,2
2018-03-01 00:00:00.000,Attack on Titan Tribute Game,18800.0,19,2
2017-02-01 00:00:00.000,Team Fortress 2,450.0,18,1
2017-02-01 00:00:00.000,Battlerite,11228.23,28,8
2017-04-01 00:00:00.000,CrossFire,869.42,20,1
2017-04-01 00:00:00.000,Rivals of Aether,2940.0,10,2
2021-02-01 00:00:00.000,Jstris,50.0,8,1
2017-10-01 00:00:00.000,StarCraft II,57524.98,85,48
2019-09-01 00:00:00.000,Mortal Kombat 11,33859.1,38,6
2014-09-01 00:00:00.000,CrossFire,19178.73,50,5
2015-07-01 00:00:00.000,Ultra Street Fighter IV,72870.0,11,7
2019-03-01 00:00:00.000,WarCraft III,11703.0,8,1
2006-08-01 00:00:00.000,FIFA 06,16564.37,13,3
2017-11-01 00:00:00.000,Marvel vs. Capcom Infinite,200.0,3,1
2010-11-01 00:00:00.000,CrossFire,23000.0,0,1
2020-09-01 00:00:00.000,Farming Simulator 19,118960.23,50,1
2017-01-01 00:00:00.000,Street Fighter V,5160.0,13,3
2019-01-01 00:00:00.000,Call of Duty Blackout,30000.0,11,2
2014-08-01 00:00:00.000,Team Fortress 2,8270.37,24,1
2018-01-01 00:00:00.000,Team Fortress 2,95.08,6,1
2016-05-01 00:00:00.000,Quake Live,225.8,4,5
2004-08-01 00:00:00.000,Virtua Fighter 4 Evolution,0.0,3,1
2015-10-01 00:00:00.000,Dead or Alive 5 Last Round,730.0,8,1
2006-02-01 00:00:00.000,Age of Empires II,19979.0,44,2
2014-03-01 00:00:00.000,Super Street Fighter IV Arcade Edition,2493.17,37,11
2017-03-01 00:00:00.000,Team Fortress 2,893.82,36,2
