Month & Year,max
"Mar 2019",983950
"May 2019",865939
"Sep 2019",959872
"Feb 2019",913174
"Oct 2020",1019644
"Sep 2020",1058026
"Jan 2020",899923
"Mar 2018",916515
"Nov 2018",1019213
"Jun 2020",1066945
"Dec 2018",998531
"Jun 2019",1017053
"Aug 2018",922649
"Feb 2020",976706
"Nov 2020",1023897
"Mar 2020",1018473
"May 2018",1011295
"Aug 2019",887709
"Nov 2019",1035024
"May 2020",991575
"Apr 2018",954294
"Jul 2019",938285
"Jun 2018",1049952
"Oct 2019",981802
"Jan 2019",944532
"Sep 2018",993425
"Feb 2018",989964
"Jul 2020",927467
"Dec 2020",971731
"Aug 2020",970798
"Apr 2019",984774
"Jan 2018",1024700
"Jul 2018",893324
"Oct 2018",916901
"Dec 2019",1053431
"Apr 2020",983539
