Column1,Toyota4Runner2015,Toyota4Runner2016,Toyota4Runner2017,Toyota4Runner2018,Toyota4Runner2019
"January",6.945,7.496,8.699,9.669,10.335
"February",6.42,8.476,10.912,10.12,
"March",8.648,9.599,12.045,11.761,
"April",7.432,10.135,10.428,9.97,
"May",8.549,10.352,11.014,11.739,
"June",8.208,8.41,10.423,11.569,
"July",8.383,9.581,9.874,12.444,
"August",8.811,10.191,10.358,12.862,
"September",7.506,9.058,11.333,12.133,
"October",8.596,8.537,11.153,12.624,
"November",7.583,8.628,10.103,11.494,
"December",9.953,11.489,11.954,13.309,
